DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
Sat Jul 16 00:36:30 2016,36809,14,0,0
Sat Jul 1Sat Jul 16 00:36:36 2016,43243,13,0,0
Sat Jul 16 00:36:36 2016,43249,14,0,0
Sat Jul 16 00:36:36 2016,43255,13,0,0
Sat Jul 16 00:36:36 2016,43261,12,0,0
Sat Jul 16 00:36:36 2016,43267,13,0,0
Sat Jul 16 00:36:36 2016,43273,13,0,0
Sat Jul 16 00:36:36 2016,43279,13,0,0
Sat Jul 16 00:36:36 2016,43285,13,0,0
Sat Jul 16 00:36:36 2016,43291,14,0,0
Sat Jul 16 00:36:36 2016,43297,13,0,0
Sat Jul 16 00:36:36 2016,43303,14,0,0
Sat Jul 16 00:36:36 2016,43309,13,0,0
Sat Jul 16 00:36:36 2016,43315,13,0,0
Sat Jul 16 00:36:36 2016,43321,12,0,0
Sat Jul 16 00:36:36 2016,43327,14,0,0
Sat Jul 16 00:36:36 2016,43333,13,0,0
Sat Jul 16 00:36:36 2016,43339,14,0,0
Sat Jul 16 00:36:36 2016,43345,14,0,0
Sat Jul 16 00:36:36 2016,43351,12,0,0
Sat Jul 16 00:36:36 2016,43357,13,0,0
Sat Jul 16 00:36:36 2016,43363,14,0,0
Sat Jul 16 00:36:36 2016,43369,13,0,0
Sat Jul 16 00:36:36 2016,43375,13,0,0
Sat Jul 16 00:36:36 2016,43381,13,0,0
Sat Jul 16 00:36:36 2016,43387,14,0,0
Sat Jul 16 00:36:36 2016,43393,13,0,0
Sat Jul 16 00:36:36 2016,43399,14,0,0
Sat Jul 16 00:36:36 2016,43405,13,0,0
Sat Jul 16 00:36:36 2016,43411,13,0,0
Sat Jul 16 00:36:36 2016,43417,15,0,0
Sat Jul 16 00:36:36 2016,43423,16,0,0
Sat Jul 16 00:36:36 2016,43429,13,0,0
Sat Jul 16 00:36:36 2016,43435,15,0,0
Sat Jul 16 00:36:36 2016,43441,15,0,0
Sat Jul 16 00:36:36 2016,43447,16,0,0
Sat Jul 16 00:36:36 2016,43453,15,0,0
Sat Jul 16 00:36:36 2016,43459,15,0,0
Sat Jul 16 00:36:36 2016,43465,18,0,0
Sat Jul 16 00:36:36 2016,43471,22,0,0
Sat Jul 16 00:36:36 2016,43477,18,0,0
Sat Jul 16 00:36:36 2016,43483,16,0,0
Sat Jul 16 00:36:36 2016,43489,16,0,0
Sat Jul 16 00:36:36 2016,43495,15,0,0
Sat Jul 16 00:36:36 2016,43501,14,0,0
Sat Jul 16 00:36:36 2016,43507,15,0,0
Sat Jul 16 00:36:36 2016,43513,13,0,0
Sat Jul 16 00:36:36 2016,43519,13,0,0
Sat Jul 16 00:36:36 2016,43525,14,0,0
Sat Jul 16 00:36:36 2016,43531,14,0,0
Sat Jul 16 00:36:36 2016,43537,13,0,0
Sat Jul 16 00:36:36 2016,43543,13,0,0
Sat Jul 16 00:36:36 2016,43549,14,0,0
Sat Jul 16 00:36:36 2016,43555,13,0,0
Sat Jul 16 00:36:36 2016,43561,11,0,0
Sat Jul 16 00:36:36 2016,43567,16,0,0
Sat Jul 16 00:36:36 2016,43573,15,0,0
Sat Jul 16 00:36:36 2016,43579,15,0,0
Sat Jul 16 00:36:36 2016,43585,14,0,0
Sat Jul 16 00:36:36 2016,43591,15,0,0
Sat Jul 16 00:36:36 2016,43597,15,0,0
Sat Jul 16 00:36:36 2016,43603,17,0,0
Sat Jul 16 00:36:36 2016,43609,15,0,0
Sat Jul 16 00:36:36 2016,43615,15,0,0
Sat Jul 16 00:36:36 2016,43621,14,0,0
Sat Jul 16 00:36:36 2016,43627,16,0,0
Sat Jul 16 00:36:36 2016,43633,15,0,0
Sat Jul 16 00:36:36 2016,43639,14,0,0
Sat Jul 16 00:36:36 2016,43645,14,0,0
Sat Jul 16 00:36:36 2016,43651,13,0,0
Sat Jul 16 00:36:36 2016,43657,14,0,0
Sat Jul 16 00:36:36 2016,43663,12,0,0
Sat Jul 16 00:36:36 2016,43669,14,0,0
Sat Jul 16 00:36:36 2016,43675,13,0,0
Sat Jul 16 00:36:36 2016,43681,13,0,0
Sat Jul 16 00:36:36 2016,43687,12,0,0
Sat Jul 16 00:36:37 2016,43693,14,0,0
Sat Jul 16 00:36:37 2016,43699,12,0,0
Sat Jul 16 00:36:37 2016,43705,12,0,0
Sat Jul 16 00:36:37 2016,43711,15,0,0
Sat Jul 16 00:36:37 2016,43717,14,0,0
Sat Jul 16 00:36:37 2016,43723,13,0,0
Sat Jul 16 00:36:37 2016,43729,12,0,0
Sat Jul 16 00:36:37 2016,43735,14,0,0
Sat Jul 16 00:36:37 2016,43741,13,0,0
Sat Jul 16 00:36:37 2016,43747,14,0,0
Sat Jul 16 00:36:37 2016,43753,14,0,0
Sat Jul 16 00:36:37 2016,43759,13,0,0
Sat Jul 16 00:36:37 2016,43765,14,0,0
Sat Jul 16 00:36:37 2016,43771,14,0,0
Sat Jul 16 00:36:37 2016,43777,13,0,0
Sat Jul 16 00:36:37 2016,43783,15,0,0
Sat Jul 16 00:36:37 2016,43789,14,0,0
Sat Jul 16 00:36:37 2016,43795,14,0,0
Sat Jul 16 00:36:37 2016,43801,14,0,0
Sat Jul 16 00:36:37 2016,43807,13,0,0
Sat Jul 16 00:36:37 2016,43813,12,0,0
Sat Jul 16 00:36:37 2016,43819,13,0,0
Sat Jul 16 00:36:37 2016,43825,14,0,0
Sat Jul 16 00:36:37 2016,43831,13,0,0
Sat Jul 16 00:36:37 2016,43837,14,0,0
Sat Jul 16 00:36:37 2016,43843,14,0,0
Sat Jul 16 00:36:37 2016,43849,13,0,0
Sat Jul 16 00:36:37 2016,43855,14,0,0
Sat Jul 16 00:36:37 2016,43861,14,0,0
Sat Jul 16 00:36:37 2016,43867,13,0,0
Sat Jul 16 00:36:37 2016,43873,15,0,0
Sat Jul 16 00:36:37 2016,43879,15,0,0
Sat Jul 16 00:36:37 2016,43885,16,0,0
Sat Jul 16 00:36:37 2016,43891,14,0,0
Sat Jul 16 00:36:37 2016,43897,14,0,0
Sat Jul 16 00:36:37 2016,43903,15,0,0
Sat Jul 16 00:36:37 2016,43909,17,0,0
Sat Jul 16 00:36:37 2016,43915,21,0,0
Sat Jul 16 00:36:37 2016,43921,18,0,0
Sat Jul 16 00:36:37 2016,43927,16,0,0
Sat Jul 16 00:36:37 2016,43933,15,0,0
Sat Jul 16 00:36:37 2016,43939,14,0,0
Sat Jul 16 00:36:37 2016,43945,14,0,0
Sat Jul 16 00:36:37 2016,43951,14,0,0
Sat Jul 16 00:36:37 2016,43957,13,0,0
Sat Jul 16 00:36:37 2016,43963,13,0,0
Sat Jul 16 00:36:37 2016,43969,13,0,0
Sat Jul 16 00:36:37 2016,43975,14,0,0
Sat Jul 16 00:36:37 2016,43981,14,0,0
Sat Jul 16 00:36:37 2016,43987,14,0,0
Sat Jul 16 00:36:37 2016,43993,14,0,0
Sat Jul 16 00:36:37 2016,43999,14,0,0
Sat Jul 16 00:36:37 2016,44005,13,0,0
Sat Jul 16 00:36:37 2016,44011,12,0,0
Sat Jul 16 00:36:37 2016,44017,13,0,0
Sat Jul 16 00:36:37 2016,44023,12,0,0
Sat Jul 16 00:36:37 2016,44029,13,0,0
Sat Jul 16 00:36:37 2016,44035,14,0,0
Sat Jul 16 00:36:37 2016,44041,14,0,0
Sat Jul 16 00:36:37 2016,44047,13,0,0
Sat Jul 16 00:36:37 2016,44053,13,0,0
Sat Jul 16 00:36:37 2016,44059,13,0,0
Sat Jul 16 00:36:37 2016,44065,13,0,0
Sat Jul 16 00:36:37 2016,44071,14,0,0
Sat Jul 16 00:36:37 2016,44077,12,0,0
Sat Jul 16 00:36:37 2016,44083,14,0,0
Sat Jul 16 00:36:37 2016,44089,14,0,0
Sat Jul 16 00:36:37 2016,44095,14,0,0
Sat Jul 16 00:36:37 2016,44101,12,0,0
