Elapsed,PiezoValue,BucketFlip,BucketCount
72417,251,0,0
72428,262,0,0
72439,268,0,0
72450,245,0,0
72461,260,0,0
72472,262,0,0
72483,255,0,0
72494,257,0,0
72505,258,0,0
72516,257,0,0
72527,252,0,0
72538,273,0,0
72549,248,0,0
72560,252,0,0
72571,266,0,0
72582,262,0,0
72593,264,0,0
72604,269,0,0
72615,262,0,0
72626,257,0,0
72637,263,0,0
72648,269,0,0
72659,264,0,0
72670,265,0,0
72681,275,0,0
72692,262,0,0
72703,267,0,0
72714,256,0,0
72725,261,0,0
72736,260,0,0
72747,256,0,0
72758,256,0,0
72769,250,0,0
72780,257,0,0
72791,269,0,0
72802,272,0,0
72813,256,0,0
72824,261,0,0
72835,245,0,0
72846,239,0,0
72857,264,0,0
72868,272,0,0
72879,253,0,0
72890,243,0,0
72901,271,0,0
72912,274,0,0
72923,261,0,0
72934,252,0,0
72945,248,0,0
72956,271,0,0
72967,255,0,0
72978,268,0,0
72989,268,0,0
73000,254,0,0
73011,254,0,0
73022,250,0,0
73033,254,0,0
73044,250,0,0
73055,262,0,0
73066,254,0,0
73077,261,0,0
73088,265,0,0
73099,250,0,0
73110,247,0,0
73121,264,0,0
73132,255,0,0
73143,273,0,0
73154,265,0,0
73165,249,0,0
73176,262,0,0
73187,247,0,0
73198,268,0,0
73209,258,0,0
73220,264,0,0
73231,268,0,0
73242,273,0,0
73253,273,0,0
73264,245,0,0
73275,259,0,0
73286,251,0,0
73297,255,0,0
73308,261,0,0
73319,247,0,0
73330,260,0,0
73341,251,0,0
73352,248,0,0
73363,263,0,0
73374,258,0,0
73385,260,0,0
73396,246,0,0
73407,270,0,0
73418,267,0,0
73429,256,0,0
73440,261,0,0
73451,256,0,0
73462,272,0,0
73473,274,0,0
73484,261,0,0
73495,253,0,0
73506,259,0,0
73517,256,0,0
73528,267,0,0
73539,242,0,0
73550,276,0,0
73561,254,0,0
73572,266,0,0
73583,250,0,0
73594,265,0,0
73605,249,0,0
73616,240,0,0
73627,260,0,0
73638,255,0,0
73649,266,0,0
73660,257,0,0
73671,264,0,0
73682,241,0,0
73693,252,0,0
73704,276,0,0
73715,261,0,0
73726,271,0,0
73737,243,0,0
73748,265,0,0
73759,262,0,0
73770,253,0,0
73781,251,0,0
73792,264,0,0
73803,246,0,0
73814,249,0,0
73825,252,0,0
73836,274,0,0
73847,265,0,0
73858,280,0,0
73869,244,0,0
73880,269,0,0
73891,261,0,0
73902,251,0,0
73913,269,0,0
73924,248,0,0
73935,268,0,0
73946,277,0,0
73957,256,0,0
73968,268,0,0
73979,272,0,0
73990,260,0,0
74001,242,0,0
74012,271,0,0
74023,261,0,0
74034,245,0,0
74045,263,0,0
74056,273,0,0
74067,269,0,0
74078,274,0,0
74089,264,0,0
74100,248,0,0
74111,258,0,0
74122,266,0,0
74133,248,0,0
74144,262,0,0
74155,261,0,0
74166,245,0,0
74177,243,0,0
74188,266,0,0
74199,263,0,0
74210,251,0,0
74221,269,0,0
74232,248,0,0
74243,277,0,0
74254,245,0,0
74265,258,0,0
74276,260,0,0
74287,261,0,0
74298,266,0,0
74309,272,0,0
74320,269,0,0
74331,242,0,0
74342,257,0,0
74353,245,0,0
74364,248,0,0
74375,250,0,0
74386,251,0,0
74397,272,0,0
74408,261,0,0
74419,270,0,0
74430,267,0,0
74441,261,0,0
74452,254,0,0
74463,253,0,0
74474,236,0,0
74485,260,0,0
74496,268,0,0
74507,267,0,0
74518,262,0,0
74529,252,0,0
74540,267,0,0
74551,245,0,0
74562,268,0,0
74573,259,0,0
74584,265,0,0
74595,254,0,0
74606,248,0,0
74617,252,0,0
74628,249,0,0
74639,264,0,0
74650,253,0,0
74661,242,0,0
74672,266,0,0
74683,268,0,0
74694,274,0,0
74705,248,0,0
74716,258,0,0
74727,272,0,0
74738,250,0,0
74749,259,0,0
74760,278,0,0
74771,261,0,0
74782,272,0,0
74793,262,0,0
74804,254,0,0
74815,258,0,0
74826,267,0,0
74837,265,0,0
74848,259,0,0
74859,269,0,0
74870,262,0,0
74881,259,0,0
74892,252,0,0
74903,244,0,0
74914,260,0,0
74925,263,0,0
74936,249,0,0
74947,259,0,0
74958,261,0,0
74969,249,0,0
74980,259,0,0
74991,256,0,0
75002,263,0,0
75013,251,0,0
75024,261,0,0
75035,255,0,0
75046,269,0,0
75057,271,0,0
75068,278,0,0
75079,265,0,0
75090,260,0,0
75101,242,0,0
75112,253,0,0
75123,251,0,0
75134,255,0,0
75145,243,0,0
75156,245,0,0
75167,247,0,0
75178,263,0,0
75189,266,0,0
75200,264,0,0
75211,246,0,0
75222,266,0,0
75233,265,0,0
75244,270,0,0
75255,255,0,0
75266,249,0,0
75277,275,0,0
75288,263,0,0
75299,256,0,0
75310,269,0,0
75321,247,0,0
75332,266,0,0
75343,273,0,0
75354,273,0,0
75365,258,0,0
75376,257,0,0
75387,257,0,0
75398,250,0,0
75409,248,0,0
75420,249,0,0
75431,261,0,0
75442,270,0,0
75453,248,0,0
75464,253,0,0
75475,268,0,0
75486,249,0,0
75497,265,0,0
75508,260,0,0
75519,265,0,0
75530,250,0,0
75541,266,0,0
75552,244,0,0
75563,267,0,0
75574,262,0,0
75585,255,0,0
75596,257,0,0
75607,250,0,0
75618,276,0,0
75629,271,0,0
75640,265,0,0
75651,246,0,0
75662,266,0,0
75673,255,0,0
75684,253,0,0
75695,249,0,0
75706,270,0,0
75717,244,0,0
75728,242,0,0
75739,247,0,0
75750,247,0,0
75761,255,0,0
75772,267,0,0
75783,259,0,0
75794,253,0,0
75805,267,0,0
75816,274,0,0
75827,266,0,0
