Elapsed	PiezoValue	BucketFlip	BucketCount
146628	2	0	0
146639	3	0	0
146650	4	0	0
146661	2	0	0
146672	4	0	0
146683	2	0	0
146694	3	0	0
146705	3	0	0
146716	2	0	0
146727	1	0	0
146738	1	0	0
146749	2	0	0
146760	2	0	0
146771	1	0	0
146782	2	0	0
146793	4	0	0
146804	2	0	0
146815	2	0	0
146826	1	0	0
146837	2	0	0
146848	1	0	0
146859	2	0	0
146870	2	0	0
146881	2	0	0
146892	3	0	0
146903	1	0	0
146914	2	0	0
146925	3	0	0
146936	2	0	0
146947	1	0	0
146958	1	0	0
146969	3	0	0
146980	1	0	0
146991	2	0	0
147002	2	0	0
147013	2	0	0
147024	1	0	0
147035	1	0	0
147046	0	0	0
147057	2	0	0
147068	1	0	0
147079	2	0	0
147090	3	0	0
147101	1	0	0
147112	3	0	0
147123	4	0	0
147134	2	0	0
147145	3	0	0
147156	0	0	0
147167	2	0	0
147178	2	0	0
147189	1	0	0
147200	2	0	0
147211	2	0	0
147222	3	0	0
147233	2	0	0
147244	1	0	0
147255	2	0	0
147266	2	0	0
147277	1	0	0
147288	2	0	0
147299	0	0	0
147310	2	0	0
147321	4	0	0
147332	3	0	0
147343	3	0	0
147354	1	0	0
147365	1	0	0
147376	3	0	0
147387	1	0	0
147398	2	0	0
147409	3	0	0
147420	1	0	0
147431	2	0	0
147442	4	0	0
147453	2	0	0
147464	1	0	0
147475	3	0	0
147486	2	0	0
147497	2	0	0
147508	4	0	0
147519	3	0	0
147530	3	0	0
147541	4	0	0
147552	3	0	0
147563	2	0	0
147574	3	0	0
147585	4	0	0
147596	2	0	0
147607	2	0	0
147618	2	0	0
147629	2	0	0
147640	5	0	0
147651	2	0	0
147662	1	0	0
147673	2	0	0
147684	3	0	0
147695	3	0	0
147706	2	0	0
147717	2	0	0
147728	2	0	0
147739	2	0	0
147750	2	0	0
147761	3	0	0
147772	2	0	0
147783	4	0	0
147794	4	0	0
147805	3	0	0
147816	1	0	0
147827	5	0	0
147838	3	0	0
147849	2	0	0
147860	2	0	0
147871	2	0	0
147882	4	0	0
147893	3	0	0
147904	3	0	0
147915	3	0	0
