DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount

Thu Jun  9 19:53:58 2016,393924,14,0,0
Thu Jun  9 19:53:58 2016,393930,13,0,0
Thu Jun  9 19:53:58 2016,393936,13,0,0
Thu Jun  9 19:53:58 2016,393942,13,0,0
Thu Jun  9 19:53:58 2016,393948,12,0,0
Thu Jun  9 19:53:58 2016,393954,12,0,0
Thu Jun  9 19:53:58 2016,393960,14,0,0
Thu Jun  9 19:53:58 2016,393966,12,0,0
Thu Jun  9 19:53:58 2016,393972,13,0,0
Thu Jun  9 19:53:58 2016,393978,13,0,0
Thu Jun  9 19:53:58 2016,393984,12,0,0
Thu Jun  9 19:53:58 2016,393990,14,0,0
Thu Jun  9 19:53:58 2016,393996,14,0,0
Thu Jun  9 19:53:58 2016,394002,13,0,0
Thu Jun  9 19:53:58 2016,394008,14,0,0
Thu Jun  9 19:53:58 2016,394014,11,0,0
Thu Jun  9 19:53:58 2016,394020,13,0,0
Thu Jun  9 19:53:58 2016,394026,11,0,0
Thu Jun  9 19:53:58 2016,394032,12,0,0
Thu Jun  9 19:53:58 2016,394038,13,0,0
Thu Jun  9 19:53:58 2016,394044,13,0,0
Thu Jun  9 19:53:58 2016,394050,10,0,0
Thu Jun  9 19:53:58 2016,394056,14,0,0
Thu Jun  9 19:53:58 2016,394062,12,0,0
Thu Jun  9 19:53:58 2016,394068,13,0,0
Thu Jun  9 19:53:58 2016,394074,15,0,0
Thu Jun  9 19:53:58 2016,394080,14,0,0
Thu Jun  9 19:53:58 2016,394086,12,0,0
Thu Jun  9 19:53:58 2016,394092,13,0,0
Thu Jun  9 19:53:58 2016,394098,14,0,0
Thu Jun  9 19:53:58 2016,394104,16,0,0
Thu Jun  9 19:53:58 2016,394110,14,0,0
Thu Jun  9 19:53:58 2016,394116,12,0,0
Thu Jun  9 19:53:58 2016,394122,13,0,0
Thu Jun  9 19:53:58 2016,394128,14,0,0
Thu Jun  9 19:53:58 2016,394134,11,0,0
Thu Jun  9 19:53:58 2016,394140,13,0,0
Thu Jun  9 19:53:58 2016,394146,13,0,0
Thu Jun  9 19:53:58 2016,394152,10,0,0
Thu Jun  9 19:53:58 2016,394158,13,0,0
Thu Jun  9 19:53:58 2016,394164,13,0,0
Thu Jun  9 19:53:58 2016,394170,14,0,0
Thu Jun  9 19:53:58 2016,394176,13,0,0
Thu Jun  9 19:53:58 2016,394182,12,0,0
Thu Jun  9 19:53:58 2016,394188,12,0,0
Thu Jun  9 19:53:58 2016,394194,14,0,0
Thu Jun  9 19:53:58 2016,394200,13,0,0
Thu Jun  9 19:53:58 2016,394206,13,0,0
Thu Jun  9 19:53:58 2016,394212,14,0,0
