DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount

Thu Jun  9 19:56:05 2016,521309,61,0,0
Thu Jun  9 19:56:05 2016,521315,55,0,0
Thu Jun  9 19:56:05 2016,521321,54,0,0
Thu Jun  9 19:56:05 2016,521327,59,0,0
Thu Jun  9 19:56:05 2016,521333,55,0,0
Thu Jun  9 19:56:05 2016,521339,57,0,0
Thu Jun  9 19:56:05 2016,521345,55,0,0
Thu Jun  9 19:56:05 2016,521351,53,0,0
Thu Jun  9 19:56:05 2016,521357,59,0,0
Thu Jun  9 19:56:05 2016,521363,59,0,0
Thu Jun  9 19:56:05 2016,521369,57,0,0
Thu Jun  9 19:56:05 2016,521375,63,0,0
Thu Jun  9 19:56:05 2016,521381,58,0,0
Thu Jun  9 19:56:05 2016,521387,59,0,0
Thu Jun  9 19:56:05 2016,521393,61,0,0
Thu Jun  9 19:56:05 2016,521399,57,0,0
Thu Jun  9 19:56:05 2016,521405,64,0,0
Thu Jun  9 19:56:05 2016,521411,60,0,0
Thu Jun  9 19:56:05 2016,521417,56,0,0
Thu Jun  9 19:56:05 2016,521423,61,0,0
Thu Jun  9 19:56:05 2016,521429,58,0,0
Thu Jun  9 19:56:05 2016,521435,57,0,0
Thu Jun  9 19:56:05 2016,521441,65,0,0
Thu Jun  9 19:56:05 2016,521447,60,0,0
Thu Jun  9 19:56:05 2016,521453,59,0,0
Thu Jun  9 19:56:05 2016,521459,62,0,0
Thu Jun  9 19:56:05 2016,521465,59,0,0
Thu Jun  9 19:56:05 2016,521471,59,0,0
Thu Jun  9 19:56:05 2016,521477,58,0,0
Thu Jun  9 19:56:05 2016,521483,55,0,0
Thu Jun  9 19:56:05 2016,521489,61,0,0
Thu Jun  9 19:56:05 2016,521495,59,0,0
Thu Jun  9 19:56:05 2016,521501,57,0,0
Thu Jun  9 19:56:05 2016,521507,61,0,0
Thu Jun  9 19:56:05 2016,521513,57,0,0
Thu Jun  9 19:56:05 2016,521519,54,0,0
Thu Jun  9 19:56:05 2016,521525,57,0,0
Thu Jun  9 19:56:05 2016,521531,52,0,0
Thu Jun  9 19:56:05 2016,521537,58,0,0
Thu Jun  9 19:56:05 2016,521543,62,0,0
Thu Jun  9 19:56:05 2016,521549,56,0,0
Thu Jun  9 19:56:05 2016,521555,59,0,0
Thu Jun  9 19:56:05 2016,521561,59,0,0
Thu Jun  9 19:56:05 2016,521567,57,0,0
Thu Jun  9 19:56:05 2016,521573,59,0,0
Thu Jun  9 19:56:05 2016,521579,55,0,0
Thu Jun  9 19:56:05 2016,521585,56,0,0
Thu Jun  9 19:56:05 2016,521591,56,0,0
Thu Jun  9 19:56:05 2016,521597,53,0,0
Thu Jun  9 19:56:05 2016,521603,53,0,0
Thu Jun  9 19:56:05 2016,521609,56,0,0
Thu Jun  9 19:56:05 2016,521615,54,0,0
Thu Jun  9 19:56:05 2016,521621,59,0,0
Thu Jun  9 19:56:05 2016,521627,59,0,0
Thu Jun  9 19:56:05 2016,521633,53,0,0
Thu Jun  9 19:56:05 2016,521639,56,0,0
Thu Jun  9 19:56:05 2016,521645,54,0,0
Thu Jun  9 19:56:05 2016,521651,55,0,0
Thu Jun  9 19:56:05 2016,521657,56,0,0
Thu Jun  9 19:56:05 2016,521663,54,0,0
Thu Jun  9 19:56:05 2016,521669,53,0,0
Thu Jun  9 19:56:05 2016,521675,59,0,0
Thu Jun  9 19:56:05 2016,521681,56,0,0
Thu Jun  9 19:56:05 2016,521687,58,0,0
