DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
Fri Jun 10 20:29:44 2016,608424,14,0,0
Fri Jun 10 20:29:44 2016,608430,13,0,0
Fri Jun 10 20:29:44 2016,608436,13,0,0
Fri Jun 10 20:29:44 2016,608442,14,0,0
Fri Jun 10 20:29:44 2016,608448,12,0,0
Fri Jun 10 20:29:44 2016,608454,13,0,0
Fri Jun 10 20:29:44 2016,608460,12,0,0
Fri Jun 10 20:29:44 2016,608466,13,0,0
Fri Jun 10 20:29:44 2016,608472,12,0,0
Fri Jun 10 20:29:44 2016,608478,13,0,0
Fri Jun 10 20:29:44 2016,608484,13,0,0
Fri Jun 10 20:29:44 2016,608490,11,0,0
Fri Jun 10 20:29:44 2016,608496,11,0,0
Fri Jun 10 20:29:44 2016,608502,12,0,0
Fri Jun 10 20:29:44 2016,608508,11,0,0
Fri Jun 10 20:29:44 2016,608514,12,0,0
Fri Jun 10 20:29:44 2016,608520,13,0,0
Fri Jun 10 20:29:44 2016,608526,12,0,0
Fri Jun 10 20:29:44 2016,608532,13,0,0
Fri Jun 10 20:29:44 2016,608538,11,0,0
Fri Jun 10 20:29:44 2016,608544,11,0,0
Fri Jun 10 20:29:44 2016,608550,12,0,0
Fri Jun 10 20:29:44 2016,608556,14,0,0
Fri Jun 10 20:29:44 2016,608562,13,0,0
Fri Jun 10 20:29:45 2016,608568,12,0,0
Fri Jun 10 20:29:45 2016,608574,12,0,0
Fri Jun 10 20:29:45 2016,608580,11,0,0
Fri Jun 10 20:29:45 2016,608586,12,0,0
Fri Jun 10 20:29:45 2016,608592,11,0,0
Fri Jun 10 20:29:45 2016,608598,11,0,0
Fri Jun 10 20:29:45 2016,608604,13,0,0
Fri Jun 10 20:29:45 2016,608610,12,0,0
Fri Jun 10 20:29:45 2016,608616,11,0,0
Fri Jun 10 20:29:45 2016,608622,13,0,0
Fri Jun 10 20:29:45 2016,608628,11,0,0
Fri Jun 10 20:29:45 2016,608634,13,0,0
Fri Jun 10 20:29:45 2016,608640,11,0,0
Fri Jun 10 20:29:45 2016,608646,13,0,0
Fri Jun 10 20:29:45 2016,608652,12,0,0
Fri Jun 10 20:29:45 2016,608658,12,0,0
Fri Jun 10 20:29:45 2016,608664,13,0,0
Fri Jun 10 20:29:45 2016,608670,13,0,0
Fri Jun 10 20:29:45 2016,608676,13,0,0
Fri Jun 10 20:29:45 2016,608682,12,0,0
Fri Jun 10 20:29:45 2016,608688,13,0,0
Fri Jun 10 20:29:45 2016,608694,13,0,0
Fri Jun 10 20:29:45 2016,608700,13,0,0
