DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount

Fri Jun 10 20:37:44 2016,1088301,11,0,0
Fri Jun 10 20:37:44 2016,1088307,13,0,0
Fri Jun 10 20:37:44 2016,1088313,14,0,0
Fri Jun 10 20:37:44 2016,1088319,12,0,0
Fri Jun 10 20:37:44 2016,1088325,14,0,0
Fri Jun 10 20:37:44 2016,1088331,12,0,0
Fri Jun 10 20:37:44 2016,1088337,14,0,0
Fri Jun 10 20:37:44 2016,1088343,11,0,0
Fri Jun 10 20:37:44 2016,1088349,13,0,0
Fri Jun 10 20:37:44 2016,1088355,14,0,0
Fri Jun 10 20:37:44 2016,1088361,11,0,0
Fri Jun 10 20:37:44 2016,1088367,14,0,0
Fri Jun 10 20:37:44 2016,1088373,13,0,0
Fri Jun 10 20:37:44 2016,1088379,11,0,0
Fri Jun 10 20:37:44 2016,1088385,14,0,0
Fri Jun 10 20:37:44 2016,1088391,12,0,0
Fri Jun 10 20:37:44 2016,1088397,15,0,0
Fri Jun 10 20:37:44 2016,1088403,13,0,0
Fri Jun 10 20:37:44 2016,1088409,14,0,0
Fri Jun 10 20:37:44 2016,1088415,14,0,0
Fri Jun 10 20:37:44 2016,1088421,13,0,0
Fri Jun 10 20:37:44 2016,1088427,13,0,0
Fri Jun 10 20:37:44 2016,1088433,13,0,0
Fri Jun 10 20:37:44 2016,1088439,10,0,0
Fri Jun 10 20:37:44 2016,1088445,15,0,0
Fri Jun 10 20:37:44 2016,1088451,14,0,0
Fri Jun 10 20:37:44 2016,1088457,15,0,0
Fri Jun 10 20:37:44 2016,1088463,15,0,0
Fri Jun 10 20:37:44 2016,1088469,14,0,0
Fri Jun 10 20:37:44 2016,1088475,12,0,0
Fri Jun 10 20:37:44 2016,1088481,13,0,0
Fri Jun 10 20:37:44 2016,1088487,13,0,0
Fri Jun 10 20:37:44 2016,1088493,14,0,0
Fri Jun 10 20:37:44 2016,1088499,14,0,0
Fri Jun 10 20:37:44 2016,1088505,13,0,0
Fri Jun 10 20:37:44 2016,1088511,14,0,0
Fri Jun 10 20:37:44 2016,1088517,13,0,0
Fri Jun 10 20:37:44 2016,1088523,14,0,0
Fri Jun 10 20:37:44 2016,1088529,12,0,0
Fri Jun 10 20:37:44 2016,1088535,13,0,0
Fri Jun 10 20:37:44 2016,1088541,10,0,0
Fri Jun 10 20:37:45 2016,1088547,13,0,0
Fri Jun 10 20:37:45 2016,1088553,12,0,0
Fri Jun 10 20:37:45 2016,1088559,11,0,0
Fri Jun 10 20:37:45 2016,1088565,13,0,0
Fri Jun 10 20:37:45 2016,1088571,14,0,0
Fri Jun 10 20:37:45 2016,1088577,12,0,0
Fri Jun 10 20:37:45 2016,1088583,13,0,0
Fri Jun 10 20:37:45 2016,1088589,14,0,0
Fri Jun 10 20:37:45 2016,1088595,13,0,0
Fri Jun 10 20:37:45 2016,1088601,14,0,0
Fri Jun 10 20:37:45 2016,1088607,13,0,0
Fri Jun 10 20:37:45 2016,1088613,15,0,0
Fri Jun 10 20:37:45 2016,1088619,12,0,0
Fri Jun 10 20:37:45 2016,1088625,12,0,0
Fri Jun 10 20:37:45 2016,1088631,14,0,0
Fri Jun 10 20:37:45 2016,1088637,11,0,0
Fri Jun 10 20:37:45 2016,1088643,14,0,0
Fri Jun 10 20:37:45 2016,1088649,15,0,0
Fri Jun 10 20:37:45 2016,1088655,16,0,0
Fri Jun 10 20:37:45 2016,1088661,13,0,0
Fri Jun 10 20:37:45 2016,1088667,16,0,0
Fri Jun 10 20:37:45 2016,1088673,13,0,0
Fri Jun 10 20:37:45 2016,1088679,14,0,0
Fri Jun 10 20:37:45 2016,1088685,13,0,0
Fri Jun 10 20:37:45 2016,1088691,13,0,0
Fri Jun 10 20:37:45 2016,1088697,13,0,0
Fri Jun 10 20:37:45 2016,1088703,12,0,0
Fri Jun 10 20:37:45 2016,1088709,12,0,0
Fri Jun 10 20:37:45 2016,1088715,12,0,0
Fri Jun 10 20:37:45 2016,1088721,11,0,0
Fri Jun 10 20:37:45 2016,1088727,11,0,0
Fri Jun 10 20:37:45 2016,1088733,15,0,0
Fri Jun 10 20:37:45 2016,1088739,14,0,0
Fri Jun 10 20:37:45 2016,1088745,13,0,0
Fri Jun 10 20:37:45 2016,1088751,15,0,0
Fri Jun 10 20:37:45 2016,1088757,11,0,0
Fri Jun 10 20:37:45 2016,1088763,14,0,0
Fri Jun 10 20:37:45 2016,1088769,14,0,0
Fri Jun 10 20:37:45 2016,1088775,14,0,0
Fri Jun 10 20:37:45 2016,1088781,14,0,0
Fri Jun 10 20:37:45 2016,1088787,14,0,0
Fri Jun 10 20:37:45 2016,1088793,14,0,0
Fri Jun 10 20:37:45 2016,1088799,14,0,0
Fri Jun 10 20:37:45 2016,1088805,10,0,0
Fri Jun 10 20:37:45 2016,1088811,11,0,0
Fri Jun 10 20:37:45 2016,1088817,13,0,0
Fri Jun 10 20:37:45 2016,1088823,12,0,0
Fri Jun 10 20:37:45 2016,1088829,14,0,0
Fri Jun 10 20:37:45 2016,1088835,15,0,0
Fri Jun 10 20:37:45 2016,1088841,12,0,0
Fri Jun 10 20:37:45 2016,1088847,15,0,0
Fri Jun 10 20:37:45 2016,1088853,13,0,0
Fri Jun 10 20:37:45 2016,1088859,13,0,0
Fri Jun 10 20:37:45 2016,1088865,14,0,0
Fri Jun 10 20:37:45 2016,1088871,11,0,0
Fri Jun 10 20:37:45 2016,1088877,12,0,0
Fri Jun 10 20:37:45 2016,1088883,13,0,0
Fri Jun 10 20:37:45 2016,1088889,12,0,0
Fri Jun 10 20:37:45 2016,1088895,12,0,0
Fri Jun 10 20:37:45 2016,1088901,13,0,0
Fri Jun 10 20:37:45 2016,1088907,13,0,0
Fri Jun 10 20:37:45 2016,1088913,14,0,0
Fri Jun 10 20:37:45 2016,1088919,15,0,0
Fri Jun 10 20:37:45 2016,1088925,15,0,0
Fri Jun 10 20:37:45 2016,1088931,14,0,0
Fri Jun 10 20:37:45 2016,1088937,14,0,0
Fri Jun 10 20:37:45 2016,1088943,13,0,0
Fri Jun 10 20:37:45 2016,1088949,14,0,0
Fri Jun 10 20:37:45 2016,1088955,12,0,0
Fri Jun 10 20:37:45 2016,1088961,13,0,0
Fri Jun 10 20:37:45 2016,1088967,13,0,0
Fri Jun 10 20:37:45 2016,1088973,10,0,0
Fri Jun 10 20:37:45 2016,1088979,13,0,0
Fri Jun 10 20:37:45 2016,1088985,11,0,0
Fri Jun 10 20:37:45 2016,1088991,13,0,0
Fri Jun 10 20:37:45 2016,1088997,13,0,0
Fri Jun 10 20:37:45 2016,1089003,14,0,0
Fri Jun 10 20:37:45 2016,1089009,12,0,0
Fri Jun 10 20:37:45 2016,1089015,13,0,0
Fri Jun 10 20:37:45 2016,1089021,13,0,0
Fri Jun 10 20:37:45 2016,1089027,11,0,0
Fri Jun 10 20:37:45 2016,1089033,15,0,0
Fri Jun 10 20:37:45 2016,1089039,12,0,0
Fri Jun 10 20:37:45 2016,1089045,14,0,0
Fri Jun 10 20:37:45 2016,1089051,12,0,0
Fri Jun 10 20:37:45 2016,1089057,12,0,0
Fri Jun 10 20:37:45 2016,1089063,11,0,0
Fri Jun 10 20:37:45 2016,1089069,14,0,0
Fri Jun 10 20:37:45 2016,1089075,13,0,0
Fri Jun 10 20:37:45 2016,1089081,12,0,0
Fri Jun 10 20:37:45 2016,1089087,13,0,0
Fri Jun 10 20:37:45 2016,1089093,13,0,0
Fri Jun 10 20:37:45 2016,1089099,13,0,0
Fri Jun 10 20:37:45 2016,1089105,13,0,0
Fri Jun 10 20:37:45 2016,1089111,9,0,0
Fri Jun 10 20:37:45 2016,1089117,13,0,0
Fri Jun 10 20:37:45 2016,1089123,11,0,0
Fri Jun 10 20:37:45 2016,1089129,15,0,0
Fri Jun 10 20:37:45 2016,1089135,11,0,0
Fri Jun 10 20:37:45 2016,1089141,13,0,0
Fri Jun 10 20:37:45 2016,1089147,14,0,0
Fri Jun 10 20:37:45 2016,1089153,12,0,0
Fri Jun 10 20:37:45 2016,1089159,12,0,0
Fri Jun 10 20:37:45 2016,1089165,14,0,0
Fri Jun 10 20:37:45 2016,1089171,13,0,0
Fri Jun 10 20:37:45 2016,1089177,12,0,0
Fri Jun 10 20:37:45 2016,1089183,14,0,0
Fri Jun 10 20:37:45 2016,1089189,14,0,0
Fri Jun 10 20:37:45 2016,1089195,12,0,0
Fri Jun 10 20:37:45 2016,1089201,14,0,0
Fri Jun 10 20:37:45 2016,1089207,12,0,0
Fri Jun 10 20:37:45 2016,1089213,12,0,0
Fri Jun 10 20:37:45 2016,1089219,13,0,0
Fri Jun 10 20:37:45 2016,1089225,14,0,0
Fri Jun 10 20:37:45 2016,1089231,12,0,0
Fri Jun 10 20:37:45 2016,1089237,13,0,0
Fri Jun 10 20:37:45 2016,1089243,11,0,0
Fri Jun 10 20:37:45 2016,1089249,14,0,0
Fri Jun 10 20:37:45 2016,1089255,13,0,0
Fri Jun 10 20:37:45 2016,1089261,11,0,0
Fri Jun 10 20:37:45 2016,1089267,14,0,0
Fri Jun 10 20:37:45 2016,1089273,11,0,0
Fri Jun 10 20:37:45 2016,1089279,14,0,0
Fri Jun 10 20:37:45 2016,1089285,12,0,0
Fri Jun 10 20:37:45 2016,1089291,11,0,0
Fri Jun 10 20:37:45 2016,1089297,14,0,0
Fri Jun 10 20:37:45 2016,1089303,12,0,0
Fri Jun 10 20:37:45 2016,1089309,11,0,0
Fri Jun 10 20:37:45 2016,1089315,13,0,0
Fri Jun 10 20:37:45 2016,1089321,12,0,0
Fri Jun 10 20:37:45 2016,1089327,13,0,0
Fri Jun 10 20:37:45 2016,1089333,12,0,0
Fri Jun 10 20:37:45 2016,1089339,12,0,0
Fri Jun 10 20:37:45 2016,1089345,12,0,0
Fri Jun 10 20:37:45 2016,1089351,13,0,0
