DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
Tue Jun 21 23:53:16 2016,101870,15,0,0
Tue Jun 21 23:53:16 2016,101876,13,0,0
Tue Jun 21 23:53:16 2016,101882,16,0,0
Tue Jun 21 23:53:16 2016,101888,13,0,0
Tue Jun 21 23:53:16 2016,101894,13,0,0
Tue Jun 21 23:53:16 2016,101900,13,0,0
Tue Jun 21 23:53:16 2016,101906,14,0,0
Tue Jun 21 23:53:16 2016,101912,17,0,0
Tue Jun 21 23:53:16 2016,101918,14,0,0
Tue Jun 21 23:53:16 2016,101924,13,0,0
Tue Jun 21 23:53:16 2016,101930,13,0,0
Tue Jun 21 23:53:16 2016,101936,14,0,0
Tue Jun 21 23:53:16 2016,101942,13,0,0
Tue Jun 21 23:53:16 2016,101948,12,0,0
Tue Jun 21 23:53:17 2016,101954,14,0,0
Tue Jun 21 23:53:17 2016,101960,13,0,0
Tue Jun 21 23:53:17 2016,101966,13,0,0
Tue Jun 21 23:53:17 2016,101972,13,0,0
Tue Jun 21 23:53:17 2016,101978,16,0,0
Tue Jun 21 23:53:17 2016,101984,14,0,0
Tue Jun 21 23:53:17 2016,101990,13,0,0
Tue Jun 21 23:53:17 2016,101996,14,0,0
Tue Jun 21 23:53:17 2016,102002,11,0,0
Tue Jun 21 23:53:17 2016,102008,12,0,0
Tue Jun 21 23:53:17 2016,102014,12,0,0
Tue Jun 21 23:53:17 2016,102020,14,0,0
Tue Jun 21 23:53:17 2016,102026,12,0,0
Tue Jun 21 23:53:17 2016,102032,13,0,0
Tue Jun 21 23:53:17 2016,102038,12,0,0
Tue Jun 21 23:53:17 2016,102044,15,0,0
Tue Jun 21 23:53:17 2016,102050,13,0,0
Tue Jun 21 23:53:17 2016,102056,15,0,0
Tue Jun 21 23:53:17 2016,102062,13,0,0
Tue Jun 21 23:53:17 2016,102068,14,0,0
Tue Jun 21 23:53:17 2016,102074,15,0,0
Tue Jun 21 23:53:17 2016,102080,12,0,0
Tue Jun 21 23:53:17 2016,102086,12,0,0
Tue Jun 21 23:53:17 2016,102092,15,0,0
Tue Jun 21 23:53:17 2016,102098,14,0,0
Tue Jun 21 23:53:17 2016,102104,13,0,0
Tue Jun 21 23:53:17 2016,102110,14,0,0
Tue Jun 21 23:53:17 2016,102116,14,0,0
Tue Jun 21 23:53:17 2016,102122,10,0,0
Tue Jun 21 23:53:17 2016,102128,13,0,0
Tue Jun 21 23:53:17 2016,102134,14,0,0
Tue Jun 21 23:53:17 2016,102140,13,0,0
Tue Jun 21 23:53:17 2016,102146,13,0,0
Tue Jun 21 23:53:17 2016,102152,14,0,0
Tue Jun 21 23:53:17 2016,102158,13,0,0
Tue Jun 21 23:53:17 2016,102164,15,0,0
Tue Jun 21 23:53:17 2016,102170,12,0,0
