DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Tue Jun 21 23:58:15 2016	400886	13	0	0
Tue Jun 21 23:58:15 2016	400892	13	0	0
Tue Jun 21 23:58:15 2016	400898	14	0	0
Tue Jun 21 23:58:15 2016	400904	13	0	0
Tue Jun 21 23:58:15 2016	400910	13	0	0
Tue Jun 21 23:58:15 2016	400916	15	0	0
Tue Jun 21 23:58:15 2016	400922	13	0	0
Tue Jun 21 23:58:15 2016	400928	13	0	0
Tue Jun 21 23:58:15 2016	400934	12	0	0
Tue Jun 21 23:58:16 2016	400940	12	0	0
Tue Jun 21 23:58:16 2016	400946	15	0	0
Tue Jun 21 23:58:16 2016	400952	13	0	0
Tue Jun 21 23:58:16 2016	400958	11	0	0
Tue Jun 21 23:58:16 2016	400964	14	0	0
Tue Jun 21 23:58:16 2016	400970	15	0	0
Tue Jun 21 23:58:16 2016	400976	14	0	0
Tue Jun 21 23:58:16 2016	400982	13	0	0
Tue Jun 21 23:58:16 2016	400988	15	0	0
Tue Jun 21 23:58:16 2016	400994	12	0	0
Tue Jun 21 23:58:16 2016	401000	14	0	0
Tue Jun 21 23:58:16 2016	401006	14	0	0
Tue Jun 21 23:58:16 2016	401012	15	0	0
Tue Jun 21 23:58:16 2016	401018	13	0	0
Tue Jun 21 23:58:16 2016	401024	14	0	0
Tue Jun 21 23:58:16 2016	401030	13	0	0
Tue Jun 21 23:58:16 2016	401036	15	0	0
Tue Jun 21 23:58:16 2016	401042	14	0	0
Tue Jun 21 23:58:16 2016	401048	14	0	0
Tue Jun 21 23:58:16 2016	401054	10	0	0
Tue Jun 21 23:58:16 2016	401060	13	0	0
Tue Jun 21 23:58:16 2016	401066	14	0	0
Tue Jun 21 23:58:16 2016	401072	14	0	0
Tue Jun 21 23:58:16 2016	401078	12	0	0
Tue Jun 21 23:58:16 2016	401084	14	0	0
Tue Jun 21 23:58:16 2016	401090	13	0	0
Tue Jun 21 23:58:16 2016	401096	16	0	0
Tue Jun 21 23:58:16 2016	401102	14	0	0
Tue Jun 21 23:58:16 2016	401108	12	0	0
Tue Jun 21 23:58:16 2016	401114	14	0	0
Tue Jun 21 23:58:16 2016	401120	14	0	0
Tue Jun 21 23:58:16 2016	401126	13	0	0
Tue Jun 21 23:58:16 2016	401132	15	0	0
Tue Jun 21 23:58:16 2016	401138	15	0	0
Tue Jun 21 23:58:16 2016	401144	13	0	0
Tue Jun 21 23:58:16 2016	401150	12	0	0
Tue Jun 21 23:58:16 2016	401156	13	0	0
Tue Jun 21 23:58:16 2016	401162	13	0	0
Tue Jun 21 23:58:16 2016	401168	16	0	0
Tue Jun 21 23:58:16 2016	401174	12	0	0
Tue Jun 21 23:58:16 2016	401180	13	0	0
