DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
796,32,0,0
Mon Dec  1Wed Jun 22 23:08:41 2016,227512,20,0,0
Wed Jun 22 23:08:41 2016,227518,20,0,0
Wed Jun 22 23:08:41 2016,227524,20,0,0
Wed Jun 22 23:08:41 2016,227530,20,0,0
Wed Jun 22 23:08:41 2016,227536,20,0,0
Wed Jun 22 23:08:41 2016,227542,20,0,0
Wed Jun 22 23:08:41 2016,227548,20,0,0
Wed Jun 22 23:08:41 2016,227554,20,0,0
Wed Jun 22 23:08:41 2016,227560,20,0,0
Wed Jun 22 23:08:41 2016,227566,20,0,0
Wed Jun 22 23:08:41 2016,227572,20,0,0
Wed Jun 22 23:08:41 2016,227578,20,0,0
Wed Jun 22 23:08:41 2016,227584,20,0,0
Wed Jun 22 23:08:41 2016,227590,21,0,0
Wed Jun 22 23:08:41 2016,227596,20,0,0
Wed Jun 22 23:08:41 2016,227602,20,0,0
Wed Jun 22 23:08:41 2016,227608,20,0,0
Wed Jun 22 23:08:41 2016,227614,20,0,0
Wed Jun 22 23:08:41 2016,227620,21,0,0
Wed Jun 22 23:08:41 2016,227626,20,0,0
Wed Jun 22 23:08:41 2016,227632,20,0,0
Wed Jun 22 23:08:41 2016,227638,20,0,0
Wed Jun 22 23:08:41 2016,227644,21,0,0
Wed Jun 22 23:08:41 2016,227650,20,0,0
Wed Jun 22 23:08:41 2016,227656,20,0,0
Wed Jun 22 23:08:41 2016,227662,20,0,0
Wed Jun 22 23:08:41 2016,227668,20,0,0
Wed Jun 22 23:08:41 2016,227674,20,0,0
Wed Jun 22 23:08:41 2016,227680,20,0,0
Wed Jun 22 23:08:41 2016,227686,20,0,0
Wed Jun 22 23:08:41 2016,227692,20,0,0
Wed Jun 22 23:08:41 2016,227698,20,0,0
Wed Jun 22 23:08:41 2016,227704,20,0,0
Wed Jun 22 23:08:41 2016,227710,20,0,0
Wed Jun 22 23:08:41 2016,227716,21,0,0
Wed Jun 22 23:08:41 2016,227722,20,0,0
Wed Jun 22 23:08:41 2016,227728,21,0,0
Wed Jun 22 23:08:41 2016,227734,20,0,0
Wed Jun 22 23:08:41 2016,227740,20,0,0
Wed Jun 22 23:08:41 2016,227746,20,0,0
Wed Jun 22 23:08:41 2016,227752,20,0,0
Wed Jun 22 23:08:41 2016,227758,20,0,0
Wed Jun 22 23:08:41 2016,227764,21,0,0
Wed Jun 22 23:08:41 2016,227770,20,0,0
Wed Jun 22 23:08:41 2016,227776,20,0,0
Wed Jun 22 23:08:42 2016,227782,20,0,0
Wed Jun 22 23:08:42 2016,227788,20,0,0
Wed Jun 22 23:08:42 2016,227794,20,0,0
Wed Jun 22 23:08:42 2016,227800,20,0,0
Wed Jun 22 23:08:42 2016,227806,20,0,0
Wed Jun 22 23:08:42 2016,227812,20,0,0
Wed Jun 22 23:08:42 2016,227818,20,0,0
Wed Jun 22 23:08:42 2016,227824,20,0,0
Wed Jun 22 23:08:42 2016,227830,20,0,0
Wed Jun 22 23:08:42 2016,227836,20,0,0
Wed Jun 22 23:08:42 2016,227842,20,0,0
Wed Jun 22 23:08:42 2016,227848,20,0,0
Wed Jun 22 23:08:42 2016,227854,20,0,0
Wed Jun 22 23:08:42 2016,227860,20,0,0
Wed Jun 22 23:08:42 2016,227866,20,0,0
Wed Jun 22 23:08:42 2016,227872,21,0,0
Wed Jun 22 23:08:42 2016,227878,20,0,0
Wed Jun 22 23:08:42 2016,227884,20,0,0
Wed Jun 22 23:08:42 2016,227890,20,0,0
Wed Jun 22 23:08:42 2016,227896,20,0,0
Wed Jun 22 23:08:42 2016,227902,20,0,0
Wed Jun 22 23:08:42 2016,227908,20,0,0
Wed Jun 22 23:08:42 2016,227914,20,0,0
Wed Jun 22 23:08:42 2016,227920,20,0,0
Wed Jun 22 23:08:42 2016,227926,21,0,0
Wed Jun 22 23:08:42 2016,227932,20,0,0
Wed Jun 22 23:08:42 2016,227938,20,0,0
Wed Jun 22 23:08:42 2016,227944,20,0,0
Wed Jun 22 23:08:42 2016,227950,21,0,0
Wed Jun 22 23:08:42 2016,227956,21,0,0
Wed Jun 22 23:08:42 2016,227962,20,0,0
Wed Jun 22 23:08:42 2016,227968,20,0,0
Wed Jun 22 23:08:42 2016,227974,20,0,0
Wed Jun 22 23:08:42 2016,227980,20,0,0
Wed Jun 22 23:08:42 2016,227986,21,0,0
Wed Jun 22 23:08:42 2016,227992,21,0,0
Wed Jun 22 23:08:42 2016,227998,20,0,0
Wed Jun 22 23:08:42 2016,228004,20,0,0
Wed Jun 22 23:08:42 2016,228010,20,0,0
Wed Jun 22 23:08:42 2016,228016,20,0,0
Wed Jun 22 23:08:42 2016,228022,20,0,0
Wed Jun 22 23:08:42 2016,228028,20,0,0
Wed Jun 22 23:08:42 2016,228034,20,0,0
Wed Jun 22 23:08:42 2016,228040,20,0,0
Wed Jun 22 23:08:42 2016,228046,20,0,0
Wed Jun 22 23:08:42 2016,228052,20,0,0
Wed Jun 22 23:08:42 2016,228058,20,0,0
Wed Jun 22 23:08:42 2016,228064,20,0,0
Wed Jun 22 23:08:42 2016,228070,20,0,0
Wed Jun 22 23:08:42 2016,228076,20,0,0
Wed Jun 22 23:08:42 2016,228082,20,0,0
Wed Jun 22 23:08:42 2016,228088,20,0,0
Wed Jun 22 23:08:42 2016,228094,20,0,0
Wed Jun 22 23:08:42 2016,228100,20,0,0
Wed Jun 22 23:08:42 2016,228106,20,0,0
Wed Jun 22 23:08:42 2016,228112,20,0,0
Wed Jun 22 23:08:42 2016,228118,20,0,0
Wed Jun 22 23:08:42 2016,228124,21,0,0
Wed Jun 22 23:08:42 2016,228130,20,0,0
Wed Jun 22 23:08:42 2016,228136,20,0,0
Wed Jun 22 23:08:42 2016,228142,20,0,0
Wed Jun 22 23:08:42 2016,228148,20,0,0
Wed Jun 22 23:08:42 2016,228154,20,0,0
Wed Jun 22 23:08:42 2016,228160,20,0,0
Wed Jun 22 23:08:42 2016,228166,20,0,0
Wed Jun 22 23:08:42 2016,228172,21,0,0
Wed Jun 22 23:08:42 2016,228178,20,0,0
Wed Jun 22 23:08:42 2016,228184,20,0,0
Wed Jun 22 23:08:42 2016,228190,21,0,0
Wed Jun 22 23:08:42 2016,228196,20,0,0
Wed Jun 22 23:08:42 2016,228202,20,0,0
Wed Jun 22 23:08:42 2016,228208,20,0,0
Wed Jun 22 23:08:42 2016,228214,20,0,0
Wed Jun 22 23:08:42 2016,228220,20,0,0
Wed Jun 22 23:08:42 2016,228226,64,0,0
Wed Jun 22 23:08:42 2016,228232,20,0,0
Wed Jun 22 23:08:42 2016,228238,20,0,0
Wed Jun 22 23:08:42 2016,228244,20,0,0
Wed Jun 22 23:08:42 2016,228250,20,0,0
Wed Jun 22 23:08:42 2016,228256,20,0,0
Wed Jun 22 23:08:42 2016,228262,20,0,0
Wed Jun 22 23:08:42 2016,228268,20,0,0
Wed Jun 22 23:08:42 2016,228274,20,0,0
Wed Jun 22 23:08:42 2016,228280,20,0,0
Wed Jun 22 23:08:42 2016,228286,20,0,0
Wed Jun 22 23:08:42 2016,228292,20,0,0
Wed Jun 22 23:08:42 2016,228298,20,0,0
Wed Jun 22 23:08:42 2016,228304,20,0,0
Wed Jun 22 23:08:42 2016,228310,20,0,0
Wed Jun 22 23:08:42 2016,228316,20,0,0
Wed Jun 22 23:08:42 2016,228322,20,0,0
Wed Jun 22 23:08:42 2016,228328,20,0,0
Wed Jun 22 23:08:42 2016,228334,20,0,0
Wed Jun 22 23:08:42 2016,228340,20,0,0
