DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Wed Jun 22 23:14:43 2016	58062	69	0	0
Wed Jun 22 23:14:43 2016	58063	69	0	0
Wed Jun 22 23:14:43 2016	58064	70	0	0
Wed Jun 22 23:14:43 2016	58065	69	0	0
Wed Jun 22 23:14:43 2016	58066	69	0	0
Wed Jun 22 23:14:43 2016	58067	70	0	0
Wed Jun 22 23:14:43 2016	58068	70	0	0
Wed Jun 22 23:14:43 2016	58069	70	0	0
Wed Jun 22 23:14:43 2016	58070	68	0	0
Wed Jun 22 23:14:43 2016	58071	71	0	0
Wed Jun 22 23:14:43 2016	58072	70	0	0
Wed Jun 22 23:14:43 2016	58073	70	0	0
Wed Jun 22 23:14:43 2016	58074	69	0	0
Wed Jun 22 23:14:43 2016	58075	72	0	0
Wed Jun 22 23:14:43 2016	58076	70	0	0
Wed Jun 22 23:14:43 2016	58077	71	0	0
Wed Jun 22 23:14:43 2016	58078	70	0	0
Wed Jun 22 23:14:43 2016	58079	72	0	0
Wed Jun 22 23:14:43 2016	58080	72	0	0
Wed Jun 22 23:14:43 2016	58081	70	0	0
Wed Jun 22 23:14:43 2016	58082	69	0	0
Wed Jun 22 23:14:43 2016	58083	70	0	0
Wed Jun 22 23:14:43 2016	58084	69	0	0
Wed Jun 22 23:14:43 2016	58085	71	0	0
Wed Jun 22 23:14:43 2016	58086	71	0	0
Wed Jun 22 23:14:43 2016	58087	70	0	0
Wed Jun 22 23:14:43 2016	58088	70	0	0
Wed Jun 22 23:14:43 2016	58089	71	0	0
Wed Jun 22 23:14:43 2016	58090	73	0	0
Wed Jun 22 23:14:43 2016	58091	71	0	0
Wed Jun 22 23:14:43 2016	58092	70	0	0
Wed Jun 22 23:14:43 2016	58093	70	0	0
Wed Jun 22 23:14:43 2016	58094	68	0	0
Wed Jun 22 23:14:43 2016	58095	70	0	0
Wed Jun 22 23:14:43 2016	58096	71	0	0
Wed Jun 22 23:14:43 2016	58097	71	0	0
Wed Jun 22 23:14:43 2016	58098	72	0	0
Wed Jun 22 23:14:43 2016	58099	69	0	0
Wed Jun 22 23:14:43 2016	58100	73	0	0
Wed Jun 22 23:14:43 2016	58101	69	0	0
Wed Jun 22 23:14:43 2016	58102	70	0	0
Wed Jun 22 23:14:43 2016	58103	69	0	0
Wed Jun 22 23:14:43 2016	58104	70	0	0
Wed Jun 22 23:14:43 2016	58105	69	0	0
Wed Jun 22 23:14:43 2016	58106	71	0	0
Wed Jun 22 23:14:43 2016	58107	71	0	0
Wed Jun 22 23:14:43 2016	58108	69	0	0
Wed Jun 22 23:14:43 2016	58109	71	0	0
Wed Jun 22 23:14:43 2016	58110	70	0	0
Wed Jun 22 23:14:43 2016	58111	70	0	0
Wed Jun 22 23:14:43 2016	58112	69	0	0
Wed Jun 22 23:14:43 2016	58113	70	0	0
Wed Jun 22 23:14:43 2016	58114	70	0	0
Wed Jun 22 23:14:43 2016	58115	71	0	0
Wed Jun 22 23:14:43 2016	58116	70	0	0
Wed Jun 22 23:14:43 2016	58117	72	0	0
Wed Jun 22 23:14:43 2016	58118	71	0	0
Wed Jun 22 23:14:43 2016	58119	70	0	0
Wed Jun 22 23:14:43 2016	58120	70	0	0
Wed Jun 22 23:14:43 2016	58121	69	0	0
Wed Jun 22 23:14:43 2016	58122	69	0	0
Wed Jun 22 23:14:43 2016	58123	72	0	0
Wed Jun 22 23:14:43 2016	58124	69	0	0
Wed Jun 22 23:14:43 2016	58125	70	0	0
Wed Jun 22 23:14:43 2016	58126	71	0	0
Wed Jun 22 23:14:43 2016	58127	70	0	0
Wed Jun 22 23:14:43 2016	58128	70	0	0
Wed Jun 22 23:14:43 2016	58129	70	0	0
Wed Jun 22 23:14:43 2016	58130	71	0	0
Wed Jun 22 23:14:43 2016	58131	70	0	0
Wed Jun 22 23:14:43 2016	58132	70	0	0
Wed Jun 22 23:14:43 2016	58133	69	0	0
Wed Jun 22 23:14:43 2016	58134	70	0	0
Wed Jun 22 23:14:43 2016	58135	70	0	0
Wed Jun 22 23:14:43 2016	58136	68	0	0
Wed Jun 22 23:14:43 2016	58137	70	0	0
Wed Jun 22 23:14:43 2016	58138	70	0	0
Wed Jun 22 23:14:43 2016	58139	69	0	0
Wed Jun 22 23:14:43 2016	58140	71	0	0
Wed Jun 22 23:14:43 2016	58141	70	0	0
Wed Jun 22 23:14:43 2016	58142	71	0	0
Wed Jun 22 23:14:43 2016	58143	70	0	0
Wed Jun 22 23:14:43 2016	58144	71	0	0
Wed Jun 22 23:14:43 2016	58145	70	0	0
Wed Jun 22 23:14:43 2016	58146	69	0	0
Wed Jun 22 23:14:43 2016	58147	69	0	0
Wed Jun 22 23:14:43 2016	58148	71	0	0
Wed Jun 22 23:14:43 2016	58149	71	0	0
Wed Jun 22 23:14:43 2016	58150	69	0	0
Wed Jun 22 23:14:43 2016	58151	71	0	0
Wed Jun 22 23:14:43 2016	58152	71	0	0
Wed Jun 22 23:14:43 2016	58153	69	0	0
Wed Jun 22 23:14:43 2016	58154	69	0	0
Wed Jun 22 23:14:43 2016	58155	69	0	0
Wed Jun 22 23:14:43 2016	58156	70	0	0
Wed Jun 22 23:14:43 2016	58157	70	0	0
Wed Jun 22 23:14:43 2016	58158	70	0	0
Wed Jun 22 23:14:43 2016	58159	70	0	0
Wed Jun 22 23:14:43 2016	58160	70	0	0
Wed Jun 22 23:14:43 2016	58161	71	0	0
Wed Jun 22 23:14:43 2016	58162	70	0	0
Wed Jun 22 23:14:43 2016	58163	69	0	0
Wed Jun 22 23:14:43 2016	58164	70	0	0
Wed Jun 22 23:14:43 2016	58165	70	0	0
Wed Jun 22 23:14:43 2016	58166	70	0	0
Wed Jun 22 23:14:43 2016	58167	70	0	0
Wed Jun 22 23:14:43 2016	58168	71	0	0
Wed Jun 22 23:14:43 2016	58169	70	0	0
Wed Jun 22 23:14:43 2016	58170	70	0	0
Wed Jun 22 23:14:43 2016	58171	70	0	0
Wed Jun 22 23:14:43 2016	58172	71	0	0
Wed Jun 22 23:14:43 2016	58173	69	0	0
Wed Jun 22 23:14:43 2016	58174	68	0	0
Wed Jun 22 23:14:43 2016	58175	69	0	0
Wed Jun 22 23:14:43 2016	58176	70	0	0
Wed Jun 22 23:14:43 2016	58177	71	0	0
Wed Jun 22 23:14:43 2016	58178	70	0	0
Wed Jun 22 23:14:43 2016	58179	71	0	0
Wed Jun 22 23:14:43 2016	58180	71	0	0
Wed Jun 22 23:14:43 2016	58181	70	0	0
Wed Jun 22 23:14:43 2016	58182	70	0	0
Wed Jun 22 23:14:43 2016	58183	68	0	0
Wed Jun 22 23:14:43 2016	58184	69	0	0
Wed Jun 22 23:14:43 2016	58185	69	0	0
Wed Jun 22 23:14:43 2016	58186	70	0	0
Wed Jun 22 23:14:43 2016	58187	72	0	0
Wed Jun 22 23:14:43 2016	58188	69	0	0
Wed Jun 22 23:14:43 2016	58189	69	0	0
Wed Jun 22 23:14:43 2016	58190	70	0	0
Wed Jun 22 23:14:43 2016	58191	71	0	0
Wed Jun 22 23:14:43 2016	58192	70	0	0
Wed Jun 22 23:14:43 2016	58193	70	0	0
Wed Jun 22 23:14:43 2016	58194	71	0	0
Wed Jun 22 23:14:43 2016	58195	71	0	0
Wed Jun 22 23:14:43 2016	58196	70	0	0
Wed Jun 22 23:14:43 2016	58197	71	0	0
Wed Jun 22 23:14:43 2016	58198	70	0	0
Wed Jun 22 23:14:43 2016	58199	70	0	0
Wed Jun 22 23:14:43 2016	58200	71	0	0
Wed Jun 22 23:14:43 2016	58201	70	0	0
Wed Jun 22 23:14:43 2016	58202	70	0	0
Wed Jun 22 23:14:43 2016	58203	69	0	0
Wed Jun 22 23:14:43 2016	58204	68	0	0
Wed Jun 22 23:14:43 2016	58205	69	0	0
Wed Jun 22 23:14:43 2016	58206	71	0	0
Wed Jun 22 23:14:43 2016	58207	69	0	0
Wed Jun 22 23:14:43 2016	58208	70	0	0
Wed Jun 22 23:14:43 2016	58209	71	0	0
Wed Jun 22 23:14:43 2016	58210	70	0	0
Wed Jun 22 23:14:43 2016	58211	71	0	0
Wed Jun 22 23:14:43 2016	58212	72	0	0
Wed Jun 22 23:14:43 2016	58213	70	0	0
Wed Jun 22 23:14:43 2016	58214	71	0	0
Wed Jun 22 23:14:43 2016	58215	71	0	0
Wed Jun 22 23:14:43 2016	58216	71	0	0
Wed Jun 22 23:14:43 2016	58217	71	0	0
Wed Jun 22 23:14:43 2016	58218	70	0	0
Wed Jun 22 23:14:43 2016	58219	68	0	0
Wed Jun 22 23:14:43 2016	58220	71	0	0
Wed Jun 22 23:14:43 2016	58221	70	0	0
Wed Jun 22 23:14:43 2016	58222	70	0	0
Wed Jun 22 23:14:43 2016	58223	71	0	0
Wed Jun 22 23:14:43 2016	58224	68	0	0
Wed Jun 22 23:14:43 2016	58225	70	0	0
Wed Jun 22 23:14:43 2016	58226	72	0	0
Wed Jun 22 23:14:43 2016	58227	69	0	0
Wed Jun 22 23:14:43 2016	58228	72	0	0
Wed Jun 22 23:14:43 2016	58229	71	0	0
Wed Jun 22 23:14:43 2016	58230	72	0	0
Wed Jun 22 23:14:43 2016	58231	70	0	0
Wed Jun 22 23:14:43 2016	58232	70	0	0
Wed Jun 22 23:14:43 2016	58233	69	0	0
Wed Jun 22 23:14:43 2016	58234	70	0	0
Wed Jun 22 23:14:43 2016	58235	70	0	0
Wed Jun 22 23:14:43 2016	58236	71	0	0
Wed Jun 22 23:14:43 2016	58237	69	0	0
Wed Jun 22 23:14:43 2016	58238	69	0	0
Wed Jun 22 23:14:43 2016	58239	69	0	0
Wed Jun 22 23:14:43 2016	58240	70	0	0
Wed Jun 22 23:14:43 2016	58241	70	0	0
Wed Jun 22 23:14:43 2016	58242	70	0	0
Wed Jun 22 23:14:43 2016	58243	70	0	0
Wed Jun 22 23:14:43 2016	58244	70	0	0
Wed Jun 22 23:14:43 2016	58245	71	0	0
Wed Jun 22 23:14:43 2016	58246	71	0	0
Wed Jun 22 23:14:43 2016	58247	70	0	0
Wed Jun 22 23:14:43 2016	58248	69	0	0
Wed Jun 22 23:14:43 2016	58249	71	0	0
Wed Jun 22 23:14:43 2016	58250	68	0	0
Wed Jun 22 23:14:43 2016	58251	69	0	0
Wed Jun 22 23:14:43 2016	58252	68	0	0
Wed Jun 22 23:14:43 2016	58253	71	0	0
Wed Jun 22 23:14:43 2016	58254	70	0	0
Wed Jun 22 23:14:43 2016	58255	69	0	0
Wed Jun 22 23:14:43 2016	58256	69	0	0
Wed Jun 22 23:14:43 2016	58257	70	0	0
Wed Jun 22 23:14:43 2016	58258	70	0	0
Wed Jun 22 23:14:43 2016	58259	69	0	0
Wed Jun 22 23:14:43 2016	58260	70	0	0
Wed Jun 22 23:14:43 2016	58261	71	0	0
Wed Jun 22 23:14:43 2016	58262	71	0	0
Wed Jun 22 23:14:43 2016	58263	70	0	0
Wed Jun 22 23:14:43 2016	58264	69	0	0
Wed Jun 22 23:14:43 2016	58265	69	0	0
Wed Jun 22 23:14:43 2016	58266	70	0	0
Wed Jun 22 23:14:43 2016	58267	70	0	0
Wed Jun 22 23:14:43 2016	58268	69	0	0
Wed Jun 22 23:14:43 2016	58269	70	0	0
Wed Jun 22 23:14:43 2016	58270	70	0	0
Wed Jun 22 23:14:43 2016	58271	69	0	0
Wed Jun 22 23:14:43 2016	58272	69	0	0
Wed Jun 22 23:14:43 2016	58273	69	0	0
Wed Jun 22 23:14:43 2016	58274	69	0	0
Wed Jun 22 23:14:43 2016	58275	69	0	0
Wed Jun 22 23:14:43 2016	58276	70	0	0
Wed Jun 22 23:14:43 2016	58277	70	0	0
Wed Jun 22 23:14:43 2016	58278	71	0	0
Wed Jun 22 23:14:43 2016	58279	71	0	0
Wed Jun 22 23:14:43 2016	58280	69	0	0
Wed Jun 22 23:14:43 2016	58281	69	0	0
Wed Jun 22 23:14:43 2016	58282	69	0	0
Wed Jun 22 23:14:43 2016	58283	71	0	0
Wed Jun 22 23:14:43 2016	58284	69	0	0
Wed Jun 22 23:14:43 2016	58285	71	0	0
Wed Jun 22 23:14:43 2016	58286	69	0	0
Wed Jun 22 23:14:43 2016	58287	68	0	0
Wed Jun 22 23:14:43 2016	58288	71	0	0
Wed Jun 22 23:14:43 2016	58289	71	0	0
Wed Jun 22 23:14:43 2016	58290	71	0	0
Wed Jun 22 23:14:43 2016	58291	69	0	0
Wed Jun 22 23:14:43 2016	58292	70	0	0
Wed Jun 22 23:14:43 2016	58293	72	0	0
Wed Jun 22 23:14:43 2016	58294	68	0	0
Wed Jun 22 23:14:43 2016	58295	70	0	0
Wed Jun 22 23:14:43 2016	58296	70	0	0
Wed Jun 22 23:14:43 2016	58297	72	0	0
Wed Jun 22 23:14:43 2016	58298	71	0	0
Wed Jun 22 23:14:43 2016	58299	70	0	0
Wed Jun 22 23:14:43 2016	58300	70	0	0
Wed Jun 22 23:14:43 2016	58301	69	0	0
Wed Jun 22 23:14:43 2016	58302	70	0	0
Wed Jun 22 23:14:43 2016	58303	70	0	0
Wed Jun 22 23:14:43 2016	58304	68	0	0
Wed Jun 22 23:14:43 2016	58305	70	0	0
Wed Jun 22 23:14:43 2016	58306	71	0	0
Wed Jun 22 23:14:43 2016	58307	71	0	0
Wed Jun 22 23:14:43 2016	58308	71	0	0
Wed Jun 22 23:14:43 2016	58309	71	0	0
Wed Jun 22 23:14:43 2016	58310	70	0	0
Wed Jun 22 23:14:43 2016	58311	71	0	0
