DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Wed Jun 22 23:22:17 2016	29366	13	0	0
Wed Jun 22 23:22:17 2016	29372	12	0	0
Wed Jun 22 23:22:17 2016	29378	13	0	0
Wed Jun 22 23:22:17 2016	29384	13	0	0
Wed Jun 22 23:22:17 2016	29390	14	0	0
Wed Jun 22 23:22:17 2016	29396	14	0	0
Wed Jun 22 23:22:17 2016	29402	13	0	0
Wed Jun 22 23:22:17 2016	29408	13	0	0
Wed Jun 22 23:22:17 2016	29414	14	0	0
Wed Jun 22 23:22:17 2016	29420	13	0	0
Wed Jun 22 23:22:17 2016	29426	13	0	0
Wed Jun 22 23:22:17 2016	29432	13	0	0
Wed Jun 22 23:22:17 2016	29438	13	0	0
Wed Jun 22 23:22:17 2016	29444	13	0	0
Wed Jun 22 23:22:17 2016	29450	13	0	0
Wed Jun 22 23:22:17 2016	29456	11	0	0
Wed Jun 22 23:22:17 2016	29462	13	0	0
Wed Jun 22 23:22:17 2016	29468	14	0	0
Wed Jun 22 23:22:17 2016	29474	13	0	0
Wed Jun 22 23:22:17 2016	29480	14	0	0
Wed Jun 22 23:22:17 2016	29486	12	0	0
Wed Jun 22 23:22:17 2016	29492	14	0	0
Wed Jun 22 23:22:17 2016	29498	13	0	0
Wed Jun 22 23:22:17 2016	29504	12	0	0
Wed Jun 22 23:22:17 2016	29510	13	0	0
Wed Jun 22 23:22:17 2016	29516	14	0	0
Wed Jun 22 23:22:17 2016	29522	13	0	0
Wed Jun 22 23:22:17 2016	29528	13	0	0
Wed Jun 22 23:22:17 2016	29534	14	0	0
Wed Jun 22 23:22:17 2016	29540	13	0	0
Wed Jun 22 23:22:17 2016	29546	14	0	0
Wed Jun 22 23:22:17 2016	29552	13	0	0
Wed Jun 22 23:22:17 2016	29558	13	0	0
Wed Jun 22 23:22:17 2016	29564	13	0	0
Wed Jun 22 23:22:17 2016	29570	14	0	0
Wed Jun 22 23:22:17 2016	29576	14	0	0
Wed Jun 22 23:22:17 2016	29582	13	0	0
Wed Jun 22 23:22:17 2016	29588	12	0	0
Wed Jun 22 23:22:17 2016	29594	13	0	0
Wed Jun 22 23:22:17 2016	29600	13	0	0
Wed Jun 22 23:22:17 2016	29606	13	0	0
Wed Jun 22 23:22:17 2016	29612	14	0	0
Wed Jun 22 23:22:17 2016	29618	13	0	0
Wed Jun 22 23:22:17 2016	29624	14	0	0
Wed Jun 22 23:22:17 2016	29630	13	0	0
Wed Jun 22 23:22:17 2016	29636	12	0	0
Wed Jun 22 23:22:17 2016	29642	14	0	0
Wed Jun 22 23:22:17 2016	29648	13	0	0
Wed Jun 22 23:22:17 2016	29654	12	0	0
Wed Jun 22 23:22:17 2016	29660	13	0	0
Wed Jun 22 23:22:17 2016	29666	13	0	0
Wed Jun 22 23:22:17 2016	29672	13	0	0
Wed Jun 22 23:22:17 2016	29678	13	0	0
Wed Jun 22 23:22:17 2016	29684	13	0	0
Wed Jun 22 23:22:17 2016	29690	13	0	0
Wed Jun 22 23:22:17 2016	29696	15	0	0
Wed Jun 22 23:22:17 2016	29702	14	0	0
Wed Jun 22 23:22:17 2016	29708	14	0	0
Wed Jun 22 23:22:17 2016	29714	13	0	0
Wed Jun 22 23:22:17 2016	29720	12	0	0
Wed Jun 22 23:22:17 2016	29726	14	0	0
Wed Jun 22 23:22:17 2016	29732	14	0	0
Wed Jun 22 23:22:17 2016	29738	14	0	0
Wed Jun 22 23:22:17 2016	29744	14	0	0
