DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
155,28,0,0
Wed Jun 22 23:24:46 2016,17156,34,0Wed Jun 22 23:25:20 2016,50668,70,0,0
Wed Jun 22 23:25:20 2016,50669,71,0,0
Wed Jun 22 23:25:20 2016,50670,69,0,0
Wed Jun 22 23:25:20 2016,50671,70,0,0
Wed Jun 22 23:25:20 2016,50672,70,0,0
Wed Jun 22 23:25:20 2016,50673,70,0,0
Wed Jun 22 23:25:20 2016,50674,71,0,0
Wed Jun 22 23:25:20 2016,50675,70,0,0
Wed Jun 22 23:25:20 2016,50676,70,0,0
Wed Jun 22 23:25:20 2016,50677,71,0,0
Wed Jun 22 23:25:20 2016,50678,71,0,0
Wed Jun 22 23:25:20 2016,50679,70,0,0
Wed Jun 22 23:25:20 2016,50680,70,0,0
Wed Jun 22 23:25:20 2016,50681,69,0,0
Wed Jun 22 23:25:20 2016,50682,70,0,0
Wed Jun 22 23:25:20 2016,50683,69,0,0
Wed Jun 22 23:25:20 2016,50684,71,0,0
Wed Jun 22 23:25:20 2016,50685,70,0,0
Wed Jun 22 23:25:20 2016,50686,70,0,0
Wed Jun 22 23:25:20 2016,50687,69,0,0
Wed Jun 22 23:25:20 2016,50688,70,0,0
Wed Jun 22 23:25:20 2016,50689,70,0,0
Wed Jun 22 23:25:20 2016,50690,69,0,0
Wed Jun 22 23:25:20 2016,50691,70,0,0
Wed Jun 22 23:25:20 2016,50692,71,0,0
Wed Jun 22 23:25:20 2016,50693,69,0,0
Wed Jun 22 23:25:20 2016,50694,70,0,0
Wed Jun 22 23:25:20 2016,50695,71,0,0
Wed Jun 22 23:25:20 2016,50696,69,0,0
Wed Jun 22 23:25:20 2016,50697,70,0,0
Wed Jun 22 23:25:20 2016,50698,70,0,0
Wed Jun 22 23:25:20 2016,50699,71,0,0
Wed Jun 22 23:25:20 2016,50700,71,0,0
Wed Jun 22 23:25:20 2016,50701,71,0,0
Wed Jun 22 23:25:20 2016,50702,72,0,0
Wed Jun 22 23:25:20 2016,50703,70,0,0
Wed Jun 22 23:25:20 2016,50704,70,0,0
Wed Jun 22 23:25:20 2016,50705,71,0,0
Wed Jun 22 23:25:20 2016,50706,70,0,0
Wed Jun 22 23:25:20 2016,50707,70,0,0
Wed Jun 22 23:25:20 2016,50708,69,0,0
Wed Jun 22 23:25:20 2016,50709,70,0,0
Wed Jun 22 23:25:20 2016,50710,70,0,0
Wed Jun 22 23:25:20 2016,50711,70,0,0
Wed Jun 22 23:25:20 2016,50712,70,0,0
Wed Jun 22 23:25:20 2016,50713,71,0,0
Wed Jun 22 23:25:20 2016,50714,69,0,0
Wed Jun 22 23:25:20 2016,50715,70,0,0
Wed Jun 22 23:25:20 2016,50716,70,0,0
Wed Jun 22 23:25:20 2016,50717,70,0,0
Wed Jun 22 23:25:20 2016,50718,70,0,0
Wed Jun 22 23:25:20 2016,50719,69,0,0
Wed Jun 22 23:25:20 2016,50720,70,0,0
Wed Jun 22 23:25:20 2016,50721,70,0,0
Wed Jun 22 23:25:20 2016,50722,72,0,0
Wed Jun 22 23:25:20 2016,50723,70,0,0
Wed Jun 22 23:25:20 2016,50724,71,0,0
Wed Jun 22 23:25:20 2016,50725,71,0,0
Wed Jun 22 23:25:20 2016,50726,71,0,0
Wed Jun 22 23:25:20 2016,50727,69,0,0
Wed Jun 22 23:25:20 2016,50728,69,0,0
Wed Jun 22 23:25:20 2016,50729,69,0,0
Wed Jun 22 23:25:20 2016,50730,70,0,0
Wed Jun 22 23:25:20 2016,50731,70,0,0
Wed Jun 22 23:25:20 2016,50732,71,0,0
Wed Jun 22 23:25:20 2016,50733,70,0,0
Wed Jun 22 23:25:20 2016,50734,70,0,0
Wed Jun 22 23:25:20 2016,50735,70,0,0
Wed Jun 22 23:25:20 2016,50736,71,0,0
Wed Jun 22 23:25:20 2016,50737,70,0,0
Wed Jun 22 23:25:20 2016,50738,70,0,0
Wed Jun 22 23:25:20 2016,50739,70,0,0
Wed Jun 22 23:25:20 2016,50740,70,0,0
Wed Jun 22 23:25:20 2016,50741,70,0,0
Wed Jun 22 23:25:20 2016,50742,70,0,0
Wed Jun 22 23:25:20 2016,50743,70,0,0
Wed Jun 22 23:25:20 2016,50744,71,0,0
Wed Jun 22 23:25:20 2016,50745,71,0,0
Wed Jun 22 23:25:20 2016,50746,70,0,0
Wed Jun 22 23:25:20 2016,50747,70,0,0
Wed Jun 22 23:25:20 2016,50748,70,0,0
Wed Jun 22 23:25:20 2016,50749,70,0,0
Wed Jun 22 23:25:20 2016,50750,70,0,0
Wed Jun 22 23:25:20 2016,50751,69,0,0
Wed Jun 22 23:25:20 2016,50752,71,0,0
Wed Jun 22 23:25:20 2016,50753,70,0,0
Wed Jun 22 23:25:20 2016,50754,71,0,0
Wed Jun 22 23:25:20 2016,50755,70,0,0
Wed Jun 22 23:25:20 2016,50756,71,0,0
