DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
Wed Jun 22 23:58:10 2016,109695,33,0,0
Wed Jun 22 23:58:10 2016,109696,33,0,0
Wed Jun 22 23:58:10 2016,109697,33,0,0
Wed Jun 22 23:58:10 2016,109698,33,0,0
Wed Jun 22 23:58:10 2016,109699,33,0,0
Wed Jun 22 23:58:10 2016,109700,33,0,0
Wed Jun 22 23:58:10 2016,109701,33,0,0
Wed Jun 22 23:58:10 2016,109702,33,0,0
Wed Jun 22 23:58:10 2016,109703,33,0,0
Wed Jun 22 23:58:10 2016,109704,33,0,0
Wed Jun 22 23:58:10 2016,109705,32,0,0
Wed Jun 22 23:58:10 2016,109706,32,0,0
Wed Jun 22 23:58:10 2016,109707,33,0,0
Wed Jun 22 23:58:10 2016,109708,33,0,0
Wed Jun 22 23:58:10 2016,109709,33,0,0
Wed Jun 22 23:58:10 2016,109710,33,0,0
Wed Jun 22 23:58:10 2016,109711,33,0,0
Wed Jun 22 23:58:10 2016,109712,33,0,0
Wed Jun 22 23:58:10 2016,109713,33,0,0
Wed Jun 22 23:58:10 2016,109714,33,0,0
Wed Jun 22 23:58:10 2016,109715,33,0,0
Wed Jun 22 23:58:10 2016,109716,33,0,0
Wed Jun 22 23:58:10 2016,109717,32,0,0
Wed Jun 22 23:58:10 2016,109718,33,0,0
Wed Jun 22 23:58:10 2016,109719,33,0,0
Wed Jun 22 23:58:10 2016,109720,33,0,0
Wed Jun 22 23:58:10 2016,109721,33,0,0
Wed Jun 22 23:58:10 2016,109722,33,0,0
Wed Jun 22 23:58:10 2016,109723,33,0,0
Wed Jun 22 23:58:10 2016,109724,33,0,0
Wed Jun 22 23:58:10 2016,109725,33,0,0
Wed Jun 22 23:58:10 2016,109726,33,0,0
Wed Jun 22 23:58:10 2016,109727,33,0,0
Wed Jun 22 23:58:10 2016,109728,33,0,0
Wed Jun 22 23:58:10 2016,109729,33,0,0
Wed Jun 22 23:58:10 2016,109730,33,0,0
Wed Jun 22 23:58:10 2016,109731,33,0,0
Wed Jun 22 23:58:10 2016,109732,33,0,0
Wed Jun 22 23:58:10 2016,109733,32,0,0
Wed Jun 22 23:58:10 2016,109734,33,0,0
Wed Jun 22 23:58:10 2016,109735,32,0,0
Wed Jun 22 23:58:10 2016,109736,33,0,0
Wed Jun 22 23:58:10 2016,109737,32,0,0
Wed Jun 22 23:58:10 2016,109738,33,0,0
Wed Jun 22 23:58:10 2016,109739,32,0,0
Wed Jun 22 23:58:10 2016,109740,33,0,0
Wed Jun 22 23:58:10 2016,109741,33,0,0
Wed Jun 22 23:58:10 2016,109742,33,0,0
Wed Jun 22 23:58:10 2016,109743,33,0,0
Wed Jun 22 23:58:10 2016,109744,33,0,0
Wed Jun 22 23:58:10 2016,109745,33,0,0
Wed Jun 22 23:58:10 2016,109746,33,0,0
Wed Jun 22 23:58:10 2016,109747,33,0,0
Wed Jun 22 23:58:10 2016,109748,33,0,0
Wed Jun 22 23:58:10 2016,109749,32,0,0
Wed Jun 22 23:58:10 2016,109750,33,0,0
Wed Jun 22 23:58:10 2016,109751,33,0,0
Wed Jun 22 23:58:10 2016,109752,33,0,0
Wed Jun 22 23:58:10 2016,109753,33,0,0
Wed Jun 22 23:58:10 2016,109754,33,0,0
Wed Jun 22 23:58:10 2016,109755,33,0,0
Wed Jun 22 23:58:10 2016,109756,32,0,0
Wed Jun 22 23:58:10 2016,109757,33,0,0
Wed Jun 22 23:58:10 2016,109758,33,0,0
Wed Jun 22 23:58:10 2016,109759,33,0,0
Wed Jun 22 23:58:10 2016,109760,33,0,0
Wed Jun 22 23:58:10 2016,109761,33,0,0
Wed Jun 22 23:58:10 2016,109762,33,0,0
Wed Jun 22 23:58:10 2016,109763,33,0,0
Wed Jun 22 23:58:10 2016,109764,33,0,0
Wed Jun 22 23:58:10 2016,109765,33,0,0
Wed Jun 22 23:58:10 2016,109766,33,0,0
Wed Jun 22 23:58:10 2016,109767,33,0,0
Wed Jun 22 23:58:10 2016,109768,33,0,0
Wed Jun 22 23:58:10 2016,109769,33,0,0
Wed Jun 22 23:58:10 2016,109770,33,0,0
Wed Jun 22 23:58:10 2016,109771,32,0,0
Wed Jun 22 23:58:10 2016,109772,33,0,0
Wed Jun 22 23:58:10 2016,109773,33,0,0
Wed Jun 22 23:58:11 2016,109774,33,0,0
Wed Jun 22 23:58:11 2016,109775,33,0,0
Wed Jun 22 23:58:11 2016,109776,33,0,0
Wed Jun 22 23:58:11 2016,109777,33,0,0
Wed Jun 22 23:58:11 2016,109778,33,0,0
Wed Jun 22 23:58:11 2016,109779,33,0,0
Wed Jun 22 23:58:11 2016,109780,33,0,0
Wed Jun 22 23:58:11 2016,109781,33,0,0
Wed Jun 22 23:58:11 2016,109782,32,0,0
Wed Jun 22 23:58:11 2016,109783,33,0,0
Wed Jun 22 23:58:11 2016,109784,32,0,0
Wed Jun 22 23:58:11 2016,109785,33,0,0
Wed Jun 22 23:58:11 2016,109786,33,0,0
Wed Jun 22 23:58:11 2016,109787,33,0,0
Wed Jun 22 23:58:11 2016,109788,32,0,0
