DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
731,15,0,0
Thu Jun 23 20:36:01 2016,15732,15,0Thu Jun 23 20:36:38 2016,53491,16,0,0
Thu Jun 23 20:36:38 2016,53492,16,0,0
Thu Jun 23 20:36:38 2016,53493,16,0,0
Thu Jun 23 20:36:38 2016,53494,17,0,0
Thu Jun 23 20:36:38 2016,53495,16,0,0
Thu Jun 23 20:36:38 2016,53496,16,0,0
Thu Jun 23 20:36:38 2016,53497,17,0,0
Thu Jun 23 20:36:38 2016,53498,16,0,0
Thu Jun 23 20:36:38 2016,53499,16,0,0
Thu Jun 23 20:36:38 2016,53500,16,0,0
Thu Jun 23 20:36:38 2016,53501,16,0,0
Thu Jun 23 20:36:38 2016,53502,16,0,0
Thu Jun 23 20:36:38 2016,53503,17,0,0
Thu Jun 23 20:36:38 2016,53504,16,0,0
Thu Jun 23 20:36:38 2016,53505,16,0,0
Thu Jun 23 20:36:38 2016,53506,16,0,0
Thu Jun 23 20:36:38 2016,53507,17,0,0
Thu Jun 23 20:36:38 2016,53508,17,0,0
Thu Jun 23 20:36:38 2016,53509,16,0,0
Thu Jun 23 20:36:38 2016,53510,16,0,0
Thu Jun 23 20:36:38 2016,53511,16,0,0
Thu Jun 23 20:36:38 2016,53512,16,0,0
Thu Jun 23 20:36:38 2016,53513,16,0,0
Thu Jun 23 20:36:38 2016,53514,16,0,0
Thu Jun 23 20:36:38 2016,53515,16,0,0
Thu Jun 23 20:36:38 2016,53516,16,0,0
Thu Jun 23 20:36:38 2016,53517,16,0,0
Thu Jun 23 20:36:38 2016,53518,16,0,0
Thu Jun 23 20:36:38 2016,53519,16,0,0
Thu Jun 23 20:36:38 2016,53520,16,0,0
Thu Jun 23 20:36:38 2016,53521,16,0,0
Thu Jun 23 20:36:38 2016,53522,16,0,0
Thu Jun 23 20:36:38 2016,53523,17,0,0
Thu Jun 23 20:36:38 2016,53524,16,0,0
Thu Jun 23 20:36:38 2016,53525,16,0,0
Thu Jun 23 20:36:38 2016,53526,16,0,0
Thu Jun 23 20:36:38 2016,53527,16,0,0
Thu Jun 23 20:36:38 2016,53528,16,0,0
Thu Jun 23 20:36:38 2016,53529,16,0,0
Thu Jun 23 20:36:38 2016,53530,16,0,0
Thu Jun 23 20:36:38 2016,53531,16,0,0
Thu Jun 23 20:36:38 2016,53532,16,0,0
Thu Jun 23 20:36:38 2016,53533,16,0,0
Thu Jun 23 20:36:38 2016,53534,16,0,0
Thu Jun 23 20:36:38 2016,53535,16,0,0
Thu Jun 23 20:36:38 2016,53536,16,0,0
Thu Jun 23 20:36:38 2016,53537,16,0,0
Thu Jun 23 20:36:38 2016,53538,16,0,0
Thu Jun 23 20:36:38 2016,53539,16,0,0
Thu Jun 23 20:36:38 2016,53540,17,0,0
Thu Jun 23 20:36:38 2016,53541,16,0,0
Thu Jun 23 20:36:38 2016,53542,16,0,0
Thu Jun 23 20:36:38 2016,53543,16,0,0
Thu Jun 23 20:36:38 2016,53544,16,0,0
Thu Jun 23 20:36:38 2016,53545,16,0,0
Thu Jun 23 20:36:38 2016,53546,16,0,0
Thu Jun 23 20:36:38 2016,53547,17,0,0
Thu Jun 23 20:36:38 2016,53548,17,0,0
Thu Jun 23 20:36:38 2016,53549,16,0,0
Thu Jun 23 20:36:38 2016,53550,16,0,0
Thu Jun 23 20:36:38 2016,53551,16,0,0
Thu Jun 23 20:36:38 2016,53552,16,0,0
Thu Jun 23 20:36:38 2016,53553,16,0,0
Thu Jun 23 20:36:38 2016,53554,16,0,0
Thu Jun 23 20:36:38 2016,53555,16,0,0
Thu Jun 23 20:36:38 2016,53556,16,0,0
Thu Jun 23 20:36:38 2016,53557,16,0,0
Thu Jun 23 20:36:38 2016,53558,16,0,0
Thu Jun 23 20:36:38 2016,53559,16,0,0
Thu Jun 23 20:36:38 2016,53560,16,0,0
Thu Jun 23 20:36:38 2016,53561,16,0,0
Thu Jun 23 20:36:38 2016,53562,17,0,0
Thu Jun 23 20:36:38 2016,53563,16,0,0
Thu Jun 23 20:36:38 2016,53564,16,0,0
Thu Jun 23 20:36:38 2016,53565,16,0,0
Thu Jun 23 20:36:38 2016,53566,16,0,0
Thu Jun 23 20:36:38 2016,53567,16,0,0
Thu Jun 23 20:36:38 2016,53568,16,0,0
Thu Jun 23 20:36:38 2016,53569,16,0,0
Thu Jun 23 20:36:38 2016,53570,16,0,0
Thu Jun 23 20:36:38 2016,53571,16,0,0
Thu Jun 23 20:36:38 2016,53572,16,0,0
Thu Jun 23 20:36:38 2016,53573,16,0,0
Thu Jun 23 20:36:38 2016,53574,17,0,0
Thu Jun 23 20:36:38 2016,53575,16,0,0
Thu Jun 23 20:36:38 2016,53576,16,0,0
Thu Jun 23 20:36:38 2016,53577,16,0,0
Thu Jun 23 20:36:38 2016,53578,16,0,0
Thu Jun 23 20:36:38 2016,53579,16,0,0
Thu Jun 23 20:36:38 2016,53580,16,0,0
Thu Jun 23 20:36:38 2016,53581,16,0,0
Thu Jun 23 20:36:38 2016,53582,16,0,0
Thu Jun 23 20:36:38 2016,53583,16,0,0
Thu Jun 23 20:36:38 2016,53584,16,0,0
Thu Jun 23 20:36:38 2016,53585,16,0,0
Thu Jun 23 20:36:38 2016,53586,16,0,0
Thu Jun 23 20:36:38 2016,53587,16,0,0
Thu Jun 23 20:36:38 2016,53588,17,0,0
Thu Jun 23 20:36:38 2016,53589,17,0,0
Thu Jun 23 20:36:38 2016,53590,16,0,0
Thu Jun 23 20:36:38 2016,53591,16,0,0
Thu Jun 23 20:36:38 2016,53592,17,0,0
Thu Jun 23 20:36:38 2016,53593,16,0,0
Thu Jun 23 20:36:38 2016,53594,16,0,0
Thu Jun 23 20:36:38 2016,53595,16,0,0
Thu Jun 23 20:36:38 2016,53596,16,0,0
Thu Jun 23 20:36:38 2016,53597,16,0,0
Thu Jun 23 20:36:38 2016,53598,16,0,0
Thu Jun 23 20:36:38 2016,53599,16,0,0
Thu Jun 23 20:36:38 2016,53600,16,0,0
Thu Jun 23 20:36:38 2016,53601,16,0,0
Thu Jun 23 20:36:38 2016,53602,16,0,0
Thu Jun 23 20:36:38 2016,53603,16,0,0
Thu Jun 23 20:36:38 2016,53604,16,0,0
Thu Jun 23 20:36:38 2016,53605,17,0,0
Thu Jun 23 20:36:38 2016,53606,16,0,0
Thu Jun 23 20:36:38 2016,53607,16,0,0
Thu Jun 23 20:36:38 2016,53608,16,0,0
Thu Jun 23 20:36:38 2016,53609,16,0,0
Thu Jun 23 20:36:38 2016,53610,16,0,0
Thu Jun 23 20:36:38 2016,53611,16,0,0
Thu Jun 23 20:36:38 2016,53612,16,0,0
Thu Jun 23 20:36:38 2016,53613,16,0,0
Thu Jun 23 20:36:38 2016,53614,16,0,0
Thu Jun 23 20:36:38 2016,53615,16,0,0
Thu Jun 23 20:36:38 2016,53616,16,0,0
Thu Jun 23 20:36:38 2016,53617,16,0,0
Thu Jun 23 20:36:38 2016,53618,16,0,0
Thu Jun 23 20:36:38 2016,53619,16,0,0
Thu Jun 23 20:36:38 2016,53620,16,0,0
Thu Jun 23 20:36:38 2016,53621,16,0,0
Thu Jun 23 20:36:38 2016,53622,16,0,0
Thu Jun 23 20:36:38 2016,53623,16,0,0
Thu Jun 23 20:36:38 2016,53624,16,0,0
Thu Jun 23 20:36:38 2016,53625,17,0,0
Thu Jun 23 20:36:38 2016,53626,16,0,0
Thu Jun 23 20:36:38 2016,53627,16,0,0
Thu Jun 23 20:36:38 2016,53628,16,0,0
Thu Jun 23 20:36:38 2016,53629,16,0,0
Thu Jun 23 20:36:38 2016,53630,16,0,0
Thu Jun 23 20:36:38 2016,53631,16,0,0
