DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Thu Jun 23Thu Jun 23 20:39:20 2016	28260	17	0	0
Thu Jun 23 20:39:20 2016	28266	16	0	0
Thu Jun 23 20:39:20 2016	28272	16	0	0
Thu Jun 23 20:39:20 2016	28278	16	0	0
Thu Jun 23 20:39:20 2016	28284	16	0	0
Thu Jun 23 20:39:20 2016	28290	16	0	0
Thu Jun 23 20:39:20 2016	28296	16	0	0
Thu Jun 23 20:39:20 2016	28302	16	0	0
Thu Jun 23 20:39:20 2016	28308	16	0	0
Thu Jun 23 20:39:20 2016	28314	16	0	0
Thu Jun 23 20:39:20 2016	28320	16	0	0
Thu Jun 23 20:39:20 2016	28326	16	0	0
Thu Jun 23 20:39:20 2016	28332	16	0	0
Thu Jun 23 20:39:20 2016	28338	16	0	0
Thu Jun 23 20:39:20 2016	28344	17	0	0
Thu Jun 23 20:39:20 2016	28350	16	0	0
Thu Jun 23 20:39:20 2016	28356	16	0	0
Thu Jun 23 20:39:20 2016	28362	16	0	0
Thu Jun 23 20:39:20 2016	28368	16	0	0
Thu Jun 23 20:39:20 2016	28374	16	0	0
Thu Jun 23 20:39:20 2016	28380	16	0	0
Thu Jun 23 20:39:20 2016	28386	17	0	0
Thu Jun 23 20:39:20 2016	28392	17	0	0
Thu Jun 23 20:39:20 2016	28398	16	0	0
Thu Jun 23 20:39:20 2016	28404	16	0	0
Thu Jun 23 20:39:20 2016	28410	16	0	0
Thu Jun 23 20:39:20 2016	28416	16	0	0
Thu Jun 23 20:39:20 2016	28422	17	0	0
Thu Jun 23 20:39:20 2016	28428	17	0	0
Thu Jun 23 20:39:20 2016	28434	16	0	0
Thu Jun 23 20:39:20 2016	28440	17	0	0
Thu Jun 23 20:39:20 2016	28446	16	0	0
Thu Jun 23 20:39:20 2016	28452	16	0	0
Thu Jun 23 20:39:20 2016	28458	16	0	0
Thu Jun 23 20:39:20 2016	28464	16	0	0
Thu Jun 23 20:39:20 2016	28470	16	0	0
Thu Jun 23 20:39:20 2016	28476	16	0	0
Thu Jun 23 20:39:20 2016	28482	16	0	0
Thu Jun 23 20:39:20 2016	28488	16	0	0
Thu Jun 23 20:39:20 2016	28494	16	0	0
Thu Jun 23 20:39:20 2016	28500	16	0	0
Thu Jun 23 20:39:20 2016	28506	16	0	0
Thu Jun 23 20:39:20 2016	28512	17	0	0
Thu Jun 23 20:39:20 2016	28518	16	0	0
Thu Jun 23 20:39:20 2016	28524	16	0	0
Thu Jun 23 20:39:20 2016	28530	16	0	0
Thu Jun 23 20:39:20 2016	28536	16	0	0
Thu Jun 23 20:39:20 2016	28542	16	0	0
Thu Jun 23 20:39:20 2016	28548	16	0	0
Thu Jun 23 20:39:20 2016	28554	16	0	0
Thu Jun 23 20:39:20 2016	28560	17	0	0
Thu Jun 23 20:39:20 2016	28566	16	0	0
Thu Jun 23 20:39:20 2016	28572	16	0	0
Thu Jun 23 20:39:20 2016	28578	16	0	0
Thu Jun 23 20:39:20 2016	28584	16	0	0
Thu Jun 23 20:39:20 2016	28590	17	0	0
Thu Jun 23 20:39:20 2016	28596	16	0	0
Thu Jun 23 20:39:20 2016	28602	16	0	0
Thu Jun 23 20:39:20 2016	28608	16	0	0
Thu Jun 23 20:39:20 2016	28614	16	0	0
Thu Jun 23 20:39:20 2016	28620	17	0	0
Thu Jun 23 20:39:20 2016	28626	16	0	0
Thu Jun 23 20:39:20 2016	28632	17	0	0
Thu Jun 23 20:39:20 2016	28638	17	0	0
Thu Jun 23 20:39:20 2016	28644	16	0	0
Thu Jun 23 20:39:20 2016	28650	16	0	0
Thu Jun 23 20:39:20 2016	28656	17	0	0
Thu Jun 23 20:39:20 2016	28662	16	0	0
Thu Jun 23 20:39:20 2016	28668	16	0	0
Thu Jun 23 20:39:20 2016	28674	16	0	0
Thu Jun 23 20:39:20 2016	28680	17	0	0
Thu Jun 23 20:39:20 2016	28686	16	0	0
Thu Jun 23 20:39:20 2016	28692	16	0	0
Thu Jun 23 20:39:20 2016	28698	16	0	0
Thu Jun 23 20:39:20 2016	28704	16	0	0
Thu Jun 23 20:39:20 2016	28710	16	0	0
Thu Jun 23 20:39:20 2016	28716	16	0	0
Thu Jun 23 20:39:20 2016	28722	16	0	0
Thu Jun 23 20:39:20 2016	28728	16	0	0
Thu Jun 23 20:39:20 2016	28734	16	0	0
Thu Jun 23 20:39:20 2016	28740	17	0	0
Thu Jun 23 20:39:20 2016	28746	16	0	0
Thu Jun 23 20:39:20 2016	28752	16	0	0
Thu Jun 23 20:39:20 2016	28758	16	0	0
Thu Jun 23 20:39:20 2016	28764	17	0	0
Thu Jun 23 20:39:20 2016	28770	16	0	0
Thu Jun 23 20:39:21 2016	28776	16	0	0
Thu Jun 23 20:39:21 2016	28782	16	0	0
Thu Jun 23 20:39:21 2016	28788	16	0	0
Thu Jun 23 20:39:21 2016	28794	16	0	0
Thu Jun 23 20:39:21 2016	28800	16	0	0
Thu Jun 23 20:39:21 2016	28806	16	0	0
Thu Jun 23 20:39:21 2016	28812	16	0	0
Thu Jun 23 20:39:21 2016	28818	16	0	0
Thu Jun 23 20:39:21 2016	28824	16	0	0
Thu Jun 23 20:39:21 2016	28830	16	0	0
Thu Jun 23 20:39:21 2016	28836	16	0	0
Thu Jun 23 20:39:21 2016	28842	16	0	0
Thu Jun 23 20:39:21 2016	28848	16	0	0
Thu Jun 23 20:39:21 2016	28854	16	0	0
Thu Jun 23 20:39:21 2016	28860	16	0	0
Thu Jun 23 20:39:21 2016	28866	16	0	0
Thu Jun 23 20:39:21 2016	28872	16	0	0
Thu Jun 23 20:39:21 2016	28878	16	0	0
Thu Jun 23 20:39:21 2016	28884	16	0	0
Thu Jun 23 20:39:21 2016	28890	16	0	0
Thu Jun 23 20:39:21 2016	28896	17	0	0
Thu Jun 23 20:39:21 2016	28902	16	0	0
Thu Jun 23 20:39:21 2016	28908	17	0	0
Thu Jun 23 20:39:21 2016	28914	16	0	0
Thu Jun 23 20:39:21 2016	28920	16	0	0
Thu Jun 23 20:39:21 2016	28926	17	0	0
Thu Jun 23 20:39:21 2016	28932	16	0	0
Thu Jun 23 20:39:21 2016	28938	16	0	0
Thu Jun 23 20:39:21 2016	28944	16	0	0
Thu Jun 23 20:39:21 2016	28950	16	0	0
Thu Jun 23 20:39:21 2016	28956	16	0	0
Thu Jun 23 20:39:21 2016	28962	16	0	0
Thu Jun 23 20:39:21 2016	28968	16	0	0
Thu Jun 23 20:39:21 2016	28974	16	0	0
Thu Jun 23 20:39:21 2016	28980	16	0	0
Thu Jun 23 20:39:21 2016	28986	16	0	0
Thu Jun 23 20:39:21 2016	28992	16	0	0
Thu Jun 23 20:39:21 2016	28998	16	0	0
Thu Jun 23 20:39:21 2016	29004	16	0	0
Thu Jun 23 20:39:21 2016	29010	17	0	0
Thu Jun 23 20:39:21 2016	29016	16	0	0
Thu Jun 23 20:39:21 2016	29022	16	0	0
Thu Jun 23 20:39:21 2016	29028	16	0	0
Thu Jun 23 20:39:21 2016	29034	16	0	0
Thu Jun 23 20:39:21 2016	29040	16	0	0
Thu Jun 23 20:39:21 2016	29046	16	0	0
Thu Jun 23 20:39:21 2016	29052	17	0	0
Thu Jun 23 20:39:21 2016	29058	16	0	0
Thu Jun 23 20:39:21 2016	29064	16	0	0
Thu Jun 23 20:39:21 2016	29070	16	0	0
Thu Jun 23 20:39:21 2016	29076	17	0	0
Thu Jun 23 20:39:21 2016	29082	16	0	0
Thu Jun 23 20:39:21 2016	29088	16	0	0
Thu Jun 23 20:39:21 2016	29094	16	0	0
Thu Jun 23 20:39:21 2016	29100	16	0	0
Thu Jun 23 20:39:21 2016	29106	16	0	0
Thu Jun 23 20:39:21 2016	29112	16	0	0
Thu Jun 23 20:39:21 2016	29118	16	0	0
Thu Jun 23 20:39:21 2016	29124	16	0	0
Thu Jun 23 20:39:21 2016	29130	16	0	0
Thu Jun 23 20:39:21 2016	29136	16	0	0
Thu Jun 23 20:39:21 2016	29142	16	0	0
