DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Thu Jun 23 20:41:21 2016	148769	17	0	0
Thu Jun 23 20:41:21 2016	148775	16	0	0
Thu Jun 23 20:41:21 2016	148781	16	0	0
Thu Jun 23 20:41:21 2016	148787	16	0	0
Thu Jun 23 20:41:21 2016	148793	16	0	0
Thu Jun 23 20:41:21 2016	148799	17	0	0
Thu Jun 23 20:41:21 2016	148805	16	0	0
Thu Jun 23 20:41:21 2016	148811	16	0	0
Thu Jun 23 20:41:21 2016	148817	16	0	0
Thu Jun 23 20:41:21 2016	148823	16	0	0
Thu Jun 23 20:41:21 2016	148829	16	0	0
Thu Jun 23 20:41:21 2016	148835	17	0	0
Thu Jun 23 20:41:21 2016	148841	16	0	0
Thu Jun 23 20:41:21 2016	148847	16	0	0
Thu Jun 23 20:41:21 2016	148853	16	0	0
Thu Jun 23 20:41:21 2016	148859	16	0	0
Thu Jun 23 20:41:21 2016	148865	16	0	0
Thu Jun 23 20:41:21 2016	148871	16	0	0
Thu Jun 23 20:41:21 2016	148877	16	0	0
Thu Jun 23 20:41:21 2016	148883	16	0	0
Thu Jun 23 20:41:21 2016	148889	16	0	0
Thu Jun 23 20:41:21 2016	148895	16	0	0
Thu Jun 23 20:41:21 2016	148901	16	0	0
Thu Jun 23 20:41:21 2016	148907	16	0	0
Thu Jun 23 20:41:21 2016	148913	16	0	0
Thu Jun 23 20:41:21 2016	148919	16	0	0
Thu Jun 23 20:41:21 2016	148925	17	0	0
Thu Jun 23 20:41:21 2016	148931	16	0	0
Thu Jun 23 20:41:21 2016	148937	16	0	0
Thu Jun 23 20:41:21 2016	148943	16	0	0
Thu Jun 23 20:41:21 2016	148949	16	0	0
Thu Jun 23 20:41:21 2016	148955	16	0	0
Thu Jun 23 20:41:21 2016	148961	16	0	0
Thu Jun 23 20:41:21 2016	148967	16	0	0
Thu Jun 23 20:41:21 2016	148973	16	0	0
Thu Jun 23 20:41:21 2016	148979	16	0	0
Thu Jun 23 20:41:21 2016	148985	16	0	0
Thu Jun 23 20:41:21 2016	148991	16	0	0
Thu Jun 23 20:41:21 2016	148997	16	0	0
Thu Jun 23 20:41:21 2016	149003	16	0	0
Thu Jun 23 20:41:21 2016	149009	16	0	0
Thu Jun 23 20:41:21 2016	149015	16	0	0
Thu Jun 23 20:41:21 2016	149021	17	0	0
Thu Jun 23 20:41:21 2016	149027	16	0	0
Thu Jun 23 20:41:21 2016	149033	16	0	0
Thu Jun 23 20:41:21 2016	149039	16	0	0
Thu Jun 23 20:41:21 2016	149045	16	0	0
Thu Jun 23 20:41:21 2016	149051	16	0	0
Thu Jun 23 20:41:21 2016	149057	16	0	0
Thu Jun 23 20:41:21 2016	149063	16	0	0
Thu Jun 23 20:41:21 2016	149069	16	0	0
Thu Jun 23 20:41:21 2016	149075	16	0	0
