DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
un 23 20:41:38 2016,166595,472,0,0
Thu Thu Jun 23 20:55:35 2016,1003222,15,0,0
Thu Jun 23 20:55:35 2016,1003228,13,0,0
Thu Jun 23 20:55:35 2016,1003234,14,0,0
Thu Jun 23 20:55:35 2016,1003240,15,0,0
Thu Jun 23 20:55:35 2016,1003246,13,0,0
Thu Jun 23 20:55:35 2016,1003252,15,0,0
Thu Jun 23 20:55:35 2016,1003258,14,0,0
Thu Jun 23 20:55:35 2016,1003264,13,0,0
Thu Jun 23 20:55:35 2016,1003270,14,0,0
Thu Jun 23 20:55:35 2016,1003276,13,0,0
Thu Jun 23 20:55:35 2016,1003282,13,0,0
Thu Jun 23 20:55:35 2016,1003288,15,0,0
Thu Jun 23 20:55:35 2016,1003294,12,0,0
Thu Jun 23 20:55:35 2016,1003300,13,0,0
Thu Jun 23 20:55:35 2016,1003306,14,0,0
Thu Jun 23 20:55:35 2016,1003312,12,0,0
Thu Jun 23 20:55:35 2016,1003318,15,0,0
Thu Jun 23 20:55:35 2016,1003324,14,0,0
Thu Jun 23 20:55:35 2016,1003330,13,0,0
Thu Jun 23 20:55:35 2016,1003336,13,0,0
Thu Jun 23 20:55:35 2016,1003342,13,0,0
Thu Jun 23 20:55:35 2016,1003348,12,0,0
Thu Jun 23 20:55:35 2016,1003354,14,0,0
Thu Jun 23 20:55:35 2016,1003360,12,0,0
Thu Jun 23 20:55:35 2016,1003366,13,0,0
Thu Jun 23 20:55:35 2016,1003372,14,0,0
Thu Jun 23 20:55:35 2016,1003378,12,0,0
Thu Jun 23 20:55:35 2016,1003384,14,0,0
Thu Jun 23 20:55:35 2016,1003390,13,0,0
Thu Jun 23 20:55:35 2016,1003396,13,0,0
Thu Jun 23 20:55:35 2016,1003402,15,0,0
Thu Jun 23 20:55:35 2016,1003408,14,0,0
Thu Jun 23 20:55:35 2016,1003414,13,0,0
Thu Jun 23 20:55:35 2016,1003420,16,0,0
Thu Jun 23 20:55:35 2016,1003426,13,0,0
Thu Jun 23 20:55:35 2016,1003432,14,0,0
Thu Jun 23 20:55:35 2016,1003438,16,0,0
Thu Jun 23 20:55:35 2016,1003444,12,0,0
Thu Jun 23 20:55:35 2016,1003450,14,0,0
Thu Jun 23 20:55:35 2016,1003456,15,0,0
Thu Jun 23 20:55:35 2016,1003462,12,0,0
Thu Jun 23 20:55:35 2016,1003468,14,0,0
Thu Jun 23 20:55:35 2016,1003474,14,0,0
Thu Jun 23 20:55:35 2016,1003480,13,0,0
Thu Jun 23 20:55:35 2016,1003486,14,0,0
Thu Jun 23 20:55:35 2016,1003492,14,0,0
Thu Jun 23 20:55:35 2016,1003498,13,0,0
Thu Jun 23 20:55:35 2016,1003504,15,0,0
Thu Jun 23 20:55:35 2016,1003510,11,0,0
Thu Jun 23 20:55:35 2016,1003516,14,0,0
