DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Thu Jun 23Thu Jun 23 20:59:14 2016	61291	16	0	0
Thu Jun 23 20:59:14 2016	61297	17	0	0
Thu Jun 23 20:59:14 2016	61303	16	0	0
Thu Jun 23 20:59:14 2016	61309	16	0	0
Thu Jun 23 20:59:14 2016	61315	16	0	0
Thu Jun 23 20:59:14 2016	61321	16	0	0
Thu Jun 23 20:59:14 2016	61327	16	0	0
Thu Jun 23 20:59:14 2016	61333	16	0	0
Thu Jun 23 20:59:14 2016	61339	17	0	0
Thu Jun 23 20:59:14 2016	61345	16	0	0
Thu Jun 23 20:59:14 2016	61351	16	0	0
Thu Jun 23 20:59:14 2016	61357	16	0	0
Thu Jun 23 20:59:14 2016	61363	16	0	0
Thu Jun 23 20:59:14 2016	61369	16	0	0
Thu Jun 23 20:59:14 2016	61375	16	0	0
Thu Jun 23 20:59:14 2016	61381	16	0	0
Thu Jun 23 20:59:14 2016	61387	16	0	0
Thu Jun 23 20:59:14 2016	61393	17	0	0
Thu Jun 23 20:59:14 2016	61399	16	0	0
Thu Jun 23 20:59:14 2016	61405	16	0	0
Thu Jun 23 20:59:14 2016	61411	16	0	0
Thu Jun 23 20:59:14 2016	61417	16	0	0
Thu Jun 23 20:59:14 2016	61423	16	0	0
Thu Jun 23 20:59:14 2016	61429	16	0	0
Thu Jun 23 20:59:14 2016	61435	16	0	0
Thu Jun 23 20:59:14 2016	61441	16	0	0
Thu Jun 23 20:59:14 2016	61447	16	0	0
Thu Jun 23 20:59:14 2016	61453	16	0	0
Thu Jun 23 20:59:14 2016	61459	16	0	0
Thu Jun 23 20:59:14 2016	61465	17	0	0
Thu Jun 23 20:59:14 2016	61471	17	0	0
Thu Jun 23 20:59:14 2016	61477	16	0	0
Thu Jun 23 20:59:14 2016	61483	16	0	0
Thu Jun 23 20:59:14 2016	61489	16	0	0
Thu Jun 23 20:59:14 2016	61495	17	0	0
Thu Jun 23 20:59:14 2016	61501	16	0	0
Thu Jun 23 20:59:14 2016	61507	17	0	0
Thu Jun 23 20:59:14 2016	61513	17	0	0
Thu Jun 23 20:59:14 2016	61519	16	0	0
