DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
827,19,0,0
Mon Dec  1Thu Jun 23 23:08:16 2016,114528,13,0,0
Thu Jun 23 23:08:16 2016,114534,11,0,0
Thu Jun 23 23:08:16 2016,114540,12,0,0
Thu Jun 23 23:08:16 2016,114546,13,0,0
Thu Jun 23 23:08:16 2016,114552,12,0,0
Thu Jun 23 23:08:16 2016,114558,13,0,0
Thu Jun 23 23:08:16 2016,114564,13,0,0
Thu Jun 23 23:08:16 2016,114570,12,0,0
Thu Jun 23 23:08:16 2016,114576,12,0,0
Thu Jun 23 23:08:16 2016,114582,13,0,0
Thu Jun 23 23:08:16 2016,114588,12,0,0
Thu Jun 23 23:08:16 2016,114594,14,0,0
Thu Jun 23 23:08:16 2016,114600,12,0,0
Thu Jun 23 23:08:16 2016,114606,13,0,0
Thu Jun 23 23:08:16 2016,114612,12,0,0
Thu Jun 23 23:08:16 2016,114618,13,0,0
Thu Jun 23 23:08:16 2016,114624,13,0,0
Thu Jun 23 23:08:16 2016,114630,13,0,0
Thu Jun 23 23:08:16 2016,114636,11,0,0
Thu Jun 23 23:08:16 2016,114642,12,0,0
Thu Jun 23 23:08:16 2016,114648,14,0,0
Thu Jun 23 23:08:16 2016,114654,11,0,0
Thu Jun 23 23:08:16 2016,114660,12,0,0
Thu Jun 23 23:08:16 2016,114666,12,0,0
Thu Jun 23 23:08:16 2016,114672,13,0,0
Thu Jun 23 23:08:16 2016,114678,13,0,0
Thu Jun 23 23:08:16 2016,114684,13,0,0
Thu Jun 23 23:08:16 2016,114690,13,0,0
Thu Jun 23 23:08:16 2016,114696,13,0,0
Thu Jun 23 23:08:16 2016,114702,13,0,0
Thu Jun 23 23:08:16 2016,114708,12,0,0
Thu Jun 23 23:08:16 2016,114714,13,0,0
Thu Jun 23 23:08:16 2016,114720,12,0,0
Thu Jun 23 23:08:16 2016,114726,13,0,0
Thu Jun 23 23:08:16 2016,114732,15,0,0
Thu Jun 23 23:08:16 2016,114738,11,0,0
Thu Jun 23 23:08:16 2016,114744,13,0,0
Thu Jun 23 23:08:16 2016,114750,13,0,0
Thu Jun 23 23:08:16 2016,114756,12,0,0
Thu Jun 23 23:08:16 2016,114762,13,0,0
Thu Jun 23 23:08:16 2016,114768,12,0,0
Thu Jun 23 23:08:16 2016,114774,12,0,0
Thu Jun 23 23:08:16 2016,114780,13,0,0
Thu Jun 23 23:08:16 2016,114786,12,0,0
Thu Jun 23 23:08:16 2016,114792,13,0,0
Thu Jun 23 23:08:16 2016,114798,13,0,0
Thu Jun 23 23:08:16 2016,114804,12,0,0
Thu Jun 23 23:08:16 2016,114810,12,0,0
Thu Jun 23 23:08:16 2016,114816,12,0,0
Thu Jun 23 23:08:16 2016,114822,11,0,0
Thu Jun 23 23:08:16 2016,114828,13,0,0
Thu Jun 23 23:08:16 2016,114834,13,0,0
Thu Jun 23 23:08:16 2016,114840,12,0,0
Thu Jun 23 23:08:16 2016,114846,14,0,0
Thu Jun 23 23:08:16 2016,114852,13,0,0
Thu Jun 23 23:08:16 2016,114858,13,0,0
Thu Jun 23 23:08:16 2016,114864,13,0,0
Thu Jun 23 23:08:16 2016,114870,12,0,0
Thu Jun 23 23:08:16 2016,114876,12,0,0
Thu Jun 23 23:08:16 2016,114882,14,0,0
Thu Jun 23 23:08:16 2016,114888,12,0,0
Thu Jun 23 23:08:16 2016,114894,13,0,0
Thu Jun 23 23:08:16 2016,114900,14,0,0
Thu Jun 23 23:08:16 2016,114906,11,0,0
Thu Jun 23 23:08:16 2016,114912,13,0,0
Thu Jun 23 23:08:16 2016,114918,13,0,0
Thu Jun 23 23:08:16 2016,114924,13,0,0
Thu Jun 23 23:08:16 2016,114930,13,0,0
Thu Jun 23 23:08:16 2016,114936,11,0,0
Thu Jun 23 23:08:16 2016,114942,13,0,0
Thu Jun 23 23:08:16 2016,114948,13,0,0
Thu Jun 23 23:08:16 2016,114954,13,0,0
Thu Jun 23 23:08:16 2016,114960,12,0,0
Thu Jun 23 23:08:16 2016,114966,12,0,0
Thu Jun 23 23:08:16 2016,114972,11,0,0
Thu Jun 23 23:08:16 2016,114978,12,0,0
Thu Jun 23 23:08:16 2016,114984,12,0,0
Thu Jun 23 23:08:16 2016,114990,10,0,0
Thu Jun 23 23:08:16 2016,114996,13,0,0
Thu Jun 23 23:08:16 2016,115002,12,0,0
Thu Jun 23 23:08:16 2016,115008,12,0,0
Thu Jun 23 23:08:16 2016,115014,12,0,0
Thu Jun 23 23:08:16 2016,115020,12,0,0
Thu Jun 23 23:08:16 2016,115026,11,0,0
Thu Jun 23 23:08:16 2016,115032,12,0,0
Thu Jun 23 23:08:16 2016,115038,12,0,0
Thu Jun 23 23:08:16 2016,115044,12,0,0
Thu Jun 23 23:08:16 2016,115050,12,0,0
Thu Jun 23 23:08:16 2016,115056,11,0,0
Thu Jun 23 23:08:16 2016,115062,12,0,0
Thu Jun 23 23:08:16 2016,115068,12,0,0
Thu Jun 23 23:08:16 2016,115074,11,0,0
Thu Jun 23 23:08:16 2016,115080,13,0,0
Thu Jun 23 23:08:16 2016,115086,12,0,0
Thu Jun 23 23:08:16 2016,115092,13,0,0
Thu Jun 23 23:08:16 2016,115098,13,0,0
Thu Jun 23 23:08:16 2016,115104,12,0,0
Thu Jun 23 23:08:16 2016,115110,13,0,0
Thu Jun 23 23:08:16 2016,115116,12,0,0
Thu Jun 23 23:08:16 2016,115122,11,0,0
Thu Jun 23 23:08:16 2016,115128,13,0,0
Thu Jun 23 23:08:16 2016,115134,12,0,0
Thu Jun 23 23:08:16 2016,115140,11,0,0
Thu Jun 23 23:08:16 2016,115146,13,0,0
Thu Jun 23 23:08:16 2016,115152,12,0,0
Thu Jun 23 23:08:16 2016,115158,10,0,0
Thu Jun 23 23:08:16 2016,115164,13,0,0
Thu Jun 23 23:08:16 2016,115170,13,0,0
Thu Jun 23 23:08:16 2016,115176,13,0,0
Thu Jun 23 23:08:16 2016,115182,12,0,0
Thu Jun 23 23:08:16 2016,115188,12,0,0
Thu Jun 23 23:08:16 2016,115194,12,0,0
Thu Jun 23 23:08:16 2016,115200,12,0,0
Thu Jun 23 23:08:16 2016,115206,11,0,0
Thu Jun 23 23:08:16 2016,115212,13,0,0
