DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Thu Jun 23 23:23:13 2016	23095	13	0	0
Thu Jun 23 23:23:13 2016	23101	14	0	0
Thu Jun 23 23:23:13 2016	23107	13	0	0
Thu Jun 23 23:23:13 2016	23113	13	0	0
Thu Jun 23 23:23:13 2016	23119	14	0	0
Thu Jun 23 23:23:13 2016	23125	13	0	0
Thu Jun 23 23:23:13 2016	23131	15	0	0
Thu Jun 23 23:23:13 2016	23137	14	0	0
Thu Jun 23 23:23:13 2016	23143	13	0	0
Thu Jun 23 23:23:13 2016	23149	14	0	0
Thu Jun 23 23:23:13 2016	23155	12	0	0
Thu Jun 23 23:23:13 2016	23161	11	0	0
Thu Jun 23 23:23:13 2016	23167	13	0	0
Thu Jun 23 23:23:13 2016	23173	13	0	0
Thu Jun 23 23:23:13 2016	23179	13	0	0
Thu Jun 23 23:23:13 2016	23185	14	0	0
Thu Jun 23 23:23:13 2016	23191	13	0	0
Thu Jun 23 23:23:13 2016	23197	14	0	0
Thu Jun 23 23:23:13 2016	23203	14	0	0
Thu Jun 23 23:23:13 2016	23209	12	0	0
Thu Jun 23 23:23:13 2016	23215	14	0	0
Thu Jun 23 23:23:13 2016	23221	13	0	0
Thu Jun 23 23:23:13 2016	23227	13	0	0
Thu Jun 23 23:23:13 2016	23233	14	0	0
Thu Jun 23 23:23:13 2016	23239	13	0	0
Thu Jun 23 23:23:13 2016	23245	13	0	0
Thu Jun 23 23:23:13 2016	23251	13	0	0
Thu Jun 23 23:23:13 2016	23257	13	0	0
Thu Jun 23 23:23:13 2016	23263	12	0	0
Thu Jun 23 23:23:13 2016	23269	16	0	0
Thu Jun 23 23:23:13 2016	23275	12	0	0
Thu Jun 23 23:23:13 2016	23281	13	0	0
Thu Jun 23 23:23:13 2016	23287	13	0	0
Thu Jun 23 23:23:13 2016	23293	14	0	0
Thu Jun 23 23:23:13 2016	23299	13	0	0
Thu Jun 23 23:23:13 2016	23305	14	0	0
Thu Jun 23 23:23:13 2016	23311	13	0	0
Thu Jun 23 23:23:13 2016	23317	13	0	0
