DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Sun Jun 26 22:24:47 2016	681725	13	0	0
Sun Jun 26 22:24:47 2016	681731	13	0	0
Sun Jun 26 22:24:47 2016	681737	13	0	0
Sun Jun 26 22:24:47 2016	681743	14	0	0
Sun Jun 26 22:24:47 2016	681749	13	0	0
Sun Jun 26 22:24:47 2016	681755	14	0	0
Sun Jun 26 22:24:47 2016	681761	14	0	0
Sun Jun 26 22:24:47 2016	681767	12	0	0
Sun Jun 26 22:24:47 2016	681773	13	0	0
Sun Jun 26 22:24:47 2016	681779	14	0	0
Sun Jun 26 22:24:47 2016	681785	13	0	0
Sun Jun 26 22:24:47 2016	681791	14	0	0
Sun Jun 26 22:24:47 2016	681797	13	0	0
Sun Jun 26 22:24:47 2016	681803	13	0	0
Sun Jun 26 22:24:47 2016	681809	15	0	0
Sun Jun 26 22:24:47 2016	681815	13	0	0
Sun Jun 26 22:24:48 2016	681821	13	0	0
Sun Jun 26 22:24:48 2016	681827	14	0	0
Sun Jun 26 22:24:48 2016	681833	13	0	0
Sun Jun 26 22:24:48 2016	681839	14	0	0
Sun Jun 26 22:24:48 2016	681845	14	0	0
Sun Jun 26 22:24:48 2016	681851	12	0	0
Sun Jun 26 22:24:48 2016	681857	14	0	0
Sun Jun 26 22:24:48 2016	681863	13	0	0
Sun Jun 26 22:24:48 2016	681869	13	0	0
Sun Jun 26 22:24:48 2016	681875	14	0	0
Sun Jun 26 22:24:48 2016	681881	13	0	0
Sun Jun 26 22:24:48 2016	681887	13	0	0
Sun Jun 26 22:24:48 2016	681893	15	0	0
Sun Jun 26 22:24:48 2016	681899	13	0	0
Sun Jun 26 22:24:48 2016	681905	13	0	0
Sun Jun 26 22:24:48 2016	681911	14	0	0
Sun Jun 26 22:24:48 2016	681917	13	0	0
Sun Jun 26 22:24:48 2016	681923	13	0	0
Sun Jun 26 22:24:48 2016	681929	14	0	0
Sun Jun 26 22:24:48 2016	681935	12	0	0
Sun Jun 26 22:24:48 2016	681941	15	0	0
Sun Jun 26 22:24:48 2016	681947	14	0	0
Sun Jun 26 22:24:48 2016	681953	12	0	0
Sun Jun 26 22:24:48 2016	681959	14	0	0
Sun Jun 26 22:24:48 2016	681965	12	0	0
Sun Jun 26 22:24:48 2016	681971	13	0	0
Sun Jun 26 22:24:48 2016	681977	14	0	0
Sun Jun 26 22:24:48 2016	681983	13	0	0
Sun Jun 26 22:24:48 2016	681989	13	0	0
Sun Jun 26 22:24:48 2016	681995	14	0	0
Sun Jun 26 22:24:48 2016	682001	13	0	0
Sun Jun 26 22:24:48 2016	682007	14	0	0
Sun Jun 26 22:24:48 2016	682013	13	0	0
Sun Jun 26 22:24:48 2016	682019	14	0	0
Sun Jun 26 22:24:48 2016	682025	13	0	0
Sun Jun 26 22:24:48 2016	682031	14	0	0
Sun Jun 26 22:24:48 2016	682037	14	0	0
Sun Jun 26 22:24:48 2016	682043	14	0	0
Sun Jun 26 22:24:48 2016	682049	13	0	0
Sun Jun 26 22:24:48 2016	682055	14	0	0
Sun Jun 26 22:24:48 2016	682061	14	0	0
Sun Jun 26 22:24:48 2016	682067	12	0	0
Sun Jun 26 22:24:48 2016	682073	13	0	0
Sun Jun 26 22:24:48 2016	682079	15	0	0
Sun Jun 26 22:24:48 2016	682085	13	0	0
Sun Jun 26 22:24:48 2016	682091	15	0	0
Sun Jun 26 22:24:48 2016	682097	14	0	0
Sun Jun 26 22:24:48 2016	682103	13	0	0
Sun Jun 26 22:24:48 2016	682109	15	0	0
Sun Jun 26 22:24:48 2016	682115	13	0	0
Sun Jun 26 22:24:48 2016	682121	14	0	0
Sun Jun 26 22:24:48 2016	682127	14	0	0
Sun Jun 26 22:24:48 2016	682133	14	0	0
Sun Jun 26 22:24:48 2016	682139	13	0	0
Sun Jun 26 22:24:48 2016	682145	14	0	0
Sun Jun 26 22:24:48 2016	682151	14	0	0
Sun Jun 26 22:24:48 2016	682157	13	0	0
Sun Jun 26 22:24:48 2016	682163	15	0	0
Sun Jun 26 22:24:48 2016	682169	12	0	0
Sun Jun 26 22:24:48 2016	682175	13	0	0
Sun Jun 26 22:24:48 2016	682181	14	0	0
Sun Jun 26 22:24:48 2016	682187	13	0	0
Sun Jun 26 22:24:48 2016	682193	14	0	0
Sun Jun 26 22:24:48 2016	682199	13	0	0
Sun Jun 26 22:24:48 2016	682205	14	0	0
Sun Jun 26 22:24:48 2016	682211	14	0	0
Sun Jun 26 22:24:48 2016	682217	14	0	0
Sun Jun 26 22:24:48 2016	682223	13	0	0
Sun Jun 26 22:24:48 2016	682229	14	0	0
Sun Jun 26 22:24:48 2016	682235	12	0	0
Sun Jun 26 22:24:48 2016	682241	14	0	0
Sun Jun 26 22:24:48 2016	682247	14	0	0
Sun Jun 26 22:24:48 2016	682253	12	0	0
Sun Jun 26 22:24:48 2016	682259	14	0	0
Sun Jun 26 22:24:48 2016	682265	14	0	0
Sun Jun 26 22:24:48 2016	682271	12	0	0
Sun Jun 26 22:24:48 2016	682277	13	0	0
Sun Jun 26 22:24:48 2016	682283	12	0	0
Sun Jun 26 22:24:48 2016	682289	13	0	0
Sun Jun 26 22:24:48 2016	682295	15	0	0
Sun Jun 26 22:24:48 2016	682301	13	0	0
Sun Jun 26 22:24:48 2016	682307	12	0	0
Sun Jun 26 22:24:48 2016	682313	15	0	0
Sun Jun 26 22:24:48 2016	682319	13	0	0
Sun Jun 26 22:24:48 2016	682325	13	0	0
Sun Jun 26 22:24:48 2016	682331	13	0	0
Sun Jun 26 22:24:48 2016	682337	12	0	0
Sun Jun 26 22:24:48 2016	682343	14	0	0
Sun Jun 26 22:24:48 2016	682349	13	0	0
Sun Jun 26 22:24:48 2016	682355	13	0	0
Sun Jun 26 22:24:48 2016	682361	12	0	0
Sun Jun 26 22:24:48 2016	682367	14	0	0
Sun Jun 26 22:24:48 2016	682373	15	0	0
Sun Jun 26 22:24:48 2016	682379	13	0	0
Sun Jun 26 22:24:48 2016	682385	12	0	0
Sun Jun 26 22:24:48 2016	682391	13	0	0
Sun Jun 26 22:24:48 2016	682397	14	0	0
