DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
SunSun Jun 26 22:46:27 2016	220495	18	0	2
Sun Jun 26 22:46:27 2016	220501	8	0	2
Sun Jun 26 22:46:27 2016	220507	17	0	2
Sun Jun 26 22:46:27 2016	220513	15	0	2
Sun Jun 26 22:46:27 2016	220519	10	0	2
Sun Jun 26 22:46:27 2016	220525	19	0	2
Sun Jun 26 22:46:27 2016	220531	12	0	2
Sun Jun 26 22:46:27 2016	220537	11	0	2
Sun Jun 26 22:46:27 2016	220543	18	0	2
Sun Jun 26 22:46:27 2016	220549	8	0	2
Sun Jun 26 22:46:27 2016	220555	14	0	2
Sun Jun 26 22:46:27 2016	220561	17	0	2
Sun Jun 26 22:46:27 2016	220567	10	0	2
Sun Jun 26 22:46:27 2016	220573	15	0	2
Sun Jun 26 22:46:27 2016	220579	17	0	2
Sun Jun 26 22:46:27 2016	220585	9	0	2
Sun Jun 26 22:46:27 2016	220591	17	0	2
Sun Jun 26 22:46:27 2016	220597	12	0	2
Sun Jun 26 22:46:27 2016	220603	10	0	2
Sun Jun 26 22:46:27 2016	220609	17	0	2
Sun Jun 26 22:46:27 2016	220615	10	0	2
Sun Jun 26 22:46:27 2016	220621	12	0	2
Sun Jun 26 22:46:27 2016	220627	18	0	2
Sun Jun 26 22:46:27 2016	220633	9	0	2
Sun Jun 26 22:46:27 2016	220639	14	0	2
Sun Jun 26 22:46:27 2016	220645	17	0	2
Sun Jun 26 22:46:27 2016	220651	10	0	2
Sun Jun 26 22:46:27 2016	220657	16	0	2
Sun Jun 26 22:46:27 2016	220663	15	0	2
Sun Jun 26 22:46:27 2016	220669	11	0	2
Sun Jun 26 22:46:27 2016	220675	18	0	2
Sun Jun 26 22:46:27 2016	220681	12	0	2
Sun Jun 26 22:46:27 2016	220687	11	0	2
Sun Jun 26 22:46:27 2016	220693	18	0	2
Sun Jun 26 22:46:27 2016	220699	10	0	2
Sun Jun 26 22:46:27 2016	220705	14	0	2
Sun Jun 26 22:46:27 2016	220711	17	0	2
Sun Jun 26 22:46:27 2016	220717	9	0	2
Sun Jun 26 22:46:27 2016	220723	16	0	2
Sun Jun 26 22:46:27 2016	220729	16	0	2
Sun Jun 26 22:46:27 2016	220735	10	0	2
Sun Jun 26 22:46:27 2016	220741	18	0	2
Sun Jun 26 22:46:27 2016	220747	13	0	2
Sun Jun 26 22:46:27 2016	220753	11	0	2
Sun Jun 26 22:46:27 2016	220759	17	0	2
Sun Jun 26 22:46:27 2016	220765	10	0	2
Sun Jun 26 22:46:27 2016	220771	12	0	2
Sun Jun 26 22:46:27 2016	220777	18	0	2
Sun Jun 26 22:46:27 2016	220783	9	0	2
Sun Jun 26 22:46:27 2016	220789	15	0	2
Sun Jun 26 22:46:27 2016	220795	16	0	2
Sun Jun 26 22:46:27 2016	220801	10	0	2
Sun Jun 26 22:46:27 2016	220807	17	0	2
Sun Jun 26 22:46:27 2016	220813	16	0	2
Sun Jun 26 22:46:27 2016	220819	10	0	2
Sun Jun 26 22:46:27 2016	220825	19	0	2
Sun Jun 26 22:46:27 2016	220831	12	0	2
Sun Jun 26 22:46:27 2016	220837	11	0	2
Sun Jun 26 22:46:27 2016	220843	18	0	2
Sun Jun 26 22:46:27 2016	220849	11	0	2
Sun Jun 26 22:46:27 2016	220855	14	0	2
Sun Jun 26 22:46:27 2016	220861	17	0	2
Sun Jun 26 22:46:27 2016	220867	10	0	2
Sun Jun 26 22:46:27 2016	220873	16	0	2
Sun Jun 26 22:46:28 2016	220879	16	0	2
Sun Jun 26 22:46:28 2016	220885	12	0	2
Sun Jun 26 22:46:28 2016	220891	19	0	2
Sun Jun 26 22:46:28 2016	220897	14	0	2
Sun Jun 26 22:46:28 2016	220903	10	0	2
Sun Jun 26 22:46:28 2016	220909	17	0	2
Sun Jun 26 22:46:28 2016	220915	12	0	2
Sun Jun 26 22:46:28 2016	220921	12	0	2
Sun Jun 26 22:46:28 2016	220927	17	0	2
Sun Jun 26 22:46:28 2016	220933	9	0	2
Sun Jun 26 22:46:28 2016	220939	15	0	2
Sun Jun 26 22:46:28 2016	220945	16	0	2
Sun Jun 26 22:46:28 2016	220951	11	0	2
Sun Jun 26 22:46:28 2016	220957	17	0	2
Sun Jun 26 22:46:28 2016	220963	15	0	2
Sun Jun 26 22:46:28 2016	220969	10	0	2
Sun Jun 26 22:46:28 2016	220975	18	0	2
Sun Jun 26 22:46:28 2016	220981	11	0	2
Sun Jun 26 22:46:28 2016	220987	12	0	2
Sun Jun 26 22:46:28 2016	220993	17	0	2
Sun Jun 26 22:46:28 2016	220999	11	0	2
Sun Jun 26 22:46:28 2016	221005	12	0	2
Sun Jun 26 22:46:28 2016	221011	18	0	2
Sun Jun 26 22:46:28 2016	221017	10	0	2
Sun Jun 26 22:46:28 2016	221023	15	0	2
Sun Jun 26 22:46:28 2016	221029	17	0	2
Sun Jun 26 22:46:28 2016	221035	10	0	2
Sun Jun 26 22:46:28 2016	221041	17	0	2
Sun Jun 26 22:46:28 2016	221047	14	0	2
Sun Jun 26 22:46:28 2016	221053	11	0	2
Sun Jun 26 22:46:28 2016	221059	18	0	2
Sun Jun 26 22:46:28 2016	221065	12	0	2
Sun Jun 26 22:46:28 2016	221071	13	0	2
Sun Jun 26 22:46:28 2016	221077	17	0	2
Sun Jun 26 22:46:28 2016	221083	10	0	2
Sun Jun 26 22:46:28 2016	221089	15	0	2
Sun Jun 26 22:46:28 2016	221095	17	0	2
Sun Jun 26 22:46:28 2016	221101	10	0	2
Sun Jun 26 22:46:28 2016	221107	17	0	2
Sun Jun 26 22:46:28 2016	221113	15	0	2
Sun Jun 26 22:46:28 2016	221119	11	0	2
Sun Jun 26 22:46:28 2016	221125	17	0	2
Sun Jun 26 22:46:28 2016	221131	12	0	2
Sun Jun 26 22:46:28 2016	221137	11	0	2
Sun Jun 26 22:46:28 2016	221143	17	0	2
Sun Jun 26 22:46:28 2016	221149	11	0	2
Sun Jun 26 22:46:28 2016	221155	13	0	2
Sun Jun 26 22:46:28 2016	221161	18	0	2
Sun Jun 26 22:46:28 2016	221167	10	0	2
Sun Jun 26 22:46:28 2016	221173	15	0	2
Sun Jun 26 22:46:28 2016	221179	15	0	2
Sun Jun 26 22:46:28 2016	221185	10	0	2
Sun Jun 26 22:46:28 2016	221191	16	0	2
Sun Jun 26 22:46:28 2016	221197	13	0	2
Sun Jun 26 22:46:28 2016	221203	10	0	2
Sun Jun 26 22:46:28 2016	221209	17	0	2
Sun Jun 26 22:46:28 2016	221215	13	0	2
Sun Jun 26 22:46:28 2016	221221	13	0	2
Sun Jun 26 22:46:28 2016	221227	17	0	2
Sun Jun 26 22:46:28 2016	221233	10	0	2
Sun Jun 26 22:46:28 2016	221239	14	0	2
Sun Jun 26 22:46:28 2016	221245	17	0	2
Sun Jun 26 22:46:28 2016	221251	10	0	2
Sun Jun 26 22:46:28 2016	221257	17	0	2
Sun Jun 26 22:46:28 2016	221263	15	0	2
Sun Jun 26 22:46:28 2016	221269	11	0	2
Sun Jun 26 22:46:28 2016	221275	18	0	2
Sun Jun 26 22:46:28 2016	221281	11	0	2
Sun Jun 26 22:46:28 2016	221287	11	0	2
Sun Jun 26 22:46:28 2016	221293	17	0	2
Sun Jun 26 22:46:28 2016	221299	11	0	2
Sun Jun 26 22:46:28 2016	221305	11	0	2
Sun Jun 26 22:46:28 2016	221311	16	0	2
Sun Jun 26 22:46:28 2016	221317	11	0	2
Sun Jun 26 22:46:28 2016	221323	14	0	2
Sun Jun 26 22:46:28 2016	221329	16	0	2
Sun Jun 26 22:46:28 2016	221335	10	0	2
Sun Jun 26 22:46:28 2016	221341	17	0	2
Sun Jun 26 22:46:28 2016	221347	14	0	2
Sun Jun 26 22:46:28 2016	221353	10	0	2
Sun Jun 26 22:46:28 2016	221359	17	0	2
Sun Jun 26 22:46:28 2016	221365	11	0	2
Sun Jun 26 22:46:28 2016	221371	12	0	2
Sun Jun 26 22:46:28 2016	221377	17	0	2
Sun Jun 26 22:46:28 2016	221383	10	0	2
Sun Jun 26 22:46:28 2016	221389	14	0	2
Sun Jun 26 22:46:28 2016	221395	17	0	2
Sun Jun 26 22:46:28 2016	221401	10	0	2
Sun Jun 26 22:46:28 2016	221407	16	0	2
Sun Jun 26 22:46:28 2016	221413	16	0	2
Sun Jun 26 22:46:28 2016	221419	9	0	2
Sun Jun 26 22:46:28 2016	221425	17	0	2
Sun Jun 26 22:46:28 2016	221431	12	0	2
Sun Jun 26 22:46:28 2016	221437	11	0	2
Sun Jun 26 22:46:28 2016	221443	17	0	2
Sun Jun 26 22:46:28 2016	221449	10	0	2
Sun Jun 26 22:46:28 2016	221455	12	0	2
Sun Jun 26 22:46:28 2016	221461	17	0	2
Sun Jun 26 22:46:28 2016	221467	11	0	2
Sun Jun 26 22:46:28 2016	221473	15	0	2
Sun Jun 26 22:46:28 2016	221479	14	0	2
Sun Jun 26 22:46:28 2016	221485	10	0	2
Sun Jun 26 22:46:28 2016	221491	17	0	2
Sun Jun 26 22:46:28 2016	221497	14	0	2
Sun Jun 26 22:46:28 2016	221503	11	0	2
Sun Jun 26 22:46:28 2016	221509	17	0	2
Sun Jun 26 22:46:28 2016	221515	10	0	2
Sun Jun 26 22:46:28 2016	221521	10	0	2
Sun Jun 26 22:46:28 2016	221527	16	0	2
Sun Jun 26 22:46:28 2016	221533	9	0	2
Sun Jun 26 22:46:28 2016	221539	13	0	2
Sun Jun 26 22:46:28 2016	221545	16	0	2
Sun Jun 26 22:46:28 2016	221551	10	0	2
Sun Jun 26 22:46:28 2016	221557	17	0	2
Sun Jun 26 22:46:28 2016	221563	14	0	2
Sun Jun 26 22:46:28 2016	221569	10	0	2
Sun Jun 26 22:46:28 2016	221575	17	0	2
Sun Jun 26 22:46:28 2016	221581	11	0	2
Sun Jun 26 22:46:28 2016	221587	12	0	2
Sun Jun 26 22:46:28 2016	221593	17	0	2
Sun Jun 26 22:46:28 2016	221599	12	0	2
Sun Jun 26 22:46:28 2016	221605	12	0	2
Sun Jun 26 22:46:28 2016	221611	17	0	2
Sun Jun 26 22:46:28 2016	221617	11	0	2
Sun Jun 26 22:46:28 2016	221623	13	0	2
Sun Jun 26 22:46:28 2016	221629	16	0	2
Sun Jun 26 22:46:28 2016	221635	10	0	2
Sun Jun 26 22:46:28 2016	221641	17	0	2
Sun Jun 26 22:46:28 2016	221647	14	0	2
Sun Jun 26 22:46:28 2016	221653	10	0	2
Sun Jun 26 22:46:28 2016	221659	18	0	2
Sun Jun 26 22:46:28 2016	221665	10	0	2
Sun Jun 26 22:46:28 2016	221671	11	0	2
Sun Jun 26 22:46:28 2016	221677	17	0	2
Sun Jun 26 22:46:28 2016	221683	9	0	2
Sun Jun 26 22:46:28 2016	221689	15	0	2
Sun Jun 26 22:46:28 2016	221695	16	0	2
Sun Jun 26 22:46:28 2016	221701	10	0	2
Sun Jun 26 22:46:28 2016	221707	18	0	2
Sun Jun 26 22:46:28 2016	221713	15	0	2
Sun Jun 26 22:46:28 2016	221719	9	0	2
Sun Jun 26 22:46:28 2016	221725	17	0	2
Sun Jun 26 22:46:28 2016	221731	12	0	2
Sun Jun 26 22:46:28 2016	221737	11	0	2
Sun Jun 26 22:46:28 2016	221743	18	0	2
Sun Jun 26 22:46:28 2016	221749	11	0	2
Sun Jun 26 22:46:28 2016	221755	13	0	2
Sun Jun 26 22:46:28 2016	221761	16	0	2
Sun Jun 26 22:46:28 2016	221767	10	0	2
Sun Jun 26 22:46:28 2016	221773	16	0	2
Sun Jun 26 22:46:28 2016	221779	15	0	2
Sun Jun 26 22:46:28 2016	221785	11	0	2
Sun Jun 26 22:46:28 2016	221791	17	0	2
Sun Jun 26 22:46:28 2016	221797	14	0	2
Sun Jun 26 22:46:28 2016	221803	10	0	2
Sun Jun 26 22:46:28 2016	221809	17	0	2
Sun Jun 26 22:46:28 2016	221815	11	0	2
Sun Jun 26 22:46:28 2016	221821	12	0	2
Sun Jun 26 22:46:28 2016	221827	17	0	2
Sun Jun 26 22:46:28 2016	221833	9	0	2
Sun Jun 26 22:46:28 2016	221839	14	0	2
Sun Jun 26 22:46:28 2016	221845	16	0	2
Sun Jun 26 22:46:28 2016	221851	9	0	2
Sun Jun 26 22:46:28 2016	221857	16	0	2
Sun Jun 26 22:46:28 2016	221863	14	0	2
Sun Jun 26 22:46:28 2016	221869	10	0	2
Sun Jun 26 22:46:29 2016	221875	18	0	2
Sun Jun 26 22:46:29 2016	221881	12	0	2
Sun Jun 26 22:46:29 2016	221887	11	0	2
Sun Jun 26 22:46:29 2016	221893	17	0	2
Sun Jun 26 22:46:29 2016	221899	11	0	2
