DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Mon Jun 27Mon Jun 27 22:00:38 2016	64791	16	0	0
Mon Jun 27 22:00:38 2016	64797	15	0	0
Mon Jun 27 22:00:38 2016	64803	15	0	0
Mon Jun 27 22:00:38 2016	64809	15	0	0
Mon Jun 27 22:00:38 2016	64815	17	0	0
Mon Jun 27 22:00:38 2016	64821	14	0	0
Mon Jun 27 22:00:38 2016	64827	15	0	0
Mon Jun 27 22:00:38 2016	64833	15	0	0
Mon Jun 27 22:00:38 2016	64839	16	0	0
Mon Jun 27 22:00:38 2016	64845	17	0	0
Mon Jun 27 22:00:38 2016	64851	15	0	0
Mon Jun 27 22:00:38 2016	64857	15	0	0
Mon Jun 27 22:00:38 2016	64863	16	0	0
Mon Jun 27 22:00:38 2016	64869	17	0	0
Mon Jun 27 22:00:38 2016	64875	16	0	0
Mon Jun 27 22:00:38 2016	64881	14	0	0
Mon Jun 27 22:00:38 2016	64887	17	0	0
Mon Jun 27 22:00:38 2016	64893	17	0	0
Mon Jun 27 22:00:38 2016	64899	17	0	0
Mon Jun 27 22:00:38 2016	64905	15	0	0
Mon Jun 27 22:00:38 2016	64911	14	0	0
Mon Jun 27 22:00:38 2016	64917	14	0	0
Mon Jun 27 22:00:38 2016	64923	16	0	0
Mon Jun 27 22:00:38 2016	64929	16	0	0
Mon Jun 27 22:00:38 2016	64935	15	0	0
Mon Jun 27 22:00:38 2016	64941	15	0	0
Mon Jun 27 22:00:38 2016	64947	15	0	0
Mon Jun 27 22:00:38 2016	64953	17	0	0
Mon Jun 27 22:00:38 2016	64959	16	0	0
Mon Jun 27 22:00:38 2016	64965	17	0	0
Mon Jun 27 22:00:38 2016	64971	15	0	0
Mon Jun 27 22:00:38 2016	64977	15	0	0
Mon Jun 27 22:00:38 2016	64983	16	0	0
Mon Jun 27 22:00:38 2016	64989	17	0	0
Mon Jun 27 22:00:38 2016	64995	17	0	0
Mon Jun 27 22:00:38 2016	65001	16	0	0
Mon Jun 27 22:00:38 2016	65007	16	0	0
Mon Jun 27 22:00:38 2016	65013	15	0	0
Mon Jun 27 22:00:38 2016	65019	16	0	0
Mon Jun 27 22:00:38 2016	65025	16	0	0
Mon Jun 27 22:00:38 2016	65031	15	0	0
Mon Jun 27 22:00:38 2016	65037	16	0	0
Mon Jun 27 22:00:38 2016	65043	16	0	0
Mon Jun 27 22:00:38 2016	65049	16	0	0
Mon Jun 27 22:00:38 2016	65055	17	0	0
Mon Jun 27 22:00:38 2016	65061	15	0	0
Mon Jun 27 22:00:38 2016	65067	15	0	0
Mon Jun 27 22:00:38 2016	65073	17	0	0
