DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
,22817,298,0,0
Wed JunWed Jun 29 19:30:42 2016,492743,20,0,8
Wed Jun 29 19:30:42 2016,492749,20,0,8
Wed Jun 29 19:30:42 2016,492755,21,0,8
Wed Jun 29 19:30:42 2016,492761,22,0,8
Wed Jun 29 19:30:42 2016,492767,20,0,8
Wed Jun 29 19:30:42 2016,492773,20,0,8
Wed Jun 29 19:30:42 2016,492779,21,0,8
Wed Jun 29 19:30:42 2016,492785,21,0,8
Wed Jun 29 19:30:42 2016,492791,21,0,8
Wed Jun 29 19:30:43 2016,492797,21,0,8
Wed Jun 29 19:30:43 2016,492803,21,0,8
Wed Jun 29 19:30:43 2016,492809,20,0,8
Wed Jun 29 19:30:43 2016,492815,20,0,8
Wed Jun 29 19:30:43 2016,492821,20,0,8
Wed Jun 29 19:30:43 2016,492827,21,0,8
Wed Jun 29 19:30:43 2016,492833,20,0,8
Wed Jun 29 19:30:43 2016,492839,21,0,8
Wed Jun 29 19:30:43 2016,492845,21,0,8
Wed Jun 29 19:30:43 2016,492851,20,0,8
Wed Jun 29 19:30:43 2016,492857,20,0,8
Wed Jun 29 19:30:43 2016,492863,20,0,8
Wed Jun 29 19:30:43 2016,492869,21,0,8
Wed Jun 29 19:30:43 2016,492875,20,0,8
Wed Jun 29 19:30:43 2016,492881,21,0,8
Wed Jun 29 19:30:43 2016,492887,21,0,8
Wed Jun 29 19:30:43 2016,492893,20,0,8
Wed Jun 29 19:30:43 2016,492899,20,0,8
Wed Jun 29 19:30:43 2016,492905,21,0,8
Wed Jun 29 19:30:43 2016,492911,21,0,8
Wed Jun 29 19:30:43 2016,492917,21,0,8
Wed Jun 29 19:30:43 2016,492923,20,0,8
Wed Jun 29 19:30:43 2016,492929,21,0,8
Wed Jun 29 19:30:43 2016,492935,21,0,8
Wed Jun 29 19:30:43 2016,492941,21,0,8
Wed Jun 29 19:30:43 2016,492947,20,0,8
Wed Jun 29 19:30:43 2016,492953,21,0,8
Wed Jun 29 19:30:43 2016,492959,21,0,8
Wed Jun 29 19:30:43 2016,492965,20,0,8
Wed Jun 29 19:30:43 2016,492971,21,0,8
Wed Jun 29 19:30:43 2016,492977,21,0,8
Wed Jun 29 19:30:43 2016,492983,21,0,8
Wed Jun 29 19:30:43 2016,492989,21,0,8
Wed Jun 29 19:30:43 2016,492995,21,0,8
Wed Jun 29 19:30:43 2016,493001,20,0,8
Wed Jun 29 19:30:43 2016,493007,21,0,8
Wed Jun 29 19:30:43 2016,493013,20,0,8
Wed Jun 29 19:30:43 2016,493019,21,0,8
Wed Jun 29 19:30:43 2016,493025,20,0,8
Wed Jun 29 19:30:43 2016,493031,21,0,8
Wed Jun 29 19:30:43 2016,493037,20,0,8
Wed Jun 29 19:30:43 2016,493043,21,0,8
Wed Jun 29 19:30:43 2016,493049,20,0,8
Wed Jun 29 19:30:43 2016,493055,20,0,8
Wed Jun 29 19:30:43 2016,493061,20,0,8
Wed Jun 29 19:30:43 2016,493067,21,0,8
Wed Jun 29 19:30:43 2016,493073,21,0,8
Wed Jun 29 19:30:43 2016,493079,21,0,8
Wed Jun 29 19:30:43 2016,493085,20,0,8
Wed Jun 29 19:30:43 2016,493091,20,0,8
Wed Jun 29 19:30:43 2016,493097,21,0,8
Wed Jun 29 19:30:43 2016,493103,21,0,8
Wed Jun 29 19:30:43 2016,493109,21,0,8
Wed Jun 29 19:30:43 2016,493115,21,0,8
Wed Jun 29 19:30:43 2016,493121,21,0,8
Wed Jun 29 19:30:43 2016,493127,20,0,8
Wed Jun 29 19:30:43 2016,493133,21,0,8
Wed Jun 29 19:30:43 2016,493139,21,0,8
Wed Jun 29 19:30:43 2016,493145,20,0,8
Wed Jun 29 19:30:43 2016,493151,21,0,8
Wed Jun 29 19:30:43 2016,493157,21,0,8
Wed Jun 29 19:30:43 2016,493163,20,0,8
Wed Jun 29 19:30:43 2016,493169,21,0,8
Wed Jun 29 19:30:43 2016,493175,20,0,8
Wed Jun 29 19:30:43 2016,493181,20,0,8
Wed Jun 29 19:30:43 2016,493187,21,0,8
Wed Jun 29 19:30:43 2016,493193,21,0,8
Wed Jun 29 19:30:43 2016,493199,21,0,8
Wed Jun 29 19:30:43 2016,493205,20,0,8
Wed Jun 29 19:30:43 2016,493211,20,0,8
Wed Jun 29 19:30:43 2016,493217,21,0,8
Wed Jun 29 19:30:43 2016,493223,21,0,8
Wed Jun 29 19:30:43 2016,493229,20,0,8
Wed Jun 29 19:30:43 2016,493235,20,0,8
Wed Jun 29 19:30:43 2016,493241,22,0,8
Wed Jun 29 19:30:43 2016,493247,21,0,8
Wed Jun 29 19:30:43 2016,493253,20,0,8
Wed Jun 29 19:30:43 2016,493259,21,0,8
Wed Jun 29 19:30:43 2016,493265,20,0,8
Wed Jun 29 19:30:43 2016,493271,21,0,8
Wed Jun 29 19:30:43 2016,493277,21,0,8
Wed Jun 29 19:30:43 2016,493283,20,0,8
Wed Jun 29 19:30:43 2016,493289,21,0,8
Wed Jun 29 19:30:43 2016,493295,21,0,8
Wed Jun 29 19:30:43 2016,493301,21,0,8
Wed Jun 29 19:30:43 2016,493307,20,0,8
Wed Jun 29 19:30:43 2016,493313,21,0,8
Wed Jun 29 19:30:43 2016,493319,21,0,8
Wed Jun 29 19:30:43 2016,493325,20,0,8
Wed Jun 29 19:30:43 2016,493331,21,0,8
Wed Jun 29 19:30:43 2016,493337,21,0,8
Wed Jun 29 19:30:43 2016,493343,21,0,8
Wed Jun 29 19:30:43 2016,493349,21,0,8
Wed Jun 29 19:30:43 2016,493355,21,0,8
Wed Jun 29 19:30:43 2016,493361,20,0,8
Wed Jun 29 19:30:43 2016,493367,20,0,8
Wed Jun 29 19:30:43 2016,493373,21,0,8
Wed Jun 29 19:30:43 2016,493379,21,0,8
Wed Jun 29 19:30:43 2016,493385,21,0,8
Wed Jun 29 19:30:43 2016,493391,20,0,8
Wed Jun 29 19:30:43 2016,493397,20,0,8
Wed Jun 29 19:30:43 2016,493403,21,0,8
Wed Jun 29 19:30:43 2016,493409,21,0,8
Wed Jun 29 19:30:43 2016,493415,21,0,8
Wed Jun 29 19:30:43 2016,493421,21,0,8
Wed Jun 29 19:30:43 2016,493427,20,0,8
Wed Jun 29 19:30:43 2016,493433,21,0,8
Wed Jun 29 19:30:43 2016,493439,21,0,8
Wed Jun 29 19:30:43 2016,493445,21,0,8
Wed Jun 29 19:30:43 2016,493451,20,0,8
Wed Jun 29 19:30:43 2016,493457,20,0,8
Wed Jun 29 19:30:43 2016,493463,21,0,8
Wed Jun 29 19:30:43 2016,493469,20,0,8
Wed Jun 29 19:30:43 2016,493475,20,0,8
Wed Jun 29 19:30:43 2016,493481,20,0,8
Wed Jun 29 19:30:43 2016,493487,21,0,8
Wed Jun 29 19:30:43 2016,493493,20,0,8
Wed Jun 29 19:30:43 2016,493499,20,0,8
Wed Jun 29 19:30:43 2016,493505,21,0,8
Wed Jun 29 19:30:43 2016,493511,21,0,8
Wed Jun 29 19:30:43 2016,493517,20,0,8
Wed Jun 29 19:30:43 2016,493523,21,0,8
Wed Jun 29 19:30:43 2016,493529,21,0,8
Wed Jun 29 19:30:43 2016,493535,20,0,8
Wed Jun 29 19:30:43 2016,493541,20,0,8
Wed Jun 29 19:30:43 2016,493547,21,0,8
Wed Jun 29 19:30:43 2016,493553,21,0,8
Wed Jun 29 19:30:43 2016,493559,21,0,8
Wed Jun 29 19:30:43 2016,493565,21,0,8
Wed Jun 29 19:30:43 2016,493571,21,0,8
Wed Jun 29 19:30:43 2016,493577,20,0,8
Wed Jun 29 19:30:43 2016,493583,21,0,8
Wed Jun 29 19:30:43 2016,493589,21,0,8
Wed Jun 29 19:30:43 2016,493595,21,0,8
Wed Jun 29 19:30:43 2016,493601,20,0,8
Wed Jun 29 19:30:43 2016,493607,21,0,8
Wed Jun 29 19:30:43 2016,493613,21,0,8
Wed Jun 29 19:30:43 2016,493619,21,0,8
Wed Jun 29 19:30:43 2016,493625,20,0,8
Wed Jun 29 19:30:43 2016,493631,21,0,8
Wed Jun 29 19:30:43 2016,493637,21,0,8
Wed Jun 29 19:30:43 2016,493643,21,0,8
Wed Jun 29 19:30:43 2016,493649,21,0,8
Wed Jun 29 19:30:43 2016,493655,21,0,8
Wed Jun 29 19:30:43 2016,493661,20,0,8
Wed Jun 29 19:30:43 2016,493667,20,0,8
Wed Jun 29 19:30:43 2016,493673,21,0,8
Wed Jun 29 19:30:43 2016,493679,20,0,8
Wed Jun 29 19:30:43 2016,493685,21,0,8
Wed Jun 29 19:30:43 2016,493691,20,0,8
Wed Jun 29 19:30:43 2016,493697,20,0,8
Wed Jun 29 19:30:43 2016,493703,21,0,8
Wed Jun 29 19:30:43 2016,493709,21,0,8
Wed Jun 29 19:30:43 2016,493715,20,0,8
Wed Jun 29 19:30:43 2016,493721,21,0,8
Wed Jun 29 19:30:43 2016,493727,21,0,8
Wed Jun 29 19:30:43 2016,493733,20,0,8
Wed Jun 29 19:30:43 2016,493739,20,0,8
Wed Jun 29 19:30:43 2016,493745,21,0,8
Wed Jun 29 19:30:43 2016,493751,21,0,8
Wed Jun 29 19:30:43 2016,493757,21,0,8
Wed Jun 29 19:30:43 2016,493763,20,0,8
Wed Jun 29 19:30:43 2016,493769,21,0,8
Wed Jun 29 19:30:43 2016,493775,20,0,8
Wed Jun 29 19:30:43 2016,493781,21,0,8
Wed Jun 29 19:30:43 2016,493787,21,0,8
Wed Jun 29 19:30:44 2016,493793,21,0,8
Wed Jun 29 19:30:44 2016,493799,21,0,8
Wed Jun 29 19:30:44 2016,493805,20,0,8
Wed Jun 29 19:30:44 2016,493811,20,0,8
Wed Jun 29 19:30:44 2016,493817,21,0,8
Wed Jun 29 19:30:44 2016,493823,21,0,8
Wed Jun 29 19:30:44 2016,493829,20,0,8
Wed Jun 29 19:30:44 2016,493835,21,0,8
Wed Jun 29 19:30:44 2016,493841,20,0,8
Wed Jun 29 19:30:44 2016,493847,21,0,8
Wed Jun 29 19:30:44 2016,493853,20,0,8
Wed Jun 29 19:30:44 2016,493859,20,0,8
Wed Jun 29 19:30:44 2016,493865,20,0,8
Wed Jun 29 19:30:44 2016,493871,20,0,8
Wed Jun 29 19:30:44 2016,493877,21,0,8
Wed Jun 29 19:30:44 2016,493883,20,0,8
Wed Jun 29 19:30:44 2016,493889,20,0,8
Wed Jun 29 19:30:44 2016,493895,21,0,8
Wed Jun 29 19:30:44 2016,493901,21,0,8
Wed Jun 29 19:30:44 2016,493907,20,0,8
Wed Jun 29 19:30:44 2016,493913,20,0,8
Wed Jun 29 19:30:44 2016,493919,21,0,8
Wed Jun 29 19:30:44 2016,493925,20,0,8
Wed Jun 29 19:30:44 2016,493931,20,0,8
Wed Jun 29 19:30:44 2016,493937,21,0,8
Wed Jun 29 19:30:44 2016,493943,20,0,8
Wed Jun 29 19:30:44 2016,493949,21,0,8
Wed Jun 29 19:30:44 2016,493955,21,0,8
Wed Jun 29 19:30:44 2016,493961,20,0,8
Wed Jun 29 19:30:44 2016,493967,20,0,8
Wed Jun 29 19:30:44 2016,493973,21,0,8
Wed Jun 29 19:30:44 2016,493979,21,0,8
Wed Jun 29 19:30:44 2016,493985,20,0,8
Wed Jun 29 19:30:44 2016,493991,21,0,8
Wed Jun 29 19:30:44 2016,493997,21,0,8
Wed Jun 29 19:30:44 2016,494003,21,0,8
Wed Jun 29 19:30:44 2016,494009,21,0,8
Wed Jun 29 19:30:44 2016,494015,20,0,8
Wed Jun 29 19:30:44 2016,494021,20,0,8
Wed Jun 29 19:30:44 2016,494027,20,0,8
Wed Jun 29 19:30:44 2016,494033,21,0,8
Wed Jun 29 19:30:44 2016,494039,20,0,8
Wed Jun 29 19:30:44 2016,494045,21,0,8
Wed Jun 29 19:30:44 2016,494051,21,0,8
Wed Jun 29 19:30:44 2016,494057,21,0,8
Wed Jun 29 19:30:44 2016,494063,21,0,8
Wed Jun 29 19:30:44 2016,494069,21,0,8
Wed Jun 29 19:30:44 2016,494075,20,0,8
Wed Jun 29 19:30:44 2016,494081,20,0,8
Wed Jun 29 19:30:44 2016,494087,20,0,8
Wed Jun 29 19:30:44 2016,494093,21,0,8
Wed Jun 29 19:30:44 2016,494099,21,0,8
Wed Jun 29 19:30:44 2016,494105,20,0,8
Wed Jun 29 19:30:44 2016,494111,21,0,8
Wed Jun 29 19:30:44 2016,494117,21,0,8
Wed Jun 29 19:30:44 2016,494123,21,0,8
Wed Jun 29 19:30:44 2016,494129,20,0,8
Wed Jun 29 19:30:44 2016,494135,20,0,8
Wed Jun 29 19:30:44 2016,494141,21,0,8
Wed Jun 29 19:30:44 2016,494147,21,0,8
Wed Jun 29 19:30:44 2016,494153,21,0,8
Wed Jun 29 19:30:44 2016,494159,20,0,8
Wed Jun 29 19:30:44 2016,494165,21,0,8
Wed Jun 29 19:30:44 2016,494171,20,0,8
Wed Jun 29 19:30:44 2016,494177,22,0,8
Wed Jun 29 19:30:44 2016,494183,20,0,8
Wed Jun 29 19:30:44 2016,494189,21,0,8
Wed Jun 29 19:30:44 2016,494195,20,0,8
Wed Jun 29 19:30:44 2016,494201,20,0,8
Wed Jun 29 19:30:44 2016,494207,20,0,8
Wed Jun 29 19:30:44 2016,494213,21,0,8
Wed Jun 29 19:30:44 2016,494219,20,0,8
Wed Jun 29 19:30:44 2016,494225,20,0,8
Wed Jun 29 19:30:44 2016,494231,21,0,8
Wed Jun 29 19:30:44 2016,494237,21,0,8
Wed Jun 29 19:30:44 2016,494243,20,0,8
Wed Jun 29 19:30:44 2016,494249,20,0,8
Wed Jun 29 19:30:44 2016,494255,20,0,8
Wed Jun 29 19:30:44 2016,494261,21,0,8
Wed Jun 29 19:30:44 2016,494267,20,0,8
Wed Jun 29 19:30:44 2016,494273,20,0,8
Wed Jun 29 19:30:44 2016,494279,21,0,8
Wed Jun 29 19:30:44 2016,494285,20,0,8
Wed Jun 29 19:30:44 2016,494291,20,0,8
Wed Jun 29 19:30:44 2016,494297,20,0,8
Wed Jun 29 19:30:44 2016,494303,20,0,8
Wed Jun 29 19:30:44 2016,494309,21,0,8
Wed Jun 29 19:30:44 2016,494315,20,0,8
Wed Jun 29 19:30:44 2016,494321,21,0,8
Wed Jun 29 19:30:44 2016,494327,21,0,8
Wed Jun 29 19:30:44 2016,494333,20,0,8
Wed Jun 29 19:30:44 2016,494339,20,0,8
Wed Jun 29 19:30:44 2016,494345,21,0,8
Wed Jun 29 19:30:44 2016,494351,21,0,8
Wed Jun 29 19:30:44 2016,494357,20,0,8
Wed Jun 29 19:30:44 2016,494363,21,0,8
Wed Jun 29 19:30:44 2016,494369,21,0,8
Wed Jun 29 19:30:44 2016,494375,20,0,8
Wed Jun 29 19:30:44 2016,494381,20,0,8
Wed Jun 29 19:30:44 2016,494387,20,0,8
Wed Jun 29 19:30:44 2016,494393,20,0,8
Wed Jun 29 19:30:44 2016,494399,21,0,8
Wed Jun 29 19:30:44 2016,494405,21,0,8
Wed Jun 29 19:30:44 2016,494411,20,0,8
Wed Jun 29 19:30:44 2016,494417,20,0,8
Wed Jun 29 19:30:44 2016,494423,20,0,8
Wed Jun 29 19:30:44 2016,494429,20,0,8
Wed Jun 29 19:30:44 2016,494435,21,0,8
Wed Jun 29 19:30:44 2016,494441,20,0,8
Wed Jun 29 19:30:44 2016,494447,20,0,8
Wed Jun 29 19:30:44 2016,494453,22,0,8
Wed Jun 29 19:30:44 2016,494459,21,0,8
