DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Wed Jun 29 19:41:56 2016	1165976	20	0	8
Wed Jun 29 19:41:56 2016	1165982	21	0	8
Wed Jun 29 19:41:56 2016	1165988	21	0	8
Wed Jun 29 19:41:56 2016	1165994	21	0	8
Wed Jun 29 19:41:56 2016	1166000	21	0	8
Wed Jun 29 19:41:56 2016	1166006	21	0	8
Wed Jun 29 19:41:56 2016	1166012	20	0	8
Wed Jun 29 19:41:56 2016	1166018	21	0	8
Wed Jun 29 19:41:56 2016	1166024	21	0	8
Wed Jun 29 19:41:56 2016	1166030	20	0	8
Wed Jun 29 19:41:56 2016	1166036	20	0	8
Wed Jun 29 19:41:56 2016	1166042	20	0	8
Wed Jun 29 19:41:56 2016	1166048	21	0	8
Wed Jun 29 19:41:56 2016	1166054	21	0	8
Wed Jun 29 19:41:56 2016	1166060	20	0	8
Wed Jun 29 19:41:56 2016	1166066	21	0	8
Wed Jun 29 19:41:56 2016	1166072	21	0	8
Wed Jun 29 19:41:56 2016	1166078	21	0	8
Wed Jun 29 19:41:56 2016	1166084	21	0	8
Wed Jun 29 19:41:56 2016	1166090	20	0	8
Wed Jun 29 19:41:56 2016	1166096	21	0	8
Wed Jun 29 19:41:56 2016	1166102	21	0	8
Wed Jun 29 19:41:56 2016	1166108	20	0	8
Wed Jun 29 19:41:56 2016	1166114	21	0	8
Wed Jun 29 19:41:56 2016	1166120	20	0	8
Wed Jun 29 19:41:56 2016	1166126	20	0	8
Wed Jun 29 19:41:56 2016	1166132	20	0	8
Wed Jun 29 19:41:56 2016	1166138	21	0	8
Wed Jun 29 19:41:56 2016	1166144	20	0	8
Wed Jun 29 19:41:56 2016	1166150	20	0	8
Wed Jun 29 19:41:56 2016	1166156	21	0	8
Wed Jun 29 19:41:56 2016	1166162	20	0	8
Wed Jun 29 19:41:56 2016	1166168	21	0	8
Wed Jun 29 19:41:56 2016	1166174	21	0	8
Wed Jun 29 19:41:56 2016	1166180	21	0	8
Wed Jun 29 19:41:56 2016	1166186	21	0	8
Wed Jun 29 19:41:56 2016	1166192	20	0	8
Wed Jun 29 19:41:56 2016	1166198	21	0	8
Wed Jun 29 19:41:56 2016	1166204	20	0	8
Wed Jun 29 19:41:56 2016	1166210	20	0	8
Wed Jun 29 19:41:56 2016	1166216	20	0	8
Wed Jun 29 19:41:56 2016	1166222	20	0	8
Wed Jun 29 19:41:56 2016	1166228	20	0	8
Wed Jun 29 19:41:56 2016	1166234	20	0	8
Wed Jun 29 19:41:56 2016	1166240	21	0	8
Wed Jun 29 19:41:56 2016	1166246	20	0	8
Wed Jun 29 19:41:56 2016	1166252	20	0	8
Wed Jun 29 19:41:56 2016	1166258	21	0	8
Wed Jun 29 19:41:56 2016	1166264	21	0	8
Wed Jun 29 19:41:56 2016	1166270	20	0	8
Wed Jun 29 19:41:56 2016	1166276	20	0	8
Wed Jun 29 19:41:56 2016	1166282	21	0	8
Wed Jun 29 19:41:56 2016	1166288	21	0	8
Wed Jun 29 19:41:56 2016	1166294	21	0	8
Wed Jun 29 19:41:56 2016	1166300	20	0	8
Wed Jun 29 19:41:56 2016	1166306	21	0	8
Wed Jun 29 19:41:56 2016	1166312	22	0	8
Wed Jun 29 19:41:56 2016	1166318	21	0	8
Wed Jun 29 19:41:56 2016	1166324	21	0	8
Wed Jun 29 19:41:56 2016	1166330	21	0	8
Wed Jun 29 19:41:56 2016	1166336	20	0	8
Wed Jun 29 19:41:56 2016	1166342	21	0	8
Wed Jun 29 19:41:56 2016	1166348	21	0	8
Wed Jun 29 19:41:56 2016	1166354	20	0	8
Wed Jun 29 19:41:56 2016	1166360	21	0	8
Wed Jun 29 19:41:56 2016	1166366	21	0	8
Wed Jun 29 19:41:56 2016	1166372	21	0	8
Wed Jun 29 19:41:56 2016	1166378	20	0	8
Wed Jun 29 19:41:56 2016	1166384	20	0	8
Wed Jun 29 19:41:56 2016	1166390	21	0	8
Wed Jun 29 19:41:56 2016	1166396	21	0	8
Wed Jun 29 19:41:56 2016	1166402	21	0	8
Wed Jun 29 19:41:56 2016	1166408	20	0	8
Wed Jun 29 19:41:56 2016	1166414	21	0	8
Wed Jun 29 19:41:56 2016	1166420	20	0	8
Wed Jun 29 19:41:56 2016	1166426	21	0	8
Wed Jun 29 19:41:56 2016	1166432	21	0	8
Wed Jun 29 19:41:56 2016	1166438	20	0	8
Wed Jun 29 19:41:56 2016	1166444	20	0	8
