DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Wed Jun 29 19:47:05 2016	1474807	13	0	8
Wed Jun 29 19:47:05 2016	1474813	14	0	8
Wed Jun 29 19:47:05 2016	1474819	14	0	8
Wed Jun 29 19:47:05 2016	1474825	12	0	8
Wed Jun 29 19:47:05 2016	1474831	15	0	8
Wed Jun 29 19:47:05 2016	1474837	14	0	8
Wed Jun 29 19:47:05 2016	1474843	13	0	8
Wed Jun 29 19:47:05 2016	1474849	14	0	8
Wed Jun 29 19:47:05 2016	1474855	13	0	8
Wed Jun 29 19:47:05 2016	1474861	13	0	8
Wed Jun 29 19:47:05 2016	1474867	14	0	8
Wed Jun 29 19:47:05 2016	1474873	13	0	8
Wed Jun 29 19:47:05 2016	1474879	13	0	8
Wed Jun 29 19:47:05 2016	1474885	14	0	8
Wed Jun 29 19:47:05 2016	1474891	13	0	8
Wed Jun 29 19:47:05 2016	1474897	14	0	8
Wed Jun 29 19:47:05 2016	1474903	13	0	8
Wed Jun 29 19:47:05 2016	1474909	12	0	8
Wed Jun 29 19:47:05 2016	1474915	15	0	8
Wed Jun 29 19:47:05 2016	1474921	12	0	8
Wed Jun 29 19:47:05 2016	1474927	13	0	8
Wed Jun 29 19:47:05 2016	1474933	14	0	8
Wed Jun 29 19:47:05 2016	1474939	14	0	8
Wed Jun 29 19:47:05 2016	1474945	13	0	8
Wed Jun 29 19:47:05 2016	1474951	14	0	8
Wed Jun 29 19:47:05 2016	1474957	12	0	8
Wed Jun 29 19:47:05 2016	1474963	14	0	8
Wed Jun 29 19:47:05 2016	1474969	15	0	8
Wed Jun 29 19:47:05 2016	1474975	12	0	8
Wed Jun 29 19:47:05 2016	1474981	13	0	8
Wed Jun 29 19:47:05 2016	1474987	14	0	8
Wed Jun 29 19:47:05 2016	1474993	13	0	8
Wed Jun 29 19:47:05 2016	1474999	15	0	8
Wed Jun 29 19:47:05 2016	1475005	13	0	8
Wed Jun 29 19:47:05 2016	1475011	12	0	8
Wed Jun 29 19:47:05 2016	1475017	14	0	8
Wed Jun 29 19:47:05 2016	1475023	14	0	8
Wed Jun 29 19:47:05 2016	1475029	14	0	8
Wed Jun 29 19:47:05 2016	1475035	15	0	8
Wed Jun 29 19:47:05 2016	1475041	13	0	8
Wed Jun 29 19:47:05 2016	1475047	14	0	8
Wed Jun 29 19:47:05 2016	1475053	15	0	8
Wed Jun 29 19:47:05 2016	1475059	13	0	8
Wed Jun 29 19:47:05 2016	1475065	14	0	8
Wed Jun 29 19:47:05 2016	1475071	15	0	8
Wed Jun 29 19:47:05 2016	1475077	12	0	8
Wed Jun 29 19:47:05 2016	1475083	13	0	8
Wed Jun 29 19:47:05 2016	1475089	13	0	8
Wed Jun 29 19:47:05 2016	1475095	14	0	8
Wed Jun 29 19:47:05 2016	1475101	13	0	8
Wed Jun 29 19:47:05 2016	1475107	12	0	8
Wed Jun 29 19:47:05 2016	1475113	14	0	8
Wed Jun 29 19:47:05 2016	1475119	15	0	8
Wed Jun 29 19:47:05 2016	1475125	12	0	8
Wed Jun 29 19:47:05 2016	1475131	12	0	8
Wed Jun 29 19:47:05 2016	1475137	13	0	8
Wed Jun 29 19:47:05 2016	1475143	13	0	8
Wed Jun 29 19:47:05 2016	1475149	15	0	8
Wed Jun 29 19:47:05 2016	1475155	13	0	8
Wed Jun 29 19:47:05 2016	1475161	12	0	8
Wed Jun 29 19:47:05 2016	1475167	15	0	8
Wed Jun 29 19:47:05 2016	1475173	13	0	8
Wed Jun 29 19:47:05 2016	1475179	13	0	8
Wed Jun 29 19:47:05 2016	1475185	14	0	8
Wed Jun 29 19:47:05 2016	1475191	14	0	8
Wed Jun 29 19:47:05 2016	1475197	14	0	8
Wed Jun 29 19:47:05 2016	1475203	14	0	8
Wed Jun 29 19:47:05 2016	1475209	11	0	8
Wed Jun 29 19:47:05 2016	1475215	15	0	8
Wed Jun 29 19:47:05 2016	1475221	14	0	8
Wed Jun 29 19:47:05 2016	1475227	14	0	8
Wed Jun 29 19:47:05 2016	1475233	14	0	8
Wed Jun 29 19:47:05 2016	1475239	13	0	8
Wed Jun 29 19:47:05 2016	1475245	13	0	8
Wed Jun 29 19:47:05 2016	1475251	13	0	8
Wed Jun 29 19:47:05 2016	1475257	12	0	8
Wed Jun 29 19:47:05 2016	1475263	14	0	8
Wed Jun 29 19:47:05 2016	1475269	12	0	8
Wed Jun 29 19:47:05 2016	1475275	12	0	8
Wed Jun 29 19:47:05 2016	1475281	13	0	8
Wed Jun 29 19:47:05 2016	1475287	15	0	8
Wed Jun 29 19:47:05 2016	1475293	14	0	8
Wed Jun 29 19:47:05 2016	1475299	14	0	8
Wed Jun 29 19:47:05 2016	1475305	13	0	8
Wed Jun 29 19:47:05 2016	1475311	12	0	8
Wed Jun 29 19:47:05 2016	1475317	14	0	8
Wed Jun 29 19:47:05 2016	1475323	11	0	8
Wed Jun 29 19:47:05 2016	1475329	13	0	8
Wed Jun 29 19:47:05 2016	1475335	14	0	8
Wed Jun 29 19:47:05 2016	1475341	12	0	8
Wed Jun 29 19:47:05 2016	1475347	14	0	8
Wed Jun 29 19:47:05 2016	1475353	14	0	8
Wed Jun 29 19:47:05 2016	1475359	13	0	8
Wed Jun 29 19:47:05 2016	1475365	14	0	8
Wed Jun 29 19:47:05 2016	1475371	13	0	8
Wed Jun 29 19:47:05 2016	1475377	13	0	8
Wed Jun 29 19:47:05 2016	1475383	14	0	8
Wed Jun 29 19:47:05 2016	1475389	13	0	8
Wed Jun 29 19:47:05 2016	1475395	14	0	8
Wed Jun 29 19:47:05 2016	1475401	14	0	8
Wed Jun 29 19:47:05 2016	1475407	12	0	8
Wed Jun 29 19:47:05 2016	1475413	13	0	8
Wed Jun 29 19:47:05 2016	1475419	14	0	8
Wed Jun 29 19:47:05 2016	1475425	13	0	8
Wed Jun 29 19:47:05 2016	1475431	15	0	8
Wed Jun 29 19:47:05 2016	1475437	14	0	8
Wed Jun 29 19:47:05 2016	1475443	13	0	8
Wed Jun 29 19:47:05 2016	1475449	14	0	8
Wed Jun 29 19:47:05 2016	1475455	13	0	8
Wed Jun 29 19:47:05 2016	1475461	13	0	8
Wed Jun 29 19:47:05 2016	1475467	13	0	8
Wed Jun 29 19:47:05 2016	1475473	12	0	8
Wed Jun 29 19:47:05 2016	1475479	12	0	8
Wed Jun 29 19:47:05 2016	1475485	14	0	8
Wed Jun 29 19:47:05 2016	1475491	12	0	8
Wed Jun 29 19:47:05 2016	1475497	13	0	8
Wed Jun 29 19:47:05 2016	1475503	13	0	8
Wed Jun 29 19:47:05 2016	1475509	14	0	8
Wed Jun 29 19:47:05 2016	1475515	14	0	8
Wed Jun 29 19:47:05 2016	1475521	14	0	8
Wed Jun 29 19:47:05 2016	1475527	13	0	8
Wed Jun 29 19:47:05 2016	1475533	15	0	8
Wed Jun 29 19:47:05 2016	1475539	14	0	8
Wed Jun 29 19:47:05 2016	1475545	14	0	8
Wed Jun 29 19:47:05 2016	1475551	15	0	8
Wed Jun 29 19:47:05 2016	1475557	13	0	8
Wed Jun 29 19:47:05 2016	1475563	13	0	8
Wed Jun 29 19:47:05 2016	1475569	14	0	8
Wed Jun 29 19:47:05 2016	1475575	13	0	8
Wed Jun 29 19:47:05 2016	1475581	13	0	8
Wed Jun 29 19:47:05 2016	1475587	14	0	8
Wed Jun 29 19:47:05 2016	1475593	13	0	8
Wed Jun 29 19:47:05 2016	1475599	16	0	8
Wed Jun 29 19:47:05 2016	1475605	14	0	8
Wed Jun 29 19:47:05 2016	1475611	13	0	8
Wed Jun 29 19:47:05 2016	1475617	15	0	8
Wed Jun 29 19:47:05 2016	1475623	13	0	8
Wed Jun 29 19:47:05 2016	1475629	14	0	8
Wed Jun 29 19:47:05 2016	1475635	15	0	8
Wed Jun 29 19:47:05 2016	1475641	14	0	8
Wed Jun 29 19:47:05 2016	1475647	14	0	8
Wed Jun 29 19:47:05 2016	1475653	14	0	8
Wed Jun 29 19:47:05 2016	1475659	12	0	8
Wed Jun 29 19:47:05 2016	1475665	14	0	8
Wed Jun 29 19:47:05 2016	1475671	12	0	8
Wed Jun 29 19:47:05 2016	1475677	13	0	8
Wed Jun 29 19:47:05 2016	1475683	14	0	8
Wed Jun 29 19:47:05 2016	1475689	14	0	8
Wed Jun 29 19:47:05 2016	1475695	13	0	8
Wed Jun 29 19:47:05 2016	1475701	15	0	8
Wed Jun 29 19:47:05 2016	1475707	13	0	8
Wed Jun 29 19:47:05 2016	1475713	13	0	8
Wed Jun 29 19:47:05 2016	1475719	14	0	8
Wed Jun 29 19:47:05 2016	1475725	14	0	8
Wed Jun 29 19:47:05 2016	1475731	13	0	8
Wed Jun 29 19:47:05 2016	1475737	14	0	8
Wed Jun 29 19:47:05 2016	1475743	12	0	8
Wed Jun 29 19:47:06 2016	1475749	14	0	8
Wed Jun 29 19:47:06 2016	1475755	12	0	8
Wed Jun 29 19:47:06 2016	1475761	13	0	8
Wed Jun 29 19:47:06 2016	1475767	15	0	8
Wed Jun 29 19:47:06 2016	1475773	13	0	8
Wed Jun 29 19:47:06 2016	1475779	14	0	8
Wed Jun 29 19:47:06 2016	1475785	15	0	8
Wed Jun 29 19:47:06 2016	1475791	13	0	8
Wed Jun 29 19:47:06 2016	1475797	13	0	8
Wed Jun 29 19:47:06 2016	1475803	14	0	8
Wed Jun 29 19:47:06 2016	1475809	13	0	8
Wed Jun 29 19:47:06 2016	1475815	15	0	8
Wed Jun 29 19:47:06 2016	1475821	14	0	8
Wed Jun 29 19:47:06 2016	1475827	13	0	8
Wed Jun 29 19:47:06 2016	1475833	14	0	8
Wed Jun 29 19:47:06 2016	1475839	13	0	8
Wed Jun 29 19:47:06 2016	1475845	13	0	8
Wed Jun 29 19:47:06 2016	1475851	15	0	8
Wed Jun 29 19:47:06 2016	1475857	13	0	8
Wed Jun 29 19:47:06 2016	1475863	13	0	8
Wed Jun 29 19:47:06 2016	1475869	14	0	8
Wed Jun 29 19:47:06 2016	1475875	13	0	8
Wed Jun 29 19:47:06 2016	1475881	15	0	8
Wed Jun 29 19:47:06 2016	1475887	14	0	8
Wed Jun 29 19:47:06 2016	1475893	12	0	8
Wed Jun 29 19:47:06 2016	1475899	14	0	8
Wed Jun 29 19:47:06 2016	1475905	14	0	8
Wed Jun 29 19:47:06 2016	1475911	14	0	8
Wed Jun 29 19:47:06 2016	1475917	14	0	8
Wed Jun 29 19:47:06 2016	1475923	13	0	8
Wed Jun 29 19:47:06 2016	1475929	14	0	8
Wed Jun 29 19:47:06 2016	1475935	14	0	8
Wed Jun 29 19:47:06 2016	1475941	13	0	8
Wed Jun 29 19:47:06 2016	1475947	14	0	8
Wed Jun 29 19:47:06 2016	1475953	14	0	8
Wed Jun 29 19:47:06 2016	1475959	12	0	8
Wed Jun 29 19:47:06 2016	1475965	14	0	8
Wed Jun 29 19:47:06 2016	1475971	14	0	8
Wed Jun 29 19:47:06 2016	1475977	12	0	8
Wed Jun 29 19:47:06 2016	1475983	14	0	8
Wed Jun 29 19:47:06 2016	1475989	14	0	8
Wed Jun 29 19:47:06 2016	1475995	13	0	8
Wed Jun 29 19:47:06 2016	1476001	15	0	8
Wed Jun 29 19:47:06 2016	1476007	13	0	8
Wed Jun 29 19:47:06 2016	1476013	13	0	8
Wed Jun 29 19:47:06 2016	1476019	14	0	8
Wed Jun 29 19:47:06 2016	1476025	13	0	8
Wed Jun 29 19:47:06 2016	1476031	16	0	8
Wed Jun 29 19:47:06 2016	1476037	13	0	8
Wed Jun 29 19:47:06 2016	1476043	12	0	8
Wed Jun 29 19:47:06 2016	1476049	12	0	8
