DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
Wed Jun 29 19:49:14 2016,1604202,15,0,8
Wed Jun 29 19:49:14 2016,1604208,14,0,8
Wed Jun 29 19:49:14 2016,1604214,14,0,8
Wed Jun 29 19:49:14 2016,1604220,14,0,8
Wed Jun 29 19:49:14 2016,1604226,13,0,8
Wed Jun 29 19:49:14 2016,1604232,13,0,8
Wed Jun 29 19:49:14 2016,1604238,14,0,8
Wed Jun 29 19:49:14 2016,1604244,13,0,8
Wed Jun 29 19:49:14 2016,1604250,13,0,8
Wed Jun 29 19:49:14 2016,1604256,15,0,8
Wed Jun 29 19:49:14 2016,1604262,12,0,8
Wed Jun 29 19:49:14 2016,1604268,13,0,8
Wed Jun 29 19:49:14 2016,1604274,14,0,8
Wed Jun 29 19:49:14 2016,1604280,15,0,8
Wed Jun 29 19:49:14 2016,1604286,14,0,8
Wed Jun 29 19:49:14 2016,1604292,15,0,8
Wed Jun 29 19:49:14 2016,1604298,12,0,8
Wed Jun 29 19:49:14 2016,1604304,15,0,8
Wed Jun 29 19:49:14 2016,1604310,13,0,8
Wed Jun 29 19:49:14 2016,1604316,13,0,8
Wed Jun 29 19:49:14 2016,1604322,15,0,8
Wed Jun 29 19:49:14 2016,1604328,12,0,8
Wed Jun 29 19:49:14 2016,1604334,14,0,8
Wed Jun 29 19:49:14 2016,1604340,14,0,8
Wed Jun 29 19:49:14 2016,1604346,13,0,8
Wed Jun 29 19:49:14 2016,1604352,15,0,8
Wed Jun 29 19:49:14 2016,1604358,13,0,8
Wed Jun 29 19:49:14 2016,1604364,12,0,8
Wed Jun 29 19:49:14 2016,1604370,15,0,8
Wed Jun 29 19:49:14 2016,1604376,14,0,8
Wed Jun 29 19:49:14 2016,1604382,13,0,8
Wed Jun 29 19:49:14 2016,1604388,14,0,8
Wed Jun 29 19:49:14 2016,1604394,13,0,8
Wed Jun 29 19:49:14 2016,1604400,13,0,8
Wed Jun 29 19:49:14 2016,1604406,14,0,8
Wed Jun 29 19:49:14 2016,1604412,13,0,8
Wed Jun 29 19:49:14 2016,1604418,14,0,8
Wed Jun 29 19:49:14 2016,1604424,14,0,8
Wed Jun 29 19:49:14 2016,1604430,12,0,8
Wed Jun 29 19:49:14 2016,1604436,15,0,8
Wed Jun 29 19:49:14 2016,1604442,14,0,8
Wed Jun 29 19:49:14 2016,1604448,13,0,8
Wed Jun 29 19:49:14 2016,1604454,13,0,8
Wed Jun 29 19:49:14 2016,1604460,14,0,8
Wed Jun 29 19:49:14 2016,1604466,12,0,8
Wed Jun 29 19:49:14 2016,1604472,13,0,8
Wed Jun 29 19:49:14 2016,1604478,13,0,8
Wed Jun 29 19:49:14 2016,1604484,13,0,8
Wed Jun 29 19:49:14 2016,1604490,14,0,8
Wed Jun 29 19:49:14 2016,1604496,13,0,8
Wed Jun 29 19:49:14 2016,1604502,13,0,8
Wed Jun 29 19:49:14 2016,1604508,14,0,8
Wed Jun 29 19:49:14 2016,1604514,12,0,8
Wed Jun 29 19:49:14 2016,1604520,14,0,8
Wed Jun 29 19:49:14 2016,1604526,12,0,8
Wed Jun 29 19:49:14 2016,1604532,12,0,8
Wed Jun 29 19:49:14 2016,1604538,14,0,8
Wed Jun 29 19:49:14 2016,1604544,13,0,8
Wed Jun 29 19:49:14 2016,1604550,13,0,8
Wed Jun 29 19:49:14 2016,1604556,13,0,8
Wed Jun 29 19:49:14 2016,1604562,12,0,8
Wed Jun 29 19:49:14 2016,1604568,14,0,8
Wed Jun 29 19:49:14 2016,1604574,14,0,8
Wed Jun 29 19:49:14 2016,1604580,12,0,8
Wed Jun 29 19:49:14 2016,1604586,14,0,8
Wed Jun 29 19:49:14 2016,1604592,13,0,8
Wed Jun 29 19:49:14 2016,1604598,14,0,8
Wed Jun 29 19:49:14 2016,1604604,15,0,8
Wed Jun 29 19:49:14 2016,1604610,12,0,8
Wed Jun 29 19:49:14 2016,1604616,13,0,8
Wed Jun 29 19:49:14 2016,1604622,14,0,8
Wed Jun 29 19:49:14 2016,1604628,12,0,8
Wed Jun 29 19:49:14 2016,1604634,14,0,8
Wed Jun 29 19:49:14 2016,1604640,13,0,8
Wed Jun 29 19:49:14 2016,1604646,12,0,8
Wed Jun 29 19:49:14 2016,1604652,14,0,8
Wed Jun 29 19:49:14 2016,1604658,13,0,8
Wed Jun 29 19:49:14 2016,1604664,13,0,8
Wed Jun 29 19:49:14 2016,1604670,14,0,8
Wed Jun 29 19:49:14 2016,1604676,13,0,8
Wed Jun 29 19:49:14 2016,1604682,14,0,8
Wed Jun 29 19:49:14 2016,1604688,14,0,8
Wed Jun 29 19:49:14 2016,1604694,12,0,8
Wed Jun 29 19:49:14 2016,1604700,14,0,8
Wed Jun 29 19:49:14 2016,1604706,15,0,8
Wed Jun 29 19:49:14 2016,1604712,13,0,8
Wed Jun 29 19:49:14 2016,1604718,13,0,8
Wed Jun 29 19:49:14 2016,1604724,14,0,8
Wed Jun 29 19:49:14 2016,1604730,13,0,8
Wed Jun 29 19:49:14 2016,1604736,15,0,8
Wed Jun 29 19:49:15 2016,1604742,14,0,8
Wed Jun 29 19:49:15 2016,1604748,14,0,8
Wed Jun 29 19:49:15 2016,1604754,15,0,8
Wed Jun 29 19:49:15 2016,1604760,15,0,8
Wed Jun 29 19:49:15 2016,1604766,13,0,8
Wed Jun 29 19:49:15 2016,1604772,15,0,8
Wed Jun 29 19:49:15 2016,1604778,13,0,8
Wed Jun 29 19:49:15 2016,1604784,14,0,8
Wed Jun 29 19:49:15 2016,1604790,14,0,8
Wed Jun 29 19:49:15 2016,1604796,13,0,8
Wed Jun 29 19:49:15 2016,1604802,14,0,8
Wed Jun 29 19:49:15 2016,1604808,14,0,8
Wed Jun 29 19:49:15 2016,1604814,14,0,8
Wed Jun 29 19:49:15 2016,1604820,16,0,8
Wed Jun 29 19:49:15 2016,1604826,12,0,8
Wed Jun 29 19:49:15 2016,1604832,12,0,8
Wed Jun 29 19:49:15 2016,1604838,13,0,8
Wed Jun 29 19:49:15 2016,1604844,13,0,8
Wed Jun 29 19:49:15 2016,1604850,13,0,8
Wed Jun 29 19:49:15 2016,1604856,15,0,8
Wed Jun 29 19:49:15 2016,1604862,12,0,8
Wed Jun 29 19:49:15 2016,1604868,14,0,8
Wed Jun 29 19:49:15 2016,1604874,13,0,8
Wed Jun 29 19:49:15 2016,1604880,14,0,8
Wed Jun 29 19:49:15 2016,1604886,15,0,8
Wed Jun 29 19:49:15 2016,1604892,13,0,8
Wed Jun 29 19:49:15 2016,1604898,12,0,8
Wed Jun 29 19:49:15 2016,1604904,14,0,8
Wed Jun 29 19:49:15 2016,1604910,13,0,8
Wed Jun 29 19:49:15 2016,1604916,13,0,8
Wed Jun 29 19:49:15 2016,1604922,14,0,8
