DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Mon Jul  4 00:10:27 2016	275620	0	0	0
Mon Jul  4 00:10:27 2016	275626	136	0	0
Mon Jul  4 00:10:27 2016	275632	519	0	0
Mon Jul  4 00:10:27 2016	275644	450	0	0
Mon Jul  4 00:10:27 2016	275650	523	0	0
Mon Jul  4 00:10:27 2016	275662	792	0	0
Mon Jul  4 00:10:27 2016	275674	0	0	0
Mon Jul  4 00:10:27 2016	275680	705	0	0
Mon Jul  4 00:10:27 2016	275692	21	0	0
Mon Jul  4 00:10:27 2016	275698	607	0	0
Mon Jul  4 00:10:27 2016	275710	253	0	0
Mon Jul  4 00:10:27 2016	275716	378	0	0
Mon Jul  4 00:10:27 2016	275722	0	0	0
Mon Jul  4 00:10:27 2016	275728	760	0	0
Mon Jul  4 00:10:27 2016	275740	0	0	0
Mon Jul  4 00:10:27 2016	275746	789	0	0
Mon Jul  4 00:10:27 2016	275758	0	0	0
Mon Jul  4 00:10:27 2016	275764	672	0	0
Mon Jul  4 00:10:27 2016	275776	142	0	0
Mon Jul  4 00:10:27 2016	275782	557	0	0
Mon Jul  4 00:10:27 2016	275794	424	0	0
Mon Jul  4 00:10:27 2016	275800	452	0	0
Mon Jul  4 00:10:27 2016	275806	0	0	0
Mon Jul  4 00:10:27 2016	275812	751	0	0
Mon Jul  4 00:10:27 2016	275824	3	0	0
Mon Jul  4 00:10:27 2016	275830	698	0	0
Mon Jul  4 00:10:27 2016	275842	26	0	0
Mon Jul  4 00:10:27 2016	275848	610	0	0
Mon Jul  4 00:10:27 2016	275860	207	0	0
Mon Jul  4 00:10:27 2016	275866	346	0	0
Mon Jul  4 00:10:27 2016	275872	0	0	0
Mon Jul  4 00:10:27 2016	275878	770	0	0
Mon Jul  4 00:10:27 2016	275890	0	0	0
Mon Jul  4 00:10:27 2016	275896	820	0	0
Mon Jul  4 00:10:27 2016	275908	0	0	0
Mon Jul  4 00:10:27 2016	275914	686	0	0
Mon Jul  4 00:10:27 2016	275926	122	0	0
Mon Jul  4 00:10:27 2016	275932	551	0	0
Mon Jul  4 00:10:27 2016	275944	432	0	0
Mon Jul  4 00:10:27 2016	275950	378	0	0
Mon Jul  4 00:10:27 2016	275956	0	0	0
Mon Jul  4 00:10:27 2016	275962	759	0	0
Mon Jul  4 00:10:27 2016	275974	3	0	0
Mon Jul  4 00:10:27 2016	275980	668	0	0
Mon Jul  4 00:10:27 2016	275992	29	0	0
Mon Jul  4 00:10:27 2016	275998	614	0	0
Mon Jul  4 00:10:27 2016	276010	206	0	0
Mon Jul  4 00:10:27 2016	276016	301	0	0
Mon Jul  4 00:10:27 2016	276022	0	0	0
Mon Jul  4 00:10:27 2016	276028	769	0	0
Mon Jul  4 00:10:27 2016	276040	0	0	0
Mon Jul  4 00:10:27 2016	276046	818	0	0
Mon Jul  4 00:10:27 2016	276058	0	0	0
Mon Jul  4 00:10:27 2016	276064	680	0	0
Mon Jul  4 00:10:27 2016	276076	117	0	0
Mon Jul  4 00:10:27 2016	276082	568	0	0
Mon Jul  4 00:10:27 2016	276094	397	0	0
Mon Jul  4 00:10:27 2016	276100	405	0	0
Mon Jul  4 00:10:27 2016	276106	0	0	0
Mon Jul  4 00:10:27 2016	276112	753	0	0
Mon Jul  4 00:10:27 2016	276124	0	0	0
Mon Jul  4 00:10:27 2016	276130	677	0	0
Mon Jul  4 00:10:27 2016	276142	34	0	0
Mon Jul  4 00:10:27 2016	276148	626	0	0
Mon Jul  4 00:10:27 2016	276160	171	0	0
Mon Jul  4 00:10:27 2016	276166	321	0	0
Mon Jul  4 00:10:27 2016	276172	0	0	0
Mon Jul  4 00:10:27 2016	276178	774	0	0
Mon Jul  4 00:10:27 2016	276190	0	0	0
Mon Jul  4 00:10:27 2016	276196	823	0	0
