DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Mon Jul  4 00:13:06 2016	434821	403	0	0
Mon Jul  4 00:13:06 2016	434827	0	0	0
Mon Jul  4 00:13:06 2016	434833	821	0	0
Mon Jul  4 00:13:06 2016	434845	0	0	0
Mon Jul  4 00:13:06 2016	434851	880	0	0
Mon Jul  4 00:13:06 2016	434863	0	0	0
Mon Jul  4 00:13:06 2016	434869	569	0	0
Mon Jul  4 00:13:06 2016	434881	253	0	0
Mon Jul  4 00:13:06 2016	434887	489	0	0
Mon Jul  4 00:13:06 2016	434893	0	0	0
Mon Jul  4 00:13:06 2016	434899	594	0	0
Mon Jul  4 00:13:06 2016	434911	0	0	0
Mon Jul  4 00:13:06 2016	434917	987	0	0
Mon Jul  4 00:13:06 2016	434929	11	0	0
Mon Jul  4 00:13:06 2016	434935	863	0	0
Mon Jul  4 00:13:06 2016	434947	66	0	0
Mon Jul  4 00:13:06 2016	434953	595	0	0
Mon Jul  4 00:13:06 2016	434965	298	0	0
Mon Jul  4 00:13:06 2016	434971	400	0	0
Mon Jul  4 00:13:06 2016	434977	0	0	0
Mon Jul  4 00:13:06 2016	434983	812	0	0
Mon Jul  4 00:13:06 2016	434995	0	0	0
Mon Jul  4 00:13:06 2016	435001	900	0	0
Mon Jul  4 00:13:06 2016	435013	6	0	0
Mon Jul  4 00:13:06 2016	435019	664	0	0
Mon Jul  4 00:13:06 2016	435031	215	0	0
Mon Jul  4 00:13:06 2016	435037	501	0	0
Mon Jul  4 00:13:06 2016	435049	553	0	0
Mon Jul  4 00:13:06 2016	435061	0	0	0
Mon Jul  4 00:13:06 2016	435067	868	0	0
Mon Jul  4 00:13:06 2016	435079	9	0	0
Mon Jul  4 00:13:06 2016	435085	420	0	0
Mon Jul  4 00:13:06 2016	435091	0	0	0
Mon Jul  4 00:13:06 2016	435097	54	0	0
Mon Jul  4 00:13:06 2016	435103	582	0	0
Mon Jul  4 00:13:06 2016	435115	289	0	0
Mon Jul  4 00:13:06 2016	435121	397	0	0
Mon Jul  4 00:13:06 2016	435127	0	0	0
Mon Jul  4 00:13:06 2016	435133	815	0	0
Mon Jul  4 00:13:06 2016	435145	0	0	0
Mon Jul  4 00:13:06 2016	435151	897	0	0
Mon Jul  4 00:13:06 2016	435163	0	0	0
