DateTime,Elapsed,PiezoValue,BucketFlip,BucketCount
11,0,0
Sat Jul 16 00:28:24 2016,76863,11,0,0
Sat Jul 16 00:28:24 2016,76869,11,0,0
Sat Jul 16 00:28:24 2016,76875,14,0,0
Sat Jul 16 00:28:24 2016,76881,13,0,0
Sat Jul 16 00:28:24 2016,76887,11,0,0
Sat Jul 16 00:28:24 2016,76893,12,0,0
Sat Jul 16 00:28:24 2016,76899,13,0,0
Sat Jul 16 00:28:24 2016,76905,13,0,0
Sat Jul 16 00:28:24 2016,76911,11,0,0
Sat Jul 16 00:28:24 2016,76917,13,0,0
Sat Jul 16 00:28:24 2016,76923,12,0,0
Sat Jul 16 00:28:24 2016,76929,13,0,0
Sat Jul 16 00:28:24 2016,76935,13,0,0
Sat Jul 16 00:28:24 2016,76941,13,0,0
Sat Jul 16 00:28:24 2016,76947,12,0,0
Sat Jul 16 00:28:24 2016,76953,12,0,0
Sat Jul 16 00:28:24 2016,76959,11,0,0
Sat Jul 16 00:28:24 2016,76965,11,0,0
Sat Jul 16 00:28:24 2016,76971,14,0,0
Sat Jul 16 00:28:24 2016,76977,13,0,0
Sat Jul 16 00:28:24 2016,76983,12,0,0
Sat Jul 16 00:28:24 2016,76989,12,0,0
Sat Jul 16 00:28:24 2016,76995,12,0,0
Sat Jul 16 00:28:24 2016,77001,14,0,0
Sat Jul 16 00:28:24 2016,77007,12,0,0
Sat Jul 16 00:28:25 2016,77013,12,0,0
Sat Jul 16 00:28:25 2016,77019,13,0,0
Sat Jul 16 00:28:25 2016,77025,13,0,0
Sat Jul 16 00:28:25 2016,77031,13,0,0
Sat Jul 16 00:28:25 2016,77037,11,0,0
Sat Jul 16 00:28:25 2016,77043,12,0,0
Sat Jul 16 00:28:25 2016,77049,11,0,0
Sat Jul 16 00:28:25 2016,77055,10,0,0
Sat Jul 16 00:28:25 2016,77061,11,0,0
Sat Jul 16 00:28:25 2016,77067,12,0,0
Sat Jul 16 00:28:25 2016,77073,14,0,0
Sat Jul 16 00:28:25 2016,77079,12,0,0
Sat Jul 16 00:28:25 2016,77085,13,0,0
Sat Jul 16 00:28:25 2016,77091,11,0,0
Sat Jul 16 00:28:25 2016,77097,11,0,0
Sat Jul 16 00:28:25 2016,77103,11,0,0
Sat Jul 16 00:28:25 2016,77109,12,0,0
Sat Jul 16 00:28:25 2016,77115,13,0,0
Sat Jul 16 00:28:25 2016,77121,12,0,0
Sat Jul 16 00:28:25 2016,77127,11,0,0
Sat Jul 16 00:28:25 2016,77133,12,0,0
Sat Jul 16 00:28:25 2016,77139,12,0,0
Sat Jul 16 00:28:25 2016,77145,13,0,0
Sat Jul 16 00:28:25 2016,77151,13,0,0
Sat Jul 16 00:28:25 2016,77157,12,0,0
Sat Jul 16 00:28:25 2016,77163,13,0,0
Sat Jul 16 00:28:25 2016,77169,11,0,0
Sat Jul 16 00:28:25 2016,77175,10,0,0
Sat Jul 16 00:28:25 2016,77181,11,0,0
Sat Jul 16 00:28:25 2016,77187,14,0,0
Sat Jul 16 00:28:25 2016,77193,11,0,0
Sat Jul 16 00:28:25 2016,77199,13,0,0
Sat Jul 16 00:28:25 2016,77205,11,0,0
Sat Jul 16 00:28:25 2016,77211,14,0,0
Sat Jul 16 00:28:25 2016,77217,12,0,0
Sat Jul 16 00:28:25 2016,77223,11,0,0
Sat Jul 16 00:28:25 2016,77229,11,0,0
Sat Jul 16 00:28:25 2016,77235,12,0,0
Sat Jul 16 00:28:25 2016,77241,12,0,0
Sat Jul 16 00:28:25 2016,77247,12,0,0
Sat Jul 16 00:28:25 2016,77253,12,0,0
Sat Jul 16 00:28:25 2016,77259,11,0,0
Sat Jul 16 00:28:25 2016,77265,13,0,0
Sat Jul 16 00:28:25 2016,77271,13,0,0
Sat Jul 16 00:28:25 2016,77277,11,0,0
Sat Jul 16 00:28:25 2016,77283,11,0,0
Sat Jul 16 00:28:25 2016,77289,11,0,0
Sat Jul 16 00:28:25 2016,77295,11,0,0
Sat Jul 16 00:28:25 2016,77301,11,0,0
Sat Jul 16 00:28:25 2016,77307,13,0,0
Sat Jul 16 00:28:25 2016,77313,13,0,0
Sat Jul 16 00:28:25 2016,77319,11,0,0
Sat Jul 16 00:28:25 2016,77325,10,0,0
Sat Jul 16 00:28:25 2016,77331,11,0,0
Sat Jul 16 00:28:25 2016,77337,13,0,0
Sat Jul 16 00:28:25 2016,77343,11,0,0
Sat Jul 16 00:28:25 2016,77349,12,0,0
Sat Jul 16 00:28:25 2016,77355,11,0,0
Sat Jul 16 00:28:25 2016,77361,13,0,0
Sat Jul 16 00:28:25 2016,77367,13,0,0
Sat Jul 16 00:28:25 2016,77373,13,0,0
Sat Jul 16 00:28:25 2016,77379,11,0,0
Sat Jul 16 00:28:25 2016,77385,11,0,0
Sat Jul 16 00:28:25 2016,77391,13,0,0
