DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount		
Wed Jul 20 20:47:51 2016	425333	13	0	0		Analog rain gauge confirms that the bucket count is correct.
Wed Jul 20 20:47:59 2016	433539	12	0	0		
Wed Jul 20 20:47:59 2016	433545	13	0	0		
Wed Jul 20 20:47:59 2016	433551	13	0	0		
Wed Jul 20 20:47:59 2016	433557	13	0	0		
Wed Jul 20 20:47:59 2016	433563	12	0	0		
Wed Jul 20 20:47:59 2016	433569	13	0	0		
Wed Jul 20 20:47:59 2016	433575	13	0	0		
Wed Jul 20 20:47:59 2016	433581	14	0	0		
Wed Jul 20 20:47:59 2016	433587	12	0	0		
Wed Jul 20 20:47:59 2016	433593	12	0	0		
Wed Jul 20 20:47:59 2016	433599	13	0	0		
Wed Jul 20 20:47:59 2016	433605	14	0	0		
Wed Jul 20 20:47:59 2016	433611	13	0	0		
Wed Jul 20 20:47:59 2016	433617	13	0	0		
Wed Jul 20 20:47:59 2016	433623	13	0	0		
Wed Jul 20 20:47:59 2016	433629	13	0	0		
Wed Jul 20 20:47:59 2016	433635	13	0	0		
Wed Jul 20 20:47:59 2016	433641	13	0	0		
Wed Jul 20 20:47:59 2016	433647	13	0	0		
Wed Jul 20 20:47:59 2016	433653	12	0	0		
Wed Jul 20 20:47:59 2016	433659	12	0	0		
Wed Jul 20 20:47:59 2016	433665	13	0	0		
Wed Jul 20 20:47:59 2016	433671	13	0	0		
Wed Jul 20 20:47:59 2016	433677	13	0	0		
Wed Jul 20 20:47:59 2016	433683	13	0	0		
Wed Jul 20 20:47:59 2016	433689	13	0	0		
Wed Jul 20 20:47:59 2016	433695	13	0	0		
Wed Jul 20 20:47:59 2016	433701	13	0	0		
Wed Jul 20 20:47:59 2016	433707	13	0	0		
Wed Jul 20 20:47:59 2016	433713	14	0	0		
Wed Jul 20 20:47:59 2016	433719	13	0	0		
Wed Jul 20 20:47:59 2016	433725	13	0	0		
Wed Jul 20 20:47:59 2016	433731	13	0	0		
Wed Jul 20 20:47:59 2016	433737	13	0	0		
Wed Jul 20 20:47:59 2016	433743	13	0	0		
Wed Jul 20 20:47:59 2016	433749	13	0	0		
Wed Jul 20 20:47:59 2016	433755	14	0	0		
Wed Jul 20 20:47:59 2016	433761	13	0	0		
Wed Jul 20 20:47:59 2016	433767	13	0	0		
Wed Jul 20 20:47:59 2016	433773	12	0	0		
Wed Jul 20 20:47:59 2016	433779	13	0	0		
Wed Jul 20 20:47:59 2016	433785	13	0	0		
Wed Jul 20 20:47:59 2016	433791	12	0	0		
Wed Jul 20 20:47:59 2016	433797	13	0	0		
Wed Jul 20 20:47:59 2016	433803	13	0	0		
Wed Jul 20 20:47:59 2016	433809	14	0	0		
Wed Jul 20 20:47:59 2016	433815	12	0	0		
Wed Jul 20 20:47:59 2016	433821	12	0	0		
Wed Jul 20 20:47:59 2016	433827	12	0	0		
Wed Jul 20 20:47:59 2016	433833	14	0	0		
Wed Jul 20 20:47:59 2016	433839	13	0	0		
Wed Jul 20 20:47:59 2016	433845	13	0	0		
Wed Jul 20 20:47:59 2016	433851	12	0	0		
Wed Jul 20 20:47:59 2016	433857	13	0	0		
Wed Jul 20 20:47:59 2016	433863	12	0	0		
Wed Jul 20 20:47:59 2016	433869	13	0	0		
Wed Jul 20 20:47:59 2016	433875	13	0	0		
Wed Jul 20 20:47:59 2016	433881	13	0	0		
Wed Jul 20 20:47:59 2016	433887	13	0	0		
Wed Jul 20 20:47:59 2016	433893	13	0	0		
Wed Jul 20 20:47:59 2016	433899	13	0	0		
Wed Jul 20 20:47:59 2016	433905	13	0	0		
Wed Jul 20 20:47:59 2016	433911	14	0	0		
Wed Jul 20 20:47:59 2016	433917	13	0	0		
Wed Jul 20 20:47:59 2016	433923	12	0	0		
Wed Jul 20 20:47:59 2016	433929	13	0	0		
Wed Jul 20 20:47:59 2016	433935	13	0	0		
Wed Jul 20 20:47:59 2016	433941	13	0	0		
Wed Jul 20 20:47:59 2016	433947	12	0	0		
Wed Jul 20 20:47:59 2016	433953	13	0	0		
Wed Jul 20 20:47:59 2016	433959	13	0	0		
Wed Jul 20 20:47:59 2016	433965	13	0	0		
Wed Jul 20 20:47:59 2016	433971	12	0	0		
Wed Jul 20 20:47:59 2016	433977	13	0	0		
Wed Jul 20 20:47:59 2016	433983	12	0	0		
Wed Jul 20 20:47:59 2016	433989	12	0	0		
Wed Jul 20 20:47:59 2016	433995	13	0	0		
Wed Jul 20 20:47:59 2016	434001	13	0	0		
Wed Jul 20 20:47:59 2016	434007	11	0	0		
Wed Jul 20 20:47:59 2016	434013	14	0	0		
Wed Jul 20 20:47:59 2016	434019	13	0	0		
Wed Jul 20 20:47:59 2016	434025	12	0	0		
Wed Jul 20 20:47:59 2016	434031	13	0	0		
