DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Wed Jul 20 23:41:04 2016	68986	13	0	0
Wed Jul 20 23:41:04 2016	68992	13	0	0
Wed Jul 20 23:41:04 2016	68998	13	0	0
Wed Jul 20 23:41:04 2016	69004	13	0	0
Wed Jul 20 23:41:04 2016	69010	13	0	0
Wed Jul 20 23:41:04 2016	69016	13	0	0
Wed Jul 20 23:41:04 2016	69022	13	0	0
Wed Jul 20 23:41:04 2016	69028	13	0	0
Wed Jul 20 23:41:04 2016	69034	13	0	0
Wed Jul 20 23:41:04 2016	69040	13	0	0
Wed Jul 20 23:41:04 2016	69046	13	0	0
Wed Jul 20 23:41:04 2016	69052	13	0	0
Wed Jul 20 23:41:04 2016	69058	13	0	0
Wed Jul 20 23:41:04 2016	69064	13	0	0
Wed Jul 20 23:41:04 2016	69070	13	0	0
Wed Jul 20 23:41:04 2016	69076	13	0	0
Wed Jul 20 23:41:04 2016	69082	13	0	0
Wed Jul 20 23:41:04 2016	69088	13	0	0
Wed Jul 20 23:41:04 2016	69094	13	0	0
Wed Jul 20 23:41:04 2016	69100	13	0	0
Wed Jul 20 23:41:04 2016	69106	13	0	0
Wed Jul 20 23:41:04 2016	69112	13	0	0
Wed Jul 20 23:41:04 2016	69118	13	0	0
Wed Jul 20 23:41:04 2016	69124	13	0	0
Wed Jul 20 23:41:04 2016	69130	13	0	0
Wed Jul 20 23:41:04 2016	69136	13	0	0
Wed Jul 20 23:41:04 2016	69142	13	0	0
Wed Jul 20 23:41:04 2016	69148	13	0	0
Wed Jul 20 23:41:04 2016	69154	13	0	0
Wed Jul 20 23:41:04 2016	69160	13	0	0
Wed Jul 20 23:41:04 2016	69166	13	0	0
Wed Jul 20 23:41:04 2016	69172	13	0	0
Wed Jul 20 23:41:04 2016	69178	14	0	0
Wed Jul 20 23:41:04 2016	69184	13	0	0
Wed Jul 20 23:41:04 2016	69190	13	0	0
Wed Jul 20 23:41:04 2016	69196	13	0	0
Wed Jul 20 23:41:04 2016	69202	13	0	0
Wed Jul 20 23:41:04 2016	69208	13	0	0
Wed Jul 20 23:41:04 2016	69214	13	0	0
Wed Jul 20 23:41:04 2016	69220	13	0	0
Wed Jul 20 23:41:04 2016	69226	13	0	0
Wed Jul 20 23:41:04 2016	69232	13	0	0
Wed Jul 20 23:41:04 2016	69238	13	0	0
Wed Jul 20 23:41:04 2016	69244	13	0	0
Wed Jul 20 23:41:04 2016	69250	13	0	0
Wed Jul 20 23:41:04 2016	69256	13	0	0
Wed Jul 20 23:41:04 2016	69262	13	0	0
Wed Jul 20 23:41:04 2016	69268	13	0	0
Wed Jul 20 23:41:04 2016	69274	13	0	0
Wed Jul 20 23:41:04 2016	69280	13	0	0
Wed Jul 20 23:41:04 2016	69286	13	0	0
Wed Jul 20 23:41:05 2016	69292	13	0	0
Wed Jul 20 23:41:05 2016	69298	13	0	0
Wed Jul 20 23:41:05 2016	69304	13	0	0
Wed Jul 20 23:41:05 2016	69310	13	0	0
Wed Jul 20 23:41:05 2016	69316	13	0	0
Wed Jul 20 23:41:05 2016	69322	13	0	0
Wed Jul 20 23:41:05 2016	69328	13	0	0
Wed Jul 20 23:41:05 2016	69334	13	0	0
Wed Jul 20 23:41:05 2016	69340	13	0	0
Wed Jul 20 23:41:05 2016	69346	13	0	0
Wed Jul 20 23:41:05 2016	69352	13	0	0
Wed Jul 20 23:41:05 2016	69358	13	0	0
Wed Jul 20 23:41:05 2016	69364	13	0	0
Wed Jul 20 23:41:05 2016	69370	13	0	0
Wed Jul 20 23:41:05 2016	69376	13	0	0
Wed Jul 20 23:41:05 2016	69382	13	0	0
Wed Jul 20 23:41:05 2016	69388	13	0	0
Wed Jul 20 23:41:05 2016	69394	13	0	0
Wed Jul 20 23:41:05 2016	69400	13	0	0
Wed Jul 20 23:41:05 2016	69406	13	0	0
Wed Jul 20 23:41:05 2016	69412	13	0	0
Wed Jul 20 23:41:05 2016	69418	13	0	0
Wed Jul 20 23:41:05 2016	69424	13	0	0
Wed Jul 20 23:41:05 2016	69430	13	0	0
Wed Jul 20 23:41:05 2016	69436	13	0	0
Wed Jul 20 23:41:05 2016	69442	13	0	0
Wed Jul 20 23:41:05 2016	69448	13	0	0
Wed Jul 20 23:41:05 2016	69454	13	0	0
Wed Jul 20 23:41:05 2016	69460	13	0	0
Wed Jul 20 23:41:05 2016	69466	14	0	0
Wed Jul 20 23:41:05 2016	69472	13	0	0
Wed Jul 20 23:41:05 2016	69478	13	0	0
Wed Jul 20 23:41:05 2016	69484	13	0	0
Wed Jul 20 23:41:05 2016	69490	13	0	0
Wed Jul 20 23:41:05 2016	69496	13	0	0
Wed Jul 20 23:41:05 2016	69502	13	0	0
Wed Jul 20 23:41:05 2016	69508	12	0	0
Wed Jul 20 23:41:05 2016	69514	13	0	0
Wed Jul 20 23:41:05 2016	69520	13	0	0
Wed Jul 20 23:41:05 2016	69526	13	0	0
Wed Jul 20 23:41:05 2016	69532	13	0	0
Wed Jul 20 23:41:05 2016	69538	13	0	0
Wed Jul 20 23:41:05 2016	69544	13	0	0
Wed Jul 20 23:41:05 2016	69550	13	0	0
Wed Jul 20 23:41:05 2016	69556	13	0	0
Wed Jul 20 23:41:05 2016	69562	13	0	0
Wed Jul 20 23:41:05 2016	69568	13	0	0
Wed Jul 20 23:41:05 2016	69574	13	0	0
Wed Jul 20 23:41:05 2016	69580	13	0	0
Wed Jul 20 23:41:05 2016	69586	13	0	0
Wed Jul 20 23:41:05 2016	69592	13	0	0
Wed Jul 20 23:41:05 2016	69598	13	0	0
Wed Jul 20 23:41:05 2016	69604	13	0	0
Wed Jul 20 23:41:05 2016	69610	13	0	0
Wed Jul 20 23:41:05 2016	69616	13	0	0
Wed Jul 20 23:41:05 2016	69622	13	0	0
Wed Jul 20 23:41:05 2016	69628	13	0	0
Wed Jul 20 23:41:05 2016	69634	14	0	0
Wed Jul 20 23:41:05 2016	69640	13	0	0
Wed Jul 20 23:41:05 2016	69646	13	0	0
Wed Jul 20 23:41:05 2016	69652	13	0	0
Wed Jul 20 23:41:05 2016	69658	13	0	0
Wed Jul 20 23:41:05 2016	69664	13	0	0
Wed Jul 20 23:41:05 2016	69670	13	0	0
Wed Jul 20 23:41:05 2016	69676	13	0	0
Wed Jul 20 23:41:05 2016	69682	13	0	0
Wed Jul 20 23:41:05 2016	69688	13	0	0
Wed Jul 20 23:41:05 2016	69694	13	0	0
Wed Jul 20 23:41:05 2016	69700	13	0	0
Wed Jul 20 23:41:05 2016	69706	13	0	0
Wed Jul 20 23:41:05 2016	69712	13	0	0
Wed Jul 20 23:41:05 2016	69718	13	0	0
Wed Jul 20 23:41:05 2016	69724	14	0	0
Wed Jul 20 23:41:05 2016	69730	13	0	0
Wed Jul 20 23:41:05 2016	69736	13	0	0
Wed Jul 20 23:41:05 2016	69742	13	0	0
Wed Jul 20 23:41:05 2016	69748	13	0	0
Wed Jul 20 23:41:05 2016	69754	13	0	0
Wed Jul 20 23:41:05 2016	69760	13	0	0
Wed Jul 20 23:41:05 2016	69766	13	0	0
Wed Jul 20 23:41:05 2016	69772	13	0	0
Wed Jul 20 23:41:05 2016	69778	13	0	0
Wed Jul 20 23:41:05 2016	69784	13	0	0
Wed Jul 20 23:41:05 2016	69790	13	0	0
Wed Jul 20 23:41:05 2016	69796	13	0	0
Wed Jul 20 23:41:05 2016	69802	13	0	0
Wed Jul 20 23:41:05 2016	69808	13	0	0
Wed Jul 20 23:41:05 2016	69814	13	0	0
Wed Jul 20 23:41:05 2016	69820	13	0	0
Wed Jul 20 23:41:05 2016	69826	13	0	0
Wed Jul 20 23:41:05 2016	69832	13	0	0
Wed Jul 20 23:41:05 2016	69838	13	0	0
