DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Wed Jul 20Wed Jul 20 23:45:41 2016	345968	20	0	0
Wed Jul 20 23:45:41 2016	345974	20	0	0
Wed Jul 20 23:45:41 2016	345980	19	0	0
Wed Jul 20 23:45:41 2016	345986	20	0	0
Wed Jul 20 23:45:41 2016	345992	20	0	0
Wed Jul 20 23:45:41 2016	345998	20	0	0
Wed Jul 20 23:45:41 2016	346004	20	0	0
Wed Jul 20 23:45:41 2016	346010	20	0	0
Wed Jul 20 23:45:41 2016	346016	20	0	0
Wed Jul 20 23:45:41 2016	346022	20	0	0
Wed Jul 20 23:45:41 2016	346028	20	0	0
Wed Jul 20 23:45:41 2016	346034	20	0	0
Wed Jul 20 23:45:41 2016	346040	21	0	0
Wed Jul 20 23:45:41 2016	346046	20	0	0
Wed Jul 20 23:45:41 2016	346052	20	0	0
Wed Jul 20 23:45:41 2016	346058	20	0	0
Wed Jul 20 23:45:41 2016	346064	20	0	0
Wed Jul 20 23:45:41 2016	346070	20	0	0
Wed Jul 20 23:45:41 2016	346076	20	0	0
Wed Jul 20 23:45:41 2016	346082	20	0	0
Wed Jul 20 23:45:41 2016	346088	21	0	0
Wed Jul 20 23:45:41 2016	346094	20	0	0
Wed Jul 20 23:45:41 2016	346100	20	0	0
Wed Jul 20 23:45:41 2016	346106	20	0	0
Wed Jul 20 23:45:41 2016	346112	20	0	0
Wed Jul 20 23:45:41 2016	346118	20	0	0
Wed Jul 20 23:45:41 2016	346124	20	0	0
Wed Jul 20 23:45:41 2016	346130	20	0	0
Wed Jul 20 23:45:41 2016	346136	20	0	0
Wed Jul 20 23:45:41 2016	346142	20	0	0
Wed Jul 20 23:45:41 2016	346148	20	0	0
Wed Jul 20 23:45:41 2016	346154	21	0	0
Wed Jul 20 23:45:41 2016	346160	20	0	0
Wed Jul 20 23:45:41 2016	346166	20	0	0
Wed Jul 20 23:45:41 2016	346172	20	0	0
Wed Jul 20 23:45:41 2016	346178	21	0	0
Wed Jul 20 23:45:41 2016	346184	20	0	0
Wed Jul 20 23:45:41 2016	346190	20	0	0
Wed Jul 20 23:45:41 2016	346196	20	0	0
Wed Jul 20 23:45:41 2016	346202	20	0	0
Wed Jul 20 23:45:41 2016	346208	20	0	0
Wed Jul 20 23:45:41 2016	346214	20	0	0
Wed Jul 20 23:45:41 2016	346220	20	0	0
Wed Jul 20 23:45:41 2016	346226	20	0	0
Wed Jul 20 23:45:41 2016	346232	20	0	0
Wed Jul 20 23:45:41 2016	346238	20	0	0
Wed Jul 20 23:45:41 2016	346244	20	0	0
Wed Jul 20 23:45:41 2016	346250	20	0	0
Wed Jul 20 23:45:41 2016	346256	20	0	0
Wed Jul 20 23:45:41 2016	346262	20	0	0
Wed Jul 20 23:45:41 2016	346268	20	0	0
Wed Jul 20 23:45:41 2016	346274	20	0	0
Wed Jul 20 23:45:42 2016	346280	20	0	0
Wed Jul 20 23:45:42 2016	346286	20	0	0
Wed Jul 20 23:45:42 2016	346292	21	0	0
Wed Jul 20 23:45:42 2016	346298	20	0	0
Wed Jul 20 23:45:42 2016	346304	20	0	0
Wed Jul 20 23:45:42 2016	346310	20	0	0
Wed Jul 20 23:45:42 2016	346316	20	0	0
Wed Jul 20 23:45:42 2016	346322	20	0	0
Wed Jul 20 23:45:42 2016	346328	20	0	0
Wed Jul 20 23:45:42 2016	346334	20	0	0
Wed Jul 20 23:45:42 2016	346340	20	0	0
Wed Jul 20 23:45:42 2016	346346	20	0	0
Wed Jul 20 23:45:42 2016	346352	20	0	0
Wed Jul 20 23:45:42 2016	346358	20	0	0
Wed Jul 20 23:45:42 2016	346364	20	0	0
Wed Jul 20 23:45:42 2016	346370	20	0	0
Wed Jul 20 23:45:42 2016	346376	20	0	0
Wed Jul 20 23:45:42 2016	346382	20	0	0
Wed Jul 20 23:45:42 2016	346388	20	0	0
Wed Jul 20 23:45:42 2016	346394	20	0	0
Wed Jul 20 23:45:42 2016	346400	20	0	0
Wed Jul 20 23:45:42 2016	346406	20	0	0
Wed Jul 20 23:45:42 2016	346412	20	0	0
Wed Jul 20 23:45:42 2016	346418	20	0	0
Wed Jul 20 23:45:42 2016	346424	20	0	0
Wed Jul 20 23:45:42 2016	346430	20	0	0
Wed Jul 20 23:45:42 2016	346436	21	0	0
Wed Jul 20 23:45:42 2016	346442	20	0	0
Wed Jul 20 23:45:42 2016	346448	20	0	0
Wed Jul 20 23:45:42 2016	346454	19	0	0
Wed Jul 20 23:45:42 2016	346460	20	0	0
Wed Jul 20 23:45:42 2016	346466	19	0	0
Wed Jul 20 23:45:42 2016	346472	21	0	0
Wed Jul 20 23:45:42 2016	346478	20	0	0
Wed Jul 20 23:45:42 2016	346484	20	0	0
Wed Jul 20 23:45:42 2016	346490	21	0	0
Wed Jul 20 23:45:42 2016	346496	20	0	0
Wed Jul 20 23:45:42 2016	346502	20	0	0
Wed Jul 20 23:45:42 2016	346508	20	0	0
Wed Jul 20 23:45:42 2016	346514	20	0	0
Wed Jul 20 23:45:42 2016	346520	21	0	0
Wed Jul 20 23:45:42 2016	346526	20	0	0
Wed Jul 20 23:45:42 2016	346532	20	0	0
Wed Jul 20 23:45:42 2016	346538	20	0	0
Wed Jul 20 23:45:42 2016	346544	20	0	0
Wed Jul 20 23:45:42 2016	346550	20	0	0
Wed Jul 20 23:45:42 2016	346556	21	0	0
Wed Jul 20 23:45:42 2016	346562	20	0	0
Wed Jul 20 23:45:42 2016	346568	20	0	0
Wed Jul 20 23:45:42 2016	346574	20	0	0
Wed Jul 20 23:45:42 2016	346580	20	0	0
Wed Jul 20 23:45:42 2016	346586	20	0	0
Wed Jul 20 23:45:42 2016	346592	20	0	0
Wed Jul 20 23:45:42 2016	346598	20	0	0
Wed Jul 20 23:45:42 2016	346604	20	0	0
Wed Jul 20 23:45:42 2016	346610	20	0	0
Wed Jul 20 23:45:42 2016	346616	20	0	0
Wed Jul 20 23:45:42 2016	346622	20	0	0
Wed Jul 20 23:45:42 2016	346628	20	0	0
Wed Jul 20 23:45:42 2016	346634	20	0	0
Wed Jul 20 23:45:42 2016	346640	20	0	0
Wed Jul 20 23:45:42 2016	346646	20	0	0
Wed Jul 20 23:45:42 2016	346652	20	0	0
Wed Jul 20 23:45:42 2016	346658	21	0	0
Wed Jul 20 23:45:42 2016	346664	20	0	0
Wed Jul 20 23:45:42 2016	346670	20	0	0
Wed Jul 20 23:45:42 2016	346676	20	0	0
