DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Thu Jul 21 00:37:40 2016	87864	13	0	0
Thu Jul 21 00:37:40 2016	87870	13	0	0
Thu Jul 21 00:37:40 2016	87876	14	0	0
Thu Jul 21 00:37:40 2016	87882	14	0	0
Thu Jul 21 00:37:40 2016	87888	14	0	0
Thu Jul 21 00:37:40 2016	87894	13	0	0
Thu Jul 21 00:37:40 2016	87900	14	0	0
Thu Jul 21 00:37:40 2016	87906	13	0	0
Thu Jul 21 00:37:40 2016	87912	13	0	0
Thu Jul 21 00:37:40 2016	87918	14	0	0
Thu Jul 21 00:37:40 2016	87924	13	0	0
Thu Jul 21 00:37:40 2016	87930	13	0	0
Thu Jul 21 00:37:40 2016	87936	13	0	0
Thu Jul 21 00:37:40 2016	87942	15	0	0
Thu Jul 21 00:37:40 2016	87948	15	0	0
Thu Jul 21 00:37:40 2016	87954	14	0	0
Thu Jul 21 00:37:40 2016	87960	14	0	0
Thu Jul 21 00:37:40 2016	87966	13	0	0
Thu Jul 21 00:37:40 2016	87972	15	0	0
Thu Jul 21 00:37:40 2016	87978	14	0	0
Thu Jul 21 00:37:40 2016	87984	15	0	0
Thu Jul 21 00:37:40 2016	87990	14	0	0
Thu Jul 21 00:37:40 2016	87996	15	0	0
Thu Jul 21 00:37:40 2016	88002	13	0	0
Thu Jul 21 00:37:40 2016	88008	14	0	0
Thu Jul 21 00:37:40 2016	88014	13	0	0
Thu Jul 21 00:37:40 2016	88020	14	0	0
Thu Jul 21 00:37:40 2016	88026	13	0	0
Thu Jul 21 00:37:40 2016	88032	14	0	0
Thu Jul 21 00:37:40 2016	88038	14	0	0
Thu Jul 21 00:37:41 2016	88044	14	0	0
Thu Jul 21 00:37:41 2016	88050	13	0	0
Thu Jul 21 00:37:41 2016	88056	14	0	0
Thu Jul 21 00:37:41 2016	88062	14	0	0
Thu Jul 21 00:37:41 2016	88068	13	0	0
Thu Jul 21 00:37:41 2016	88074	14	0	0
Thu Jul 21 00:37:41 2016	88080	13	0	0
Thu Jul 21 00:37:41 2016	88086	14	0	0
Thu Jul 21 00:37:41 2016	88092	14	0	0
Thu Jul 21 00:37:41 2016	88098	14	0	0
Thu Jul 21 00:37:41 2016	88104	13	0	0
Thu Jul 21 00:37:41 2016	88110	14	0	0
Thu Jul 21 00:37:41 2016	88116	13	0	0
Thu Jul 21 00:37:41 2016	88122	13	0	0
Thu Jul 21 00:37:41 2016	88128	14	0	0
Thu Jul 21 00:37:41 2016	88134	13	0	0
Thu Jul 21 00:37:41 2016	88140	13	0	0
Thu Jul 21 00:37:41 2016	88146	14	0	0
Thu Jul 21 00:37:41 2016	88152	14	0	0
