DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Thu Jul 21 00:46:21 2016	10532	14	0	0
Thu Jul 21 00:46:21 2016	10538	14	0	0
Thu Jul 21 00:46:21 2016	10544	13	0	0
Thu Jul 21 00:46:21 2016	10550	14	0	0
Thu Jul 21 00:46:21 2016	10556	14	0	0
Thu Jul 21 00:46:21 2016	10562	13	0	0
Thu Jul 21 00:46:21 2016	10568	14	0	0
Thu Jul 21 00:46:21 2016	10574	14	0	0
Thu Jul 21 00:46:21 2016	10580	14	0	0
Thu Jul 21 00:46:21 2016	10586	14	0	0
Thu Jul 21 00:46:21 2016	10592	14	0	0
Thu Jul 21 00:46:21 2016	10598	13	0	0
Thu Jul 21 00:46:21 2016	10604	14	0	0
Thu Jul 21 00:46:21 2016	10610	14	0	0
Thu Jul 21 00:46:21 2016	10616	13	0	0
Thu Jul 21 00:46:21 2016	10622	14	0	0
Thu Jul 21 00:46:21 2016	10628	13	0	0
Thu Jul 21 00:46:21 2016	10634	14	0	0
Thu Jul 21 00:46:21 2016	10640	14	0	0
Thu Jul 21 00:46:21 2016	10646	13	0	0
Thu Jul 21 00:46:21 2016	10652	14	0	0
Thu Jul 21 00:46:21 2016	10658	14	0	0
Thu Jul 21 00:46:21 2016	10664	13	0	0
Thu Jul 21 00:46:21 2016	10670	14	0	0
Thu Jul 21 00:46:21 2016	10676	14	0	0
Thu Jul 21 00:46:21 2016	10682	13	0	0
Thu Jul 21 00:46:21 2016	10688	14	0	0
Thu Jul 21 00:46:21 2016	10694	13	0	0
Thu Jul 21 00:46:21 2016	10700	13	0	0
Thu Jul 21 00:46:21 2016	10706	14	0	0
Thu Jul 21 00:46:21 2016	10712	13	0	0
Thu Jul 21 00:46:21 2016	10718	14	0	0
Thu Jul 21 00:46:21 2016	10724	13	0	0
Thu Jul 21 00:46:21 2016	10730	14	0	0
Thu Jul 21 00:46:21 2016	10736	14	0	0
Thu Jul 21 00:46:21 2016	10742	14	0	0
Thu Jul 21 00:46:21 2016	10748	14	0	0
Thu Jul 21 00:46:21 2016	10754	14	0	0
Thu Jul 21 00:46:21 2016	10760	13	0	0
Thu Jul 21 00:46:21 2016	10766	14	0	0
Thu Jul 21 00:46:21 2016	10772	14	0	0
Thu Jul 21 00:46:21 2016	10778	13	0	0
Thu Jul 21 00:46:21 2016	10784	14	0	0
Thu Jul 21 00:46:21 2016	10790	14	0	0
Thu Jul 21 00:46:21 2016	10796	13	0	0
Thu Jul 21 00:46:21 2016	10802	13	0	0
Thu Jul 21 00:46:21 2016	10808	13	0	0
Thu Jul 21 00:46:21 2016	10814	14	0	0
Thu Jul 21 00:46:21 2016	10820	14	0	0
Thu Jul 21 00:46:21 2016	10826	13	0	0
Thu Jul 21 00:46:21 2016	10832	14	0	0
Thu Jul 21 00:46:21 2016	10838	14	0	0
Thu Jul 21 00:46:21 2016	10844	13	0	0
Thu Jul 21 00:46:21 2016	10850	13	0	0
Thu Jul 21 00:46:21 2016	10856	14	0	0
Thu Jul 21 00:46:21 2016	10862	13	0	0
Thu Jul 21 00:46:21 2016	10868	13	0	0
Thu Jul 21 00:46:21 2016	10874	14	0	0
Thu Jul 21 00:46:21 2016	10880	13	0	0
Thu Jul 21 00:46:21 2016	10886	13	0	0
Thu Jul 21 00:46:21 2016	10892	13	0	0
Thu Jul 21 00:46:21 2016	10898	14	0	0
Thu Jul 21 00:46:21 2016	10904	14	0	0
Thu Jul 21 00:46:21 2016	10910	13	0	0
Thu Jul 21 00:46:21 2016	10916	14	0	0
Thu Jul 21 00:46:21 2016	10922	14	0	0
Thu Jul 21 00:46:21 2016	10928	13	0	0
Thu Jul 21 00:46:21 2016	10934	14	0	0
Thu Jul 21 00:46:21 2016	10940	14	0	0
Thu Jul 21 00:46:21 2016	10946	13	0	0
Thu Jul 21 00:46:21 2016	10952	14	0	0
Thu Jul 21 00:46:21 2016	10958	14	0	0
Thu Jul 21 00:46:21 2016	10964	13	0	0
Thu Jul 21 00:46:21 2016	10970	14	0	0
Thu Jul 21 00:46:21 2016	10976	14	0	0
Thu Jul 21 00:46:21 2016	10982	14	0	0
Thu Jul 21 00:46:21 2016	10988	14	0	0
Thu Jul 21 00:46:21 2016	10994	13	0	0
Thu Jul 21 00:46:21 2016	11000	14	0	0
Thu Jul 21 00:46:21 2016	11006	14	0	0
Thu Jul 21 00:46:21 2016	11012	13	0	0
Thu Jul 21 00:46:21 2016	11018	14	0	0
Thu Jul 21 00:46:21 2016	11024	14	0	0
Thu Jul 21 00:46:21 2016	11030	13	0	0
Thu Jul 21 00:46:21 2016	11036	14	0	0
Thu Jul 21 00:46:21 2016	11042	14	0	0
Thu Jul 21 00:46:21 2016	11048	14	0	0
Thu Jul 21 00:46:21 2016	11054	14	0	0
Thu Jul 21 00:46:21 2016	11060	13	0	0
Thu Jul 21 00:46:21 2016	11066	14	0	0
Thu Jul 21 00:46:21 2016	11072	14	0	0
Thu Jul 21 00:46:21 2016	11078	14	0	0
Thu Jul 21 00:46:21 2016	11084	14	0	0
Thu Jul 21 00:46:21 2016	11090	14	0	0
Thu Jul 21 00:46:21 2016	11096	13	0	0
Thu Jul 21 00:46:21 2016	11102	14	0	0
Thu Jul 21 00:46:21 2016	11108	14	0	0
Thu Jul 21 00:46:21 2016	11114	13	0	0
Thu Jul 21 00:46:21 2016	11120	14	0	0
Thu Jul 21 00:46:22 2016	11126	13	0	0
Thu Jul 21 00:46:22 2016	11132	14	0	0
Thu Jul 21 00:46:22 2016	11138	14	0	0
Thu Jul 21 00:46:22 2016	11144	13	0	0
Thu Jul 21 00:46:22 2016	11150	14	0	0
Thu Jul 21 00:46:22 2016	11156	14	0	0
Thu Jul 21 00:46:22 2016	11162	13	0	0
Thu Jul 21 00:46:22 2016	11168	14	0	0
Thu Jul 21 00:46:22 2016	11174	14	0	0
Thu Jul 21 00:46:22 2016	11180	13	0	0
Thu Jul 21 00:46:22 2016	11186	14	0	0
Thu Jul 21 00:46:22 2016	11192	14	0	0
Thu Jul 21 00:46:22 2016	11198	13	0	0
Thu Jul 21 00:46:22 2016	11204	14	0	0
Thu Jul 21 00:46:22 2016	11210	13	0	0
Thu Jul 21 00:46:22 2016	11216	14	0	0
Thu Jul 21 00:46:22 2016	11222	14	0	0
Thu Jul 21 00:46:22 2016	11228	13	0	0
Thu Jul 21 00:46:22 2016	11234	14	0	0
Thu Jul 21 00:46:22 2016	11240	14	0	0
Thu Jul 21 00:46:22 2016	11246	14	0	0
Thu Jul 21 00:46:22 2016	11252	14	0	0
Thu Jul 21 00:46:22 2016	11258	14	0	0
Thu Jul 21 00:46:22 2016	11264	13	0	0
Thu Jul 21 00:46:22 2016	11270	14	0	0
Thu Jul 21 00:46:22 2016	11276	13	0	0
