DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Sat Jul 23 00:09Sat Jul 23 00:10:33 2016	214731	14	0	0
Sat Jul 23 00:10:33 2016	214737	14	0	0
Sat Jul 23 00:10:33 2016	214743	15	0	0
Sat Jul 23 00:10:33 2016	214749	15	0	0
Sat Jul 23 00:10:33 2016	214755	14	0	0
Sat Jul 23 00:10:33 2016	214761	15	0	0
Sat Jul 23 00:10:33 2016	214767	13	0	0
Sat Jul 23 00:10:33 2016	214773	14	0	0
Sat Jul 23 00:10:33 2016	214779	14	0	0
Sat Jul 23 00:10:33 2016	214785	14	0	0
Sat Jul 23 00:10:33 2016	214791	14	0	0
Sat Jul 23 00:10:33 2016	214797	13	0	0
Sat Jul 23 00:10:33 2016	214803	14	0	0
Sat Jul 23 00:10:33 2016	214809	14	0	0
Sat Jul 23 00:10:33 2016	214815	14	0	0
Sat Jul 23 00:10:33 2016	214821	15	0	0
Sat Jul 23 00:10:33 2016	214827	14	0	0
Sat Jul 23 00:10:33 2016	214833	15	0	0
Sat Jul 23 00:10:33 2016	214839	14	0	0
Sat Jul 23 00:10:33 2016	214845	14	0	0
Sat Jul 23 00:10:33 2016	214851	15	0	0
Sat Jul 23 00:10:33 2016	214857	14	0	0
Sat Jul 23 00:10:33 2016	214863	15	0	0
Sat Jul 23 00:10:33 2016	214869	15	0	0
Sat Jul 23 00:10:33 2016	214875	14	0	0
Sat Jul 23 00:10:33 2016	214881	14	0	0
Sat Jul 23 00:10:33 2016	214887	14	0	0
Sat Jul 23 00:10:33 2016	214893	15	0	0
Sat Jul 23 00:10:33 2016	214899	14	0	0
Sat Jul 23 00:10:33 2016	214905	15	0	0
Sat Jul 23 00:10:33 2016	214911	14	0	0
Sat Jul 23 00:10:33 2016	214917	15	0	0
Sat Jul 23 00:10:33 2016	214923	14	0	0
Sat Jul 23 00:10:33 2016	214929	15	0	0
Sat Jul 23 00:10:33 2016	214935	14	0	0
Sat Jul 23 00:10:33 2016	214941	15	0	0
Sat Jul 23 00:10:33 2016	214947	14	0	0
Sat Jul 23 00:10:33 2016	214953	14	0	0
Sat Jul 23 00:10:33 2016	214959	15	0	0
Sat Jul 23 00:10:33 2016	214965	14	0	0
Sat Jul 23 00:10:33 2016	214971	14	0	0
Sat Jul 23 00:10:33 2016	214977	15	0	0
Sat Jul 23 00:10:33 2016	214983	14	0	0
Sat Jul 23 00:10:33 2016	214989	14	0	0
Sat Jul 23 00:10:33 2016	214995	15	0	0
Sat Jul 23 00:10:33 2016	215001	15	0	0
Sat Jul 23 00:10:33 2016	215007	15	0	0
Sat Jul 23 00:10:33 2016	215013	15	0	0
Sat Jul 23 00:10:33 2016	215019	14	0	0
Sat Jul 23 00:10:33 2016	215025	14	0	0
Sat Jul 23 00:10:33 2016	215031	14	0	0
Sat Jul 23 00:10:33 2016	215037	15	0	0
Sat Jul 23 00:10:33 2016	215043	14	0	0
Sat Jul 23 00:10:33 2016	215049	14	0	0
Sat Jul 23 00:10:33 2016	215055	15	0	0
Sat Jul 23 00:10:33 2016	215061	15	0	0
Sat Jul 23 00:10:33 2016	215067	14	0	0
Sat Jul 23 00:10:33 2016	215073	15	0	0
Sat Jul 23 00:10:33 2016	215079	14	0	0
Sat Jul 23 00:10:33 2016	215085	15	0	0
Sat Jul 23 00:10:33 2016	215091	13	0	0
Sat Jul 23 00:10:33 2016	215097	14	0	0
Sat Jul 23 00:10:33 2016	215103	13	0	0
Sat Jul 23 00:10:33 2016	215109	15	0	0
Sat Jul 23 00:10:33 2016	215115	14	0	0
Sat Jul 23 00:10:33 2016	215121	14	0	0
Sat Jul 23 00:10:33 2016	215127	14	0	0
Sat Jul 23 00:10:33 2016	215133	15	0	0
Sat Jul 23 00:10:33 2016	215139	15	0	0
Sat Jul 23 00:10:33 2016	215145	14	0	0
Sat Jul 23 00:10:33 2016	215151	15	0	0
Sat Jul 23 00:10:33 2016	215157	14	0	0
Sat Jul 23 00:10:33 2016	215163	15	0	0
Sat Jul 23 00:10:33 2016	215169	14	0	0
Sat Jul 23 00:10:33 2016	215175	15	0	0
Sat Jul 23 00:10:33 2016	215181	15	0	0
Sat Jul 23 00:10:33 2016	215187	14	0	0
Sat Jul 23 00:10:33 2016	215193	14	0	0
Sat Jul 23 00:10:33 2016	215199	15	0	0
Sat Jul 23 00:10:33 2016	215205	14	0	0
Sat Jul 23 00:10:33 2016	215211	14	0	0
Sat Jul 23 00:10:33 2016	215217	13	0	0
Sat Jul 23 00:10:34 2016	215223	14	0	0
Sat Jul 23 00:10:34 2016	215229	14	0	0
Sat Jul 23 00:10:34 2016	215235	14	0	0
Sat Jul 23 00:10:34 2016	215241	14	0	0
Sat Jul 23 00:10:34 2016	215247	14	0	0
Sat Jul 23 00:10:34 2016	215253	15	0	0
Sat Jul 23 00:10:34 2016	215259	14	0	0
Sat Jul 23 00:10:34 2016	215265	14	0	0
Sat Jul 23 00:10:34 2016	215271	15	0	0
Sat Jul 23 00:10:34 2016	215277	15	0	0
Sat Jul 23 00:10:34 2016	215283	14	0	0
Sat Jul 23 00:10:34 2016	215289	14	0	0
Sat Jul 23 00:10:34 2016	215295	14	0	0
Sat Jul 23 00:10:34 2016	215301	14	0	0
Sat Jul 23 00:10:34 2016	215307	15	0	0
Sat Jul 23 00:10:34 2016	215313	15	0	0
Sat Jul 23 00:10:34 2016	215319	15	0	0
Sat Jul 23 00:10:34 2016	215325	14	0	0
Sat Jul 23 00:10:34 2016	215331	14	0	0
Sat Jul 23 00:10:34 2016	215337	15	0	0
Sat Jul 23 00:10:34 2016	215343	15	0	0
Sat Jul 23 00:10:34 2016	215349	15	0	0
Sat Jul 23 00:10:34 2016	215355	14	0	0
Sat Jul 23 00:10:34 2016	215361	15	0	0
Sat Jul 23 00:10:34 2016	215367	13	0	0
Sat Jul 23 00:10:34 2016	215373	14	0	0
Sat Jul 23 00:10:34 2016	215379	14	0	0
Sat Jul 23 00:10:34 2016	215385	14	0	0
Sat Jul 23 00:10:34 2016	215391	14	0	0
Sat Jul 23 00:10:34 2016	215397	15	0	0
Sat Jul 23 00:10:34 2016	215403	15	0	0
Sat Jul 23 00:10:34 2016	215409	14	0	0
Sat Jul 23 00:10:34 2016	215415	14	0	0
Sat Jul 23 00:10:34 2016	215421	14	0	0
Sat Jul 23 00:10:34 2016	215427	15	0	0
Sat Jul 23 00:10:34 2016	215433	14	0	0
Sat Jul 23 00:10:34 2016	215439	13	0	0
Sat Jul 23 00:10:34 2016	215445	14	0	0
Sat Jul 23 00:10:34 2016	215451	15	0	0
Sat Jul 23 00:10:34 2016	215457	14	0	0
Sat Jul 23 00:10:34 2016	215463	15	0	0
Sat Jul 23 00:10:34 2016	215469	14	0	0
Sat Jul 23 00:10:34 2016	215475	14	0	0
Sat Jul 23 00:10:34 2016	215481	15	0	0
Sat Jul 23 00:10:34 2016	215487	14	0	0
Sat Jul 23 00:10:34 2016	215493	14	0	0
Sat Jul 23 00:10:34 2016	215499	14	0	0
Sat Jul 23 00:10:34 2016	215505	15	0	0
Sat Jul 23 00:10:34 2016	215511	14	0	0
Sat Jul 23 00:10:34 2016	215517	13	0	0
Sat Jul 23 00:10:34 2016	215523	14	0	0
Sat Jul 23 00:10:34 2016	215529	14	0	0
Sat Jul 23 00:10:34 2016	215535	14	0	0
Sat Jul 23 00:10:34 2016	215541	15	0	0
Sat Jul 23 00:10:34 2016	215547	14	0	0
Sat Jul 23 00:10:34 2016	215553	15	0	0
Sat Jul 23 00:10:34 2016	215559	15	0	0
Sat Jul 23 00:10:34 2016	215565	14	0	0
Sat Jul 23 00:10:34 2016	215571	14	0	0
Sat Jul 23 00:10:34 2016	215577	14	0	0
Sat Jul 23 00:10:34 2016	215583	14	0	0
Sat Jul 23 00:10:34 2016	215589	15	0	0
Sat Jul 23 00:10:34 2016	215595	15	0	0
Sat Jul 23 00:10:34 2016	215601	14	0	0
Sat Jul 23 00:10:34 2016	215607	15	0	0
Sat Jul 23 00:10:34 2016	215613	15	0	0
Sat Jul 23 00:10:34 2016	215619	15	0	0
Sat Jul 23 00:10:34 2016	215625	14	0	0
Sat Jul 23 00:10:34 2016	215631	15	0	0
Sat Jul 23 00:10:34 2016	215637	14	0	0
Sat Jul 23 00:10:34 2016	215643	15	0	0
Sat Jul 23 00:10:34 2016	215649	14	0	0
Sat Jul 23 00:10:34 2016	215655	13	0	0
Sat Jul 23 00:10:34 2016	215661	14	0	0
Sat Jul 23 00:10:34 2016	215667	14	0	0
Sat Jul 23 00:10:34 2016	215673	14	0	0
Sat Jul 23 00:10:34 2016	215679	15	0	0
Sat Jul 23 00:10:34 2016	215685	14	0	0
