DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Sat Jul 23 00:15:56 2016	69478	14	0	0
Sat Jul 23 00:15:56 2016	69484	14	0	0
Sat Jul 23 00:15:56 2016	69490	14	0	0
Sat Jul 23 00:15:56 2016	69496	15	0	0
Sat Jul 23 00:15:56 2016	69502	14	0	0
Sat Jul 23 00:15:56 2016	69508	14	0	0
Sat Jul 23 00:15:56 2016	69514	14	0	0
Sat Jul 23 00:15:56 2016	69520	15	0	0
Sat Jul 23 00:15:56 2016	69526	14	0	0
Sat Jul 23 00:15:56 2016	69532	15	0	0
Sat Jul 23 00:15:56 2016	69538	14	0	0
Sat Jul 23 00:15:56 2016	69544	14	0	0
Sat Jul 23 00:15:56 2016	69550	15	0	0
Sat Jul 23 00:15:56 2016	69556	14	0	0
Sat Jul 23 00:15:56 2016	69562	15	0	0
Sat Jul 23 00:15:56 2016	69568	14	0	0
Sat Jul 23 00:15:56 2016	69574	14	0	0
Sat Jul 23 00:15:56 2016	69580	14	0	0
Sat Jul 23 00:15:56 2016	69586	14	0	0
Sat Jul 23 00:15:56 2016	69592	14	0	0
Sat Jul 23 00:15:56 2016	69598	13	0	0
Sat Jul 23 00:15:56 2016	69604	14	0	0
Sat Jul 23 00:15:56 2016	69610	15	0	0
Sat Jul 23 00:15:56 2016	69616	15	0	0
Sat Jul 23 00:15:56 2016	69622	15	0	0
Sat Jul 23 00:15:56 2016	69628	14	0	0
Sat Jul 23 00:15:56 2016	69634	14	0	0
Sat Jul 23 00:15:56 2016	69640	14	0	0
Sat Jul 23 00:15:56 2016	69646	15	0	0
Sat Jul 23 00:15:56 2016	69652	14	0	0
Sat Jul 23 00:15:56 2016	69658	14	0	0
Sat Jul 23 00:15:56 2016	69664	15	0	0
Sat Jul 23 00:15:56 2016	69670	14	0	0
Sat Jul 23 00:15:56 2016	69676	14	0	0
Sat Jul 23 00:15:56 2016	69682	15	0	0
Sat Jul 23 00:15:56 2016	69688	14	0	0
Sat Jul 23 00:15:56 2016	69694	14	0	0
Sat Jul 23 00:15:56 2016	69700	14	0	0
Sat Jul 23 00:15:56 2016	69706	15	0	0
Sat Jul 23 00:15:56 2016	69712	15	0	0
Sat Jul 23 00:15:56 2016	69718	14	0	0
Sat Jul 23 00:15:56 2016	69724	14	0	0
Sat Jul 23 00:15:56 2016	69730	14	0	0
Sat Jul 23 00:15:56 2016	69736	15	0	0
Sat Jul 23 00:15:56 2016	69742	15	0	0
Sat Jul 23 00:15:56 2016	69748	15	0	0
Sat Jul 23 00:15:56 2016	69754	15	0	0
Sat Jul 23 00:15:56 2016	69760	15	0	0
Sat Jul 23 00:15:56 2016	69766	15	0	0
Sat Jul 23 00:15:56 2016	69772	15	0	0
Sat Jul 23 00:15:56 2016	69778	14	0	0
Sat Jul 23 00:15:56 2016	69784	15	0	0
Sat Jul 23 00:15:56 2016	69790	15	0	0
Sat Jul 23 00:15:56 2016	69796	15	0	0
Sat Jul 23 00:15:56 2016	69802	14	0	0
Sat Jul 23 00:15:56 2016	69808	14	0	0
Sat Jul 23 00:15:56 2016	69814	15	0	0
Sat Jul 23 00:15:56 2016	69820	14	0	0
Sat Jul 23 00:15:56 2016	69826	14	0	0
Sat Jul 23 00:15:56 2016	69832	15	0	0
Sat Jul 23 00:15:56 2016	69838	14	0	0
Sat Jul 23 00:15:56 2016	69844	15	0	0
Sat Jul 23 00:15:56 2016	69850	15	0	0
Sat Jul 23 00:15:56 2016	69856	14	0	0
Sat Jul 23 00:15:56 2016	69862	14	0	0
Sat Jul 23 00:15:56 2016	69868	15	0	0
Sat Jul 23 00:15:56 2016	69874	15	0	0
Sat Jul 23 00:15:56 2016	69880	15	0	0
Sat Jul 23 00:15:56 2016	69886	15	0	0
Sat Jul 23 00:15:56 2016	69892	14	0	0
Sat Jul 23 00:15:56 2016	69898	14	0	0
Sat Jul 23 00:15:56 2016	69904	14	0	0
Sat Jul 23 00:15:56 2016	69910	15	0	0
Sat Jul 23 00:15:56 2016	69916	14	0	0
Sat Jul 23 00:15:56 2016	69922	14	0	0
Sat Jul 23 00:15:56 2016	69928	15	0	0
Sat Jul 23 00:15:56 2016	69934	15	0	0
Sat Jul 23 00:15:56 2016	69940	15	0	0
Sat Jul 23 00:15:56 2016	69946	14	0	0
Sat Jul 23 00:15:56 2016	69952	14	0	0
Sat Jul 23 00:15:56 2016	69958	15	0	0
Sat Jul 23 00:15:56 2016	69964	14	0	0
Sat Jul 23 00:15:56 2016	69970	15	0	0
Sat Jul 23 00:15:56 2016	69976	14	0	0
Sat Jul 23 00:15:56 2016	69982	14	0	0
Sat Jul 23 00:15:56 2016	69988	15	0	0
Sat Jul 23 00:15:56 2016	69994	14	0	0
Sat Jul 23 00:15:56 2016	70000	15	0	0
Sat Jul 23 00:15:56 2016	70006	14	0	0
Sat Jul 23 00:15:56 2016	70012	14	0	0
Sat Jul 23 00:15:56 2016	70018	15	0	0
Sat Jul 23 00:15:56 2016	70024	15	0	0
Sat Jul 23 00:15:56 2016	70030	15	0	0
Sat Jul 23 00:15:56 2016	70036	15	0	0
Sat Jul 23 00:15:56 2016	70042	14	0	0
Sat Jul 23 00:15:56 2016	70048	13	0	0
Sat Jul 23 00:15:56 2016	70054	15	0	0
Sat Jul 23 00:15:56 2016	70060	15	0	0
Sat Jul 23 00:15:56 2016	70066	15	0	0
Sat Jul 23 00:15:56 2016	70072	14	0	0
Sat Jul 23 00:15:56 2016	70078	14	0	0
Sat Jul 23 00:15:56 2016	70084	14	0	0
Sat Jul 23 00:15:56 2016	70090	15	0	0
Sat Jul 23 00:15:56 2016	70096	15	0	0
Sat Jul 23 00:15:56 2016	70102	15	0	0
