DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Mon Jul 25 22:25:19 2016	108473	9	0	0
Mon Jul 25 22:25:29 2016	118250	8	0	0
Mon Jul 25 22:25:29 2016	118256	11	0	0
Mon Jul 25 22:25:29 2016	118262	13	0	0
Mon Jul 25 22:25:29 2016	118268	12	0	0
Mon Jul 25 22:25:29 2016	118274	14	0	0
Mon Jul 25 22:25:29 2016	118280	13	0	0
Mon Jul 25 22:25:29 2016	118286	14	0	0
Mon Jul 25 22:25:29 2016	118292	13	0	0
Mon Jul 25 22:25:29 2016	118298	14	0	0
Mon Jul 25 22:25:29 2016	118304	13	0	0
Mon Jul 25 22:25:29 2016	118310	14	0	0
Mon Jul 25 22:25:29 2016	118316	14	0	0
Mon Jul 25 22:25:29 2016	118322	13	0	0
Mon Jul 25 22:25:29 2016	118328	14	0	0
Mon Jul 25 22:25:29 2016	118334	13	0	0
Mon Jul 25 22:25:29 2016	118340	14	0	0
Mon Jul 25 22:25:29 2016	118346	14	0	0
Mon Jul 25 22:25:29 2016	118352	13	0	0
Mon Jul 25 22:25:29 2016	118358	15	0	0
Mon Jul 25 22:25:29 2016	118364	13	0	0
Mon Jul 25 22:25:29 2016	118370	14	0	0
Mon Jul 25 22:25:29 2016	118376	14	0	0
Mon Jul 25 22:25:29 2016	118382	13	0	0
Mon Jul 25 22:25:29 2016	118388	14	0	0
Mon Jul 25 22:25:29 2016	118394	15	0	0
Mon Jul 25 22:25:29 2016	118400	15	0	0
Mon Jul 25 22:25:29 2016	118406	13	0	0
Mon Jul 25 22:25:29 2016	118412	14	0	0
Mon Jul 25 22:25:29 2016	118418	14	0	0
Mon Jul 25 22:25:29 2016	118424	13	0	0
Mon Jul 25 22:25:29 2016	118430	14	0	0
Mon Jul 25 22:25:29 2016	118436	14	0	0
Mon Jul 25 22:25:29 2016	118442	14	0	0
Mon Jul 25 22:25:29 2016	118448	13	0	0
Mon Jul 25 22:25:29 2016	118454	14	0	0
Mon Jul 25 22:25:29 2016	118459	15	0	0
Mon Jul 25 22:25:29 2016	118466	15	0	0
Mon Jul 25 22:25:29 2016	118472	14	0	0
Mon Jul 25 22:25:29 2016	118478	13	0	0
Mon Jul 25 22:25:29 2016	118484	13	0	0
Mon Jul 25 22:25:29 2016	118490	13	0	0
Mon Jul 25 22:25:29 2016	118496	14	0	0
Mon Jul 25 22:25:29 2016	118502	13	0	0
Mon Jul 25 22:25:29 2016	118508	13	0	0
Mon Jul 25 22:25:29 2016	118514	14	0	0
Mon Jul 25 22:25:29 2016	118520	13	0	0
Mon Jul 25 22:25:29 2016	118526	14	0	0
Mon Jul 25 22:25:29 2016	118532	14	0	0
Mon Jul 25 22:25:29 2016	118538	14	0	0
Mon Jul 25 22:25:29 2016	118544	13	0	0
Mon Jul 25 22:25:29 2016	118549	15	0	0
Mon Jul 25 22:25:29 2016	118555	16	0	0
Mon Jul 25 22:25:30 2016	118561	15	0	0
Mon Jul 25 22:25:30 2016	118566	16	0	0
Mon Jul 25 22:25:30 2016	118572	15	0	0
Mon Jul 25 22:25:30 2016	118577	15	0	0
Mon Jul 25 22:25:30 2016	118583	15	0	0
Mon Jul 25 22:25:30 2016	118589	14	0	0
Mon Jul 25 22:25:30 2016	118595	15	0	0
Mon Jul 25 22:25:30 2016	118601	14	0	0
Mon Jul 25 22:25:30 2016	118607	14	0	0
Mon Jul 25 22:25:30 2016	118613	14	0	0
Mon Jul 25 22:25:30 2016	118619	14	0	0
Mon Jul 25 22:25:30 2016	118625	13	0	0
Mon Jul 25 22:25:30 2016	118631	14	0	0
Mon Jul 25 22:25:30 2016	118637	14	0	0
Mon Jul 25 22:25:30 2016	118643	14	0	0
Mon Jul 25 22:25:30 2016	118649	13	0	0
Mon Jul 25 22:25:30 2016	118655	14	0	0
Mon Jul 25 22:25:30 2016	118661	14	0	0
Mon Jul 25 22:25:30 2016	118667	13	0	0
Mon Jul 25 22:25:30 2016	118673	14	0	0
Mon Jul 25 22:25:30 2016	118679	13	0	0
Mon Jul 25 22:25:30 2016	118685	14	0	0
Mon Jul 25 22:25:30 2016	118691	14	0	0
Mon Jul 25 22:25:30 2016	118697	14	0	0
Mon Jul 25 22:25:30 2016	118703	14	0	0
Mon Jul 25 22:25:30 2016	118709	14	0	0
Mon Jul 25 22:25:30 2016	118715	13	0	0
Mon Jul 25 22:25:30 2016	118721	14	0	0
Mon Jul 25 22:25:30 2016	118727	14	0	0
Mon Jul 25 22:25:30 2016	118733	14	0	0
Mon Jul 25 22:25:30 2016	118739	13	0	0
Mon Jul 25 22:25:30 2016	118745	14	0	0
Mon Jul 25 22:25:30 2016	118751	14	0	0
Mon Jul 25 22:25:30 2016	118757	13	0	0
Mon Jul 25 22:25:30 2016	118763	13	0	0
Mon Jul 25 22:25:30 2016	118769	13	0	0
Mon Jul 25 22:25:30 2016	118775	14	0	0
Mon Jul 25 22:25:30 2016	118781	13	0	0
Mon Jul 25 22:25:30 2016	118787	13	0	0
Mon Jul 25 22:25:30 2016	118793	14	0	0
Mon Jul 25 22:25:30 2016	118799	14	0	0
Mon Jul 25 22:25:30 2016	118805	14	0	0
Mon Jul 25 22:25:30 2016	118811	14	0	0
Mon Jul 25 22:25:30 2016	118817	14	0	0
Mon Jul 25 22:25:30 2016	118823	13	0	0
Mon Jul 25 22:25:30 2016	118829	15	0	0
Mon Jul 25 22:25:30 2016	118835	13	0	0
Mon Jul 25 22:25:30 2016	118841	13	0	0
Mon Jul 25 22:25:30 2016	118847	14	0	0
Mon Jul 25 22:25:30 2016	118853	13	0	0
Mon Jul 25 22:25:30 2016	118859	13	0	0
Mon Jul 25 22:25:30 2016	118865	14	0	0
Mon Jul 25 22:25:30 2016	118871	15	0	0
Mon Jul 25 22:25:30 2016	118877	13	0	0
Mon Jul 25 22:25:30 2016	118883	15	0	0
Mon Jul 25 22:25:30 2016	118889	14	0	0
Mon Jul 25 22:25:30 2016	118895	13	0	0
Mon Jul 25 22:25:30 2016	118901	14	0	0
Mon Jul 25 22:25:30 2016	118907	14	0	0
Mon Jul 25 22:25:30 2016	118913	14	0	0
Mon Jul 25 22:25:30 2016	118919	14	0	0
Mon Jul 25 22:25:30 2016	118925	14	0	0
Mon Jul 25 22:25:30 2016	118931	14	0	0
Mon Jul 25 22:25:30 2016	118937	13	0	0
