DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount			"Definitely ignore first flip, possibly ignore second. "
Mon Jul 25 22:36:23 2016	112733	14	0	0			
Mon Jul 25 22:36:23 2016	112739	12	0	0			
Mon Jul 25 22:36:23 2016	112745	13	0	0			
Mon Jul 25 22:36:23 2016	112751	13	0	0			
Mon Jul 25 22:36:23 2016	112757	14	0	0			
Mon Jul 25 22:36:23 2016	112763	13	0	0			
Mon Jul 25 22:36:23 2016	112769	14	0	0			
Mon Jul 25 22:36:23 2016	112775	14	0	0			
Mon Jul 25 22:36:23 2016	112781	12	0	0			
Mon Jul 25 22:36:23 2016	112787	14	0	0			
Mon Jul 25 22:36:23 2016	112793	13	0	0			
Mon Jul 25 22:36:23 2016	112799	13	0	0			
Mon Jul 25 22:36:23 2016	112805	13	0	0			
Mon Jul 25 22:36:23 2016	112811	14	0	0			
Mon Jul 25 22:36:23 2016	112817	13	0	0			
Mon Jul 25 22:36:23 2016	112823	12	0	0			
Mon Jul 25 22:36:23 2016	112829	12	0	0			
Mon Jul 25 22:36:23 2016	112835	13	0	0			
Mon Jul 25 22:36:23 2016	112841	14	0	0			
Mon Jul 25 22:36:23 2016	112847	14	0	0			
Mon Jul 25 22:36:23 2016	112853	13	0	0			
Mon Jul 25 22:36:23 2016	112859	12	0	0			
Mon Jul 25 22:36:23 2016	112865	12	0	0			
Mon Jul 25 22:36:23 2016	112871	14	0	0			
Mon Jul 25 22:36:23 2016	112877	12	0	0			
Mon Jul 25 22:36:23 2016	112883	14	0	0			
Mon Jul 25 22:36:23 2016	112889	13	0	0			
Mon Jul 25 22:36:23 2016	112895	14	0	0			
Mon Jul 25 22:36:23 2016	112901	12	0	0			
Mon Jul 25 22:36:23 2016	112907	14	0	0			
Mon Jul 25 22:36:23 2016	112913	13	0	0			
Mon Jul 25 22:36:23 2016	112919	13	0	0			
Mon Jul 25 22:36:23 2016	112925	13	0	0			
Mon Jul 25 22:36:23 2016	112931	13	0	0			
Mon Jul 25 22:36:23 2016	112937	14	0	0			
Mon Jul 25 22:36:23 2016	112943	14	0	0			
Mon Jul 25 22:36:23 2016	112949	13	0	0			
Mon Jul 25 22:36:23 2016	112955	13	0	0			
Mon Jul 25 22:36:23 2016	112961	12	0	0			
Mon Jul 25 22:36:23 2016	112967	13	0	0			
Mon Jul 25 22:36:23 2016	112973	13	0	0			
Mon Jul 25 22:36:23 2016	112979	12	0	0			
Mon Jul 25 22:36:23 2016	112985	13	0	0			
Mon Jul 25 22:36:23 2016	112991	13	0	0			
Mon Jul 25 22:36:23 2016	112997	14	0	0			
Mon Jul 25 22:36:23 2016	113003	13	0	0			
Mon Jul 25 22:36:23 2016	113009	14	0	0			
