DateTime	Elapsed	PiezoValue	BucketFlip	BucketCount
Mon Jul 25 23:43:39 2016	118858	14	0	0
Mon Jul 25 23:43:39 2016	118864	14	0	0
Mon Jul 25 23:43:39 2016	118870	15	0	0
Mon Jul 25 23:43:39 2016	118876	14	0	0
Mon Jul 25 23:43:39 2016	118882	13	0	0
Mon Jul 25 23:43:39 2016	118888	14	0	0
Mon Jul 25 23:43:39 2016	118894	15	0	0
Mon Jul 25 23:43:39 2016	118900	14	0	0
Mon Jul 25 23:43:39 2016	118906	14	0	0
Mon Jul 25 23:43:39 2016	118912	13	0	0
Mon Jul 25 23:43:39 2016	118918	14	0	0
Mon Jul 25 23:43:39 2016	118924	13	0	0
Mon Jul 25 23:43:39 2016	118930	14	0	0
Mon Jul 25 23:43:39 2016	118936	14	0	0
Mon Jul 25 23:43:39 2016	118942	15	0	0
Mon Jul 25 23:43:39 2016	118948	13	0	0
Mon Jul 25 23:43:39 2016	118954	13	0	0
Mon Jul 25 23:43:39 2016	118960	15	0	0
Mon Jul 25 23:43:39 2016	118966	15	0	0
Mon Jul 25 23:43:39 2016	118972	15	0	0
Mon Jul 25 23:43:39 2016	118978	13	0	0
Mon Jul 25 23:43:39 2016	118984	13	0	0
Mon Jul 25 23:43:39 2016	118990	14	0	0
Mon Jul 25 23:43:39 2016	118996	14	0	0
Mon Jul 25 23:43:39 2016	119002	14	0	0
Mon Jul 25 23:43:39 2016	119008	13	0	0
Mon Jul 25 23:43:39 2016	119014	14	0	0
Mon Jul 25 23:43:39 2016	119020	14	0	0
Mon Jul 25 23:43:39 2016	119026	15	0	0
Mon Jul 25 23:43:39 2016	119032	13	0	0
Mon Jul 25 23:43:39 2016	119038	13	0	0
Mon Jul 25 23:43:39 2016	119044	13	0	0
Mon Jul 25 23:43:39 2016	119050	13	0	0
Mon Jul 25 23:43:39 2016	119056	15	0	0
Mon Jul 25 23:43:39 2016	119062	13	0	0
Mon Jul 25 23:43:39 2016	119068	14	0	0
Mon Jul 25 23:43:39 2016	119074	14	0	0
Mon Jul 25 23:43:39 2016	119080	14	0	0
Mon Jul 25 23:43:39 2016	119086	14	0	0
Mon Jul 25 23:43:39 2016	119092	15	0	0
Mon Jul 25 23:43:39 2016	119098	14	0	0
Mon Jul 25 23:43:39 2016	119104	15	0	0
Mon Jul 25 23:43:39 2016	119110	14	0	0
Mon Jul 25 23:43:39 2016	119116	14	0	0
Mon Jul 25 23:43:39 2016	119122	14	0	0
Mon Jul 25 23:43:39 2016	119128	14	0	0
Mon Jul 25 23:43:39 2016	119134	14	0	0
Mon Jul 25 23:43:39 2016	119140	15	0	0
Mon Jul 25 23:43:39 2016	119146	13	0	0
Mon Jul 25 23:43:39 2016	119152	14	0	0
Mon Jul 25 23:43:39 2016	119158	13	0	0
Mon Jul 25 23:43:39 2016	119164	14	0	0
Mon Jul 25 23:43:39 2016	119170	14	0	0
Mon Jul 25 23:43:39 2016	119176	13	0	0
Mon Jul 25 23:43:39 2016	119182	15	0	0
Mon Jul 25 23:43:39 2016	119188	14	0	0
Mon Jul 25 23:43:39 2016	119194	14	0	0
Mon Jul 25 23:43:39 2016	119200	14	0	0
Mon Jul 25 23:43:39 2016	119206	14	0	0
Mon Jul 25 23:43:39 2016	119212	13	0	0
Mon Jul 25 23:43:40 2016	119218	13	0	0
Mon Jul 25 23:43:40 2016	119224	14	0	0
Mon Jul 25 23:43:40 2016	119230	13	0	0
Mon Jul 25 23:43:40 2016	119236	15	0	0
Mon Jul 25 23:43:40 2016	119242	13	0	0
Mon Jul 25 23:43:40 2016	119248	13	0	0
Mon Jul 25 23:43:40 2016	119254	15	0	0
Mon Jul 25 23:43:40 2016	119260	15	0	0
Mon Jul 25 23:43:40 2016	119266	14	0	0
Mon Jul 25 23:43:40 2016	119272	14	0	0
Mon Jul 25 23:43:40 2016	119278	13	0	0
Mon Jul 25 23:43:40 2016	119284	15	0	0
Mon Jul 25 23:43:40 2016	119290	14	0	0
Mon Jul 25 23:43:40 2016	119296	15	0	0
Mon Jul 25 23:43:40 2016	119302	15	0	0
